range_start,range_end,AS_number,country_code,AS_description
93.0.0.0,93.17.133.255,15557,FR,LDCOMNET
93.17.134.0,93.17.135.255,15557,FR,LDCOMNET
93.17.136.0,93.31.255.255,15557,FR,LDCOMNET
93.32.0.0,93.63.255.255,12874,IT,FASTWEB
93.64.0.0,93.71.255.255,30722,IT,VODAFONE-IT-ASN
93.72.0.0,93.75.71.255,25229,UA,VOLIA-AS
93.75.72.0,93.75.79.255,0,None,Not routed
93.75.80.0,93.77.159.255,25229,UA,VOLIA-AS
93.77.160.0,93.77.191.255,205515,RU,TSCRIMEA
93.77.192.0,93.78.55.255,25229,UA,VOLIA-AS
93.78.56.0,93.78.95.255,0,None,Not routed
93.78.96.0,93.79.255.255,25229,UA,VOLIA-AS
93.80.0.0,93.80.47.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.80.48.0,93.80.83.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.80.84.0,93.80.99.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.80.100.0,93.80.111.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.80.112.0,93.80.113.255,3216,RU,SOVAM-AS
93.80.114.0,93.80.175.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.80.176.0,93.80.179.255,3216,RU,SOVAM-AS
93.80.180.0,93.80.215.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.80.216.0,93.80.239.255,3216,RU,SOVAM-AS
93.80.240.0,93.81.47.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.48.0,93.81.67.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.68.0,93.81.159.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.160.0,93.81.223.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.224.0,93.81.227.255,3216,RU,SOVAM-AS
93.81.228.0,93.81.234.95,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.234.96,93.81.234.191,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.234.192,93.81.242.191,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.242.192,93.81.242.223,3216,RU,SOVAM-AS
93.81.242.224,93.81.244.63,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.244.64,93.81.244.223,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.244.224,93.81.244.255,3216,RU,SOVAM-AS
93.81.245.0,93.81.246.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.81.247.0,93.81.255.255,8402,RU,CORBINA-AS OJSC Vimpelcom
93.82.0.0,93.83.255.255,8447,AT,A1TELEKOM-AT A1 Telekom Austria AG
93.84.0.0,93.84.83.255,6697,BY,BELPAK-AS BELPAK
93.84.84.0,93.84.97.255,6697,BY,BELPAK-AS BELPAK
93.84.98.0,93.84.104.255,6697,BY,BELPAK-AS BELPAK
93.84.105.0,93.84.109.255,6697,BY,BELPAK-AS BELPAK
93.84.110.0,93.85.63.255,6697,BY,BELPAK-AS BELPAK
93.85.64.0,93.85.80.255,6697,BY,BELPAK-AS BELPAK
93.85.81.0,93.85.95.255,6697,BY,BELPAK-AS BELPAK
93.85.96.0,93.85.191.255,6697,BY,BELPAK-AS BELPAK
93.85.192.0,93.85.255.255,6697,BY,BELPAK-AS BELPAK
93.86.0.0,93.87.255.255,8400,RS,TELEKOM-AS
93.88.0.0,93.88.8.255,21332,RU,NTC-AS
93.88.9.0,93.88.9.255,0,None,Not routed
93.88.10.0,93.88.15.255,21332,RU,NTC-AS
93.88.16.0,93.88.19.255,8767,DE,MNET-AS Germany
93.88.20.0,93.88.23.255,48146,ES,TRIPLEA
93.88.24.0,93.88.27.255,203730,RU,SVIAZINVESTREGION
93.88.28.0,93.88.31.255,47806,ES,ASN-TELECONDADO
93.88.32.0,93.88.47.255,39657,IT,COMESER-AS
93.88.48.0,93.88.63.255,0,None,Not routed
93.88.64.0,93.88.73.255,58224,IR,TCI
93.88.74.0,93.88.74.255,207728,BG,EUROHOSTER
93.88.75.0,93.88.75.255,21100,UA,ITLDC-NL
93.88.76.0,93.88.79.255,57487,RU,MIXTELECOM-AS
93.88.80.0,93.88.95.255,48830,AZ,TEC-AS
93.88.96.0,93.88.111.255,39120,IT,CONVERGENZE-AS ISP services in Italy
93.88.112.0,93.88.127.255,13113,IT,ISILINE-AS Via Marconi, 2
93.88.128.0,93.88.143.255,13178,RU,DIGCOMM
93.88.144.0,93.88.151.255,0,None,Not routed
93.88.152.0,93.88.159.255,34968,NL,IUNXI
93.88.160.0,93.88.162.255,0,None,Not routed
93.88.163.0,93.88.164.255,16300,RU,INTERTAX-AREA
93.88.165.0,93.88.165.255,200838,RU,RADIOIMPULS
93.88.166.0,93.88.166.255,199534,RU,ENIFON
93.88.167.0,93.88.168.255,0,None,Not routed
93.88.169.0,93.88.169.255,199281,RU,ENIFON2
93.88.170.0,93.88.170.255,200838,RU,RADIOIMPULS
93.88.171.0,93.88.175.255,0,None,Not routed
93.88.176.0,93.88.191.255,5468,RU,URFU
93.88.192.0,93.88.207.255,197248,HU,DRAVANET-AS
93.88.208.0,93.88.219.255,15638,RU,UTL Ussuriysk
93.88.220.0,93.88.223.255,0,None,Not routed
93.88.224.0,93.88.224.60,44973,DE,RZHAS-AS
93.88.224.61,93.88.227.43,44973,DE,RZHAS-AS
93.88.227.44,93.88.227.255,44973,DE,RZHAS-AS
93.88.228.0,93.88.239.255,203986,DE,SIN-NET1
93.88.240.0,93.88.255.255,29222,CH,INFOMANIAK-AS
93.89.0.0,93.89.0.255,21461,DE,TRANSFAIRNET
93.89.1.0,93.89.1.255,0,None,Not routed
93.89.2.0,93.89.2.255,44700,DE,HAENDLEKORTE-AS
93.89.3.0,93.89.4.255,0,None,Not routed
93.89.5.0,93.89.7.255,21461,DE,TRANSFAIRNET
93.89.8.0,93.89.11.255,44180,DE,EMSLANDTEL-AS
93.89.12.0,93.89.12.255,35548,DE,SMARTTERRA-AS
93.89.13.0,93.89.23.255,0,None,Not routed
93.89.24.0,93.89.24.255,29141,DE,BKVG-AS
93.89.25.0,93.89.31.255,0,None,Not routed
93.89.32.0,93.89.47.255,35132,NO,ENIVEST-AS
93.89.48.0,93.89.63.255,20811,IT,BRENNERCOM-AS
93.89.64.0,93.89.79.255,196733,TR,ESOESNET
93.89.80.0,93.89.95.255,39326,GB,HSO-GROUP
93.89.96.0,93.89.111.255,198813,CZ,SYCHROVNET
93.89.112.0,93.89.127.255,52157,NO,VITNETT-AS
93.89.128.0,93.89.143.255,12496,GB,IDNET IDNet
93.89.144.0,93.89.159.255,42306,CZ,EDERA_GROUP
93.89.160.0,93.89.175.255,5483,HU,MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt.
93.89.176.0,93.89.191.255,8905,RU,DIGIT1-AS Digit One Moscow Network
93.89.192.0,93.89.207.255,201328,PL,TKK-NET-ASN
93.89.208.0,93.89.209.255,0,None,Not routed
93.89.210.0,93.89.213.255,45025,UA,EDN-AS
93.89.214.0,93.89.215.255,45025,UA,EDN-AS
93.89.216.0,93.89.221.255,0,None,Not routed
93.89.222.0,93.89.223.255,45025,UA,EDN-AS
93.89.224.0,93.89.239.255,51557,TR,TR-ISIMTESCIL-20201202
93.89.240.0,93.89.255.255,42227,IE,AIRWIRE-AS Airwire
93.90.0.0,93.90.15.255,31027,DK,GLOBALCONNECT-AS31027
93.90.16.0,93.90.31.255,16371,ES,ACENS_AS Spain Hosting, housing and VPN services
93.90.32.0,93.90.47.255,12714,RU,TI-AS Moscow, Russia
93.90.48.0,93.90.63.255,45010,FI,MEGATUUTTI
93.90.64.0,93.90.67.255,201975,NL,UNISCAPEB IT-Services & Hosting
93.90.68.0,93.90.71.255,0,None,Not routed
93.90.72.0,93.90.73.255,138968,JP,RAINBOWIDC-AS-AP rainbow network limited
93.90.74.0,93.90.75.255,55933,HK,CLOUDIE-AS-AP Cloudie Limited
93.90.76.0,93.90.77.255,60508,ES,PINOSPUENTE-AS
93.90.78.0,93.90.79.255,60508,ES,PINOSPUENTE-AS
93.90.80.0,93.90.95.255,45055,RU,DONTECHSVYAZ
93.90.96.0,93.90.111.255,48642,RU,FOR-AS Russia
93.90.112.0,93.90.127.255,28717,DK,GLOBALCONNECT-AS28717
93.90.128.0,93.90.143.255,47295,DE,ITELLIGENCE-AS
93.90.144.0,93.90.159.255,35041,SE,NET-BINERO-STHLM1
93.90.160.0,93.90.175.255,16019,CZ,VODAFONE-CZ-AS
93.90.176.0,93.90.177.255,45031,DE,PROVIDERBOX IPv4 & IPv6 DUS1
93.90.178.0,93.90.178.255,45012,DE,CLOUDPIT
93.90.179.0,93.90.182.255,45031,DE,PROVIDERBOX IPv4 & IPv6 DUS1
93.90.183.0,93.90.183.255,57739,DE,DOGADO-AMS
93.90.184.0,93.90.191.255,45031,DE,PROVIDERBOX IPv4 & IPv6 DUS1
93.90.192.0,93.90.207.255,8560,DE,IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.
93.90.208.0,93.90.215.255,44963,RU,POTOK-AS
93.90.216.0,93.90.219.255,49505,RU,SELECTEL
93.90.220.0,93.90.223.255,47723,RU,SOFTLINE_DC
93.90.224.0,93.90.227.255,8359,RU,MTS
93.90.228.0,93.90.239.255,25086,RU,URALTC-AS
93.90.240.0,93.90.255.255,0,None,Not routed
93.91.0.0,93.91.6.255,31430,RU,TEL-NET-AS
93.91.7.0,93.91.15.255,31430,RU,TEL-NET-AS
93.91.16.0,93.91.31.255,24958,GB,TBSH
93.91.32.0,93.91.47.255,51320,GB,WIRELESSLOGIC-UK
93.91.48.0,93.91.63.255,44489,CZ,STARNET
93.91.64.0,93.91.65.255,47134,TR,ECZ-NET
93.91.66.0,93.91.79.255,47134,TR,ECZ-NET
93.91.80.0,93.91.81.255,62023,DE,NYNEX
93.91.82.0,93.91.85.255,62023,DE,NYNEX
93.91.86.0,93.91.86.255,197711,DE,NYNEX
93.91.87.0,93.91.95.255,62023,DE,NYNEX
93.91.96.0,93.91.103.255,43905,NO,TBH-AS
93.91.104.0,93.91.111.255,0,None,Not routed
93.91.112.0,93.91.127.255,47562,RU,FASTLINK
93.91.128.0,93.91.143.255,31263,IT,MYNET-AS
93.91.144.0,93.91.159.255,47232,CZ,ISPALLIANCE
93.91.160.0,93.91.163.255,25549,RU,AVANTEL-AS
93.91.164.0,93.91.164.255,0,None,Not routed
93.91.165.0,93.91.170.255,25549,RU,AVANTEL-AS
93.91.171.0,93.91.171.255,207361,RU,AS_USERGATE
93.91.172.0,93.91.173.255,8711,RU,AVANTEL-BARNAUL-AS BARNAUL, Russia
93.91.174.0,93.91.175.255,25549,RU,AVANTEL-AS
93.91.176.0,93.91.191.255,1759,FI,TSF-IP-CORE Telia Finland Oyj
93.91.192.0,93.91.193.255,21277,IQ,NEWROZ-TELECOM-ASN
93.91.194.0,93.91.207.255,21277,IQ,NEWROZ-TELECOM-ASN
93.91.208.0,93.91.223.255,42968,PL,K-PSI-AS Conectio
93.91.224.0,93.91.224.255,12714,RU,TI-AS Moscow, Russia
93.91.225.0,93.91.231.255,0,None,Not routed
93.91.232.0,93.91.233.255,12714,RU,TI-AS Moscow, Russia
93.91.234.0,93.91.239.255,0,None,Not routed
93.91.240.0,93.91.255.255,47269,CZ,HLUCIN-NET-AS
93.92.0.0,93.92.7.255,44447,SE,MIRROR-AS
93.92.8.0,93.92.15.255,44451,IE,SKYTEL-AS
93.92.16.0,93.92.23.255,0,None,Not routed
93.92.24.0,93.92.31.255,57795,NL,NGNETWORKS
93.92.32.0,93.92.39.255,49531,RU,NETCOM-R-AS
93.92.40.0,93.92.47.255,0,None,Not routed
93.92.48.0,93.92.55.255,35214,CZ,OXID-AS
93.92.56.0,93.92.63.255,44651,HU,COMUNIQUE
93.92.64.0,93.92.64.255,43097,RU,WEBRA
93.92.65.0,93.92.65.255,59696,RU,ADMKRSK
93.92.66.0,93.92.66.255,43097,RU,WEBRA
93.92.67.0,93.92.67.255,0,None,Not routed
93.92.68.0,93.92.70.255,43097,RU,WEBRA
93.92.71.0,93.92.71.255,43097,RU,WEBRA
93.92.72.0,93.92.79.255,44793,IT,ASN-AMUSER
93.92.80.0,93.92.87.255,34467,RU,SOTCOM-AS
93.92.88.0,93.92.91.255,35140,RU,SPIN
93.92.92.0,93.92.95.255,34709,RU,ALTEGROSKY-AS
93.92.96.0,93.92.103.255,24586,NL,NL-INTERMAX Intermax Cloudsourcing B.V.
93.92.104.0,93.92.108.255,44527,FR,ASSERES for further information, please see www.seres.fr
93.92.109.0,93.92.110.255,44527,FR,ASSERES for further information, please see www.seres.fr
93.92.111.0,93.92.111.255,44527,FR,ASSERES for further information, please see www.seres.fr
93.92.112.0,93.92.112.255,55286,CA,SERVER-MANIA
93.92.113.0,93.92.113.255,202273,RU,MKB-AS
93.92.114.0,93.92.115.255,33991,RU,IGRA-SERVICE-AS
93.92.116.0,93.92.119.255,59790,DE,BUNGALSKI-AS
93.92.120.0,93.92.127.255,5413,GB,AS5413
93.92.128.0,93.92.135.255,29014,DE,SCALEUP
93.92.136.0,93.92.143.255,44542,RU,COUNTRYCOM
93.92.144.0,93.92.147.255,8972,DE,GD-EMEA-DC-SXB1
93.92.148.0,93.92.149.255,20773,DE,GODADDY
