range_start,range_end,AS_number,country_code,AS_description
60.0.0.0,60.12.7.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
60.12.8.0,60.28.8.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
60.28.9.0,60.30.2.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
60.30.3.0,60.31.139.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
60.31.140.0,60.31.155.255,139007,CN,UNICOM-NM-WULANCHABU-IDC UNICOM InnerMongolia province network
60.31.156.0,60.31.243.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
60.31.244.0,60.31.244.255,139007,CN,UNICOM-NM-WULANCHABU-IDC UNICOM InnerMongolia province network
60.31.245.0,60.31.255.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
60.32.0.0,60.47.255.255,4713,JP,OCN NTT Communications Corporation
60.48.0.0,60.49.31.255,4788,MY,TMNET-AS-AP TM Net, Internet Service Provider
60.49.32.0,60.54.255.255,4788,MY,TMNET-AS-AP TM Net, Internet Service Provider
60.55.0.0,60.55.255.255,0,None,Not routed
60.56.0.0,60.57.255.255,17511,JP,OPTAGE OPTAGE Inc.
60.58.0.0,60.62.255.255,9824,JP,JTCL-JP-AS JCOM Co., Ltd.
60.63.0.0,60.63.255.255,9812,CN,CNNIC-CN-COLNET Oriental Cable Network Co., Ltd.
60.64.0.0,60.87.2.255,17676,JP,GIGAINFRA Softbank BB Corp.
60.87.3.0,60.87.5.255,20940,NL,AKAMAI-ASN1
60.87.6.0,60.87.9.255,17676,JP,GIGAINFRA Softbank BB Corp.
60.87.10.0,60.87.12.255,20940,NL,AKAMAI-ASN1
60.87.13.0,60.159.255.255,17676,JP,GIGAINFRA Softbank BB Corp.
60.160.0.0,60.161.15.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
60.161.16.0,60.161.19.255,134766,CN,CHINANET-YUNNAN-IDC2 CHINANET Yunnan province IDC2 network
60.161.20.0,60.163.127.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
60.163.128.0,60.163.132.255,136190,CN,CHINATELECOM-ZHEJIANG-JINHUA-IDC JINHUA, ZHEJIANG Province, P.R.China.
