range_start,range_end,AS_number,country_code,AS_description
135.0.0.0,135.0.143.255,54614,CA,CIKTELECOM-CABLE
135.0.144.0,135.0.147.255,54614,CA,CIKTELECOM-CABLE
135.0.148.0,135.0.197.255,54614,CA,CIKTELECOM-CABLE
135.0.198.0,135.0.219.255,54614,CA,CIKTELECOM-CABLE
135.0.220.0,135.0.231.255,54614,CA,CIKTELECOM-CABLE
135.0.232.0,135.0.239.255,54614,CA,CIKTELECOM-CABLE
135.0.240.0,135.0.255.255,54614,CA,CIKTELECOM-CABLE
135.1.0.0,135.7.255.255,10455,US,LUCENT-CIO
135.8.0.0,135.8.102.255,18676,US,AVAYA
135.8.103.0,135.10.223.255,18676,US,AVAYA
135.10.224.0,135.11.7.255,18676,US,AVAYA
135.11.8.0,135.11.255.255,18676,US,AVAYA
135.12.0.0,135.12.7.255,17225,US,ATT-CERFNET-BLOCK
135.12.8.0,135.12.15.255,0,None,Not routed
135.12.16.0,135.12.16.255,2685,US,ATGS-MMD-AS
135.12.17.0,135.12.19.255,0,None,Not routed
135.12.20.0,135.12.20.255,20161,CA,TRGO
135.12.21.0,135.12.22.255,0,None,Not routed
135.12.23.0,135.12.27.255,2685,US,ATGS-MMD-AS
135.12.28.0,135.12.31.255,174,US,COGENT-174
135.12.32.0,135.12.47.255,2685,US,ATGS-MMD-AS
135.12.48.0,135.12.79.255,0,None,Not routed
135.12.80.0,135.12.80.255,2685,US,ATGS-MMD-AS
135.12.81.0,135.12.127.255,0,None,Not routed
135.12.128.0,135.12.255.255,1239,US,SPRINTLINK
135.13.0.0,135.14.147.255,0,None,Not routed
135.14.148.0,135.14.148.255,19637,US,AVG19637
135.14.149.0,135.14.149.255,0,None,Not routed
135.14.150.0,135.14.150.255,19637,US,AVG19637
135.14.151.0,135.14.151.255,0,None,Not routed
135.14.152.0,135.14.152.255,19637,US,AVG19637
135.14.153.0,135.14.195.255,0,None,Not routed
135.14.196.0,135.14.196.255,19637,US,AVG19637
135.14.197.0,135.14.201.255,0,None,Not routed
135.14.202.0,135.14.203.255,19637,US,AVG19637
135.14.204.0,135.14.204.255,0,None,Not routed
135.14.205.0,135.14.205.255,19637,US,AVG19637
135.14.206.0,135.14.206.255,0,None,Not routed
135.14.207.0,135.14.208.255,19637,US,AVG19637
135.14.209.0,135.14.211.255,0,None,Not routed
135.14.212.0,135.14.212.255,19637,US,AVG19637
135.14.213.0,135.14.217.255,0,None,Not routed
135.14.218.0,135.14.219.255,36657,US,AVAGO-AS-AM
135.14.220.0,135.14.222.255,0,None,Not routed
135.14.223.0,135.14.224.255,19637,US,AVG19637
135.14.225.0,135.14.227.255,0,None,Not routed
135.14.228.0,135.14.228.255,19637,US,AVG19637
135.14.229.0,135.14.233.255,0,None,Not routed
135.14.234.0,135.14.234.255,19637,US,AVG19637
135.14.235.0,135.14.235.255,0,None,Not routed
135.14.236.0,135.14.236.255,19637,US,AVG19637
