range_start,range_end,AS_number,country_code,AS_description
111.7.204.0,111.7.206.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.7.207.0,111.7.255.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.8.0.0,111.8.1.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.2.0,111.8.9.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.10.0,111.8.63.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.64.0,111.8.78.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.79.0,111.8.79.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.80.0,111.8.92.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.93.0,111.8.98.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.99.0,111.8.103.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.104.0,111.8.122.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.123.0,111.8.130.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.131.0,111.8.150.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.151.0,111.8.185.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.186.0,111.8.190.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.191.0,111.8.193.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.194.0,111.8.197.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.198.0,111.8.222.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.223.0,111.8.224.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.225.0,111.8.249.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.250.0,111.8.255.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.9.0.0,111.9.68.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.69.0,111.9.71.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.72.0,111.9.87.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.88.0,111.9.89.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.90.0,111.9.103.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.104.0,111.9.107.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.108.0,111.9.123.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.124.0,111.9.124.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.125.0,111.9.125.255,139080,Unknown,AS139080
111.9.126.0,111.9.131.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.132.0,111.9.139.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.140.0,111.9.239.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.240.0,111.9.243.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.244.0,111.9.245.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.9.246.0,111.9.247.255,139080,Unknown,AS139080
111.9.248.0,111.10.4.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.10.5.0,111.10.9.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.10.10.0,111.10.19.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.10.20.0,111.10.23.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.10.24.0,111.10.39.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.10.40.0,111.10.63.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.10.64.0,111.10.65.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.10.66.0,111.10.96.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.10.97.0,111.10.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.11.0.0,111.11.22.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.11.23.0,111.11.28.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.11.29.0,111.11.63.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.11.64.0,111.11.72.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.11.73.0,111.11.119.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.11.120.0,111.11.127.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.11.128.0,111.11.148.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.11.149.0,111.11.160.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.11.161.0,111.11.223.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.11.224.0,111.12.3.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.4.0,111.12.5.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.6.0,111.12.22.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.23.0,111.12.30.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.31.0,111.12.32.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.33.0,111.12.35.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.36.0,111.12.40.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.41.0,111.12.42.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.43.0,111.12.44.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.45.0,111.12.45.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.46.0,111.12.54.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.55.0,111.12.63.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.64.0,111.12.67.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.68.0,111.12.77.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.78.0,111.12.82.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.83.0,111.12.86.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.87.0,111.12.87.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.88.0,111.12.90.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.91.0,111.12.96.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.97.0,111.12.100.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.101.0,111.12.104.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.105.0,111.12.108.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.109.0,111.12.112.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.113.0,111.12.121.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.122.0,111.12.123.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.124.0,111.12.137.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.138.0,111.12.168.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.169.0,111.12.207.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.12.208.0,111.13.126.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.13.127.0,111.13.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.14.0.0,111.15.95.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.15.96.0,111.15.143.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.15.144.0,111.16.159.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.16.160.0,111.17.95.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.17.96.0,111.17.255.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.18.0.0,111.18.23.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.18.24.0,111.18.63.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.18.64.0,111.18.87.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
