range_start,range_end,AS_number,country_code,AS_description
186.0.0.0,186.0.127.255,13489,CO,EPM Telecomunicaciones S.A. E.S.P.
186.0.128.0,186.0.135.255,27953,AR,NODOSUD S.A
186.0.136.0,186.0.143.255,52251,AR,NORTECH
186.0.144.0,186.0.147.255,270520,BR,TELLIUS TELECOMUNICACOES DAS AMERICAS LTDA
186.0.148.0,186.0.151.255,270506,BR,G5 Rede de Telecomunicacoes Multimidia Ltda
186.0.152.0,186.0.155.255,11392,AR,Nosis Laboratorio de Investigacion y Desarrollo S.A.
186.0.156.0,186.0.159.255,267770,BO,COTEGUA LTDA Coop. de Telecomunicaciones Guayaramerin Ltda.
186.0.160.0,186.0.174.255,52255,AR,Grupo Servicios Junin S.A.
186.0.175.0,186.0.175.255,52255,AR,Grupo Servicios Junin S.A.
186.0.176.0,186.0.179.255,61510,AR,Cooperativa Telefonica de Calafate Ltda.
186.0.180.0,186.0.183.255,263244,AR,Iperactive SA
186.0.184.0,186.0.187.255,263776,AR,Vito Hugo Gonzalez
186.0.188.0,186.0.191.255,23201,PY,Telecel S.A.
186.0.192.0,186.0.192.255,0,None,Not routed
186.0.193.0,186.0.193.255,7049,AR,Silica Networks Argentina S.A.
186.0.194.0,186.0.194.255,0,None,Not routed
186.0.195.0,186.0.206.255,7049,AR,Silica Networks Argentina S.A.
186.0.207.0,186.0.214.255,7049,AR,Silica Networks Argentina S.A.
186.0.215.0,186.0.215.255,7049,AR,Silica Networks Argentina S.A.
186.0.216.0,186.0.216.255,27735,CL,TIVIT CHILE TERCERIZACION DE PROCESOS, SERVICIOS Y TECNOLOGIA SpA
186.0.217.0,186.0.220.255,0,None,Not routed
186.0.221.0,186.0.222.255,7049,AR,Silica Networks Argentina S.A.
186.0.223.0,186.0.223.255,0,None,Not routed
186.0.224.0,186.0.226.255,7049,AR,Silica Networks Argentina S.A.
186.0.227.0,186.0.230.255,7049,AR,Silica Networks Argentina S.A.
186.0.231.0,186.0.231.255,7049,AR,Silica Networks Argentina S.A.
186.0.232.0,186.0.232.255,0,None,Not routed
186.0.233.0,186.0.239.255,7049,AR,Silica Networks Argentina S.A.
186.0.240.0,186.0.240.255,0,None,Not routed
186.0.241.0,186.0.244.255,7049,AR,Silica Networks Argentina S.A.
186.0.245.0,186.0.251.255,0,None,Not routed
186.0.252.0,186.0.252.255,7049,AR,Silica Networks Argentina S.A.
186.0.253.0,186.0.255.255,0,None,Not routed
186.1.0.0,186.1.58.255,18840,NI,EQUIPOS Y SISTEMAS S.A.
