range_start,range_end,AS_number,country_code,AS_description
163.0.0.0,163.0.255.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
163.1.0.0,163.1.255.255,786,GB,JANET Jisc Services Limited
163.2.0.0,163.2.255.255,2749,US,DNIC-AS-02749
163.3.0.0,163.3.253.255,0,None,Not routed
163.3.254.0,163.3.254.255,3301,SE,TELIANET-SWEDEN Telia Company
163.3.255.0,163.3.255.255,0,None,Not routed
163.4.0.0,163.4.255.255,749,US,DNIC-AS-00749
163.5.0.0,163.5.1.255,0,None,Not routed
163.5.2.0,163.5.2.255,56339,FR,BOCAL
163.5.3.0,163.5.4.255,0,None,Not routed
163.5.5.0,163.5.5.255,56339,FR,BOCAL
163.5.6.0,163.5.9.255,0,None,Not routed
163.5.10.0,163.5.13.255,56339,FR,BOCAL
163.5.14.0,163.5.19.255,0,None,Not routed
163.5.20.0,163.5.20.255,56339,FR,BOCAL
163.5.21.0,163.5.22.255,0,None,Not routed
163.5.23.0,163.5.23.255,56339,FR,BOCAL
163.5.24.0,163.5.29.255,0,None,Not routed
163.5.30.0,163.5.31.255,60721,TR,BURSABIL
163.5.32.0,163.5.32.255,211237,TR,FORTR-TELEKOMUNIKASYON
163.5.33.0,163.5.34.255,60721,TR,BURSABIL
163.5.35.0,163.5.35.255,204372,FR,VINCENT-PICCO
163.5.36.0,163.5.36.255,212238,GB,CDNEXT
163.5.37.0,163.5.39.255,60721,TR,BURSABIL
163.5.40.0,163.5.57.255,56339,FR,BOCAL
163.5.58.0,163.5.64.255,0,None,Not routed
163.5.65.0,163.5.65.255,56339,FR,BOCAL
163.5.66.0,163.5.67.255,0,None,Not routed
163.5.68.0,163.5.69.255,56339,FR,BOCAL
163.5.70.0,163.5.70.255,56913,Unknown,AS56913
163.5.71.0,163.5.71.255,7018,US,ATT-INTERNET4
163.5.72.0,163.5.72.255,56913,Unknown,AS56913
163.5.73.0,163.5.73.255,56339,FR,BOCAL
163.5.74.0,163.5.76.255,396356,BR,MAXIHOST
163.5.77.0,163.5.78.255,56913,Unknown,AS56913
163.5.79.0,163.5.79.255,142111,CN,AIYUN-AS-AP Zhejiang Aiyun Network Technology Co Ltd
163.5.80.0,163.5.82.255,56339,FR,BOCAL
163.5.83.0,163.5.84.255,0,None,Not routed
163.5.85.0,163.5.85.255,56339,FR,BOCAL
163.5.86.0,163.5.90.255,0,None,Not routed
163.5.91.0,163.5.91.255,60721,TR,BURSABIL
163.5.92.0,163.5.93.255,396356,BR,MAXIHOST
163.5.94.0,163.5.95.255,211237,TR,FORTR-TELEKOMUNIKASYON
163.5.96.0,163.5.96.255,396356,BR,MAXIHOST
163.5.97.0,163.5.97.255,60721,TR,BURSABIL
163.5.98.0,163.5.98.255,396356,BR,MAXIHOST
163.5.99.0,163.5.99.255,35913,US,DEDIPATH-LLC
163.5.100.0,163.5.100.255,204843,TR,TR-STERLY_VERI_MERKEZI_YAZILIM_VE_SIBER_GUVENLIK_HIZMETLERI_ANONIM_SIRKETI
163.5.101.0,163.5.101.255,207459,TR,AS-TEKNOSOS-INT
163.5.102.0,163.5.102.255,400377,US,AS-DC
163.5.103.0,163.5.103.255,140947,IN,SNTHOSTINGS-AS-AP SnTHostings
163.5.104.0,163.5.104.255,207429,TR,KAPTEYAN
163.5.105.0,163.5.105.255,400377,US,AS-DC
163.5.106.0,163.5.106.255,49581,DE,FERDINANDZINK
163.5.107.0,163.5.107.255,43043,DE,FASTPIPE fastpipe.io Cloud Infrastructure
163.5.108.0,163.5.108.255,49581,DE,FERDINANDZINK
163.5.109.0,163.5.109.255,209181,GB,ZENEX5IVE-NL
163.5.110.0,163.5.111.255,7018,US,ATT-INTERNET4
163.5.112.0,163.5.112.255,61317,GB,ASDETUK www.heficed.com
163.5.113.0,163.5.113.255,211237,TR,FORTR-TELEKOMUNIKASYON
163.5.114.0,163.5.114.255,60721,TR,BURSABIL
163.5.115.0,163.5.115.255,14445,US,PEACEWEB
163.5.116.0,163.5.116.255,211237,TR,FORTR-TELEKOMUNIKASYON
163.5.117.0,163.5.117.255,61138,US,ZAPPIE-HOST-AS Zappie Host
163.5.118.0,163.5.119.255,211936,US,RD-UK
163.5.120.0,163.5.120.255,212815,FR,AS-DYJIX
163.5.121.0,163.5.121.255,0,None,Not routed
163.5.122.0,163.5.122.255,40676,US,AS40676
163.5.123.0,163.5.123.255,206092,GB,SECFIREWALLAS
163.5.124.0,163.5.124.255,60721,TR,BURSABIL
163.5.125.0,163.5.125.255,834,US,IPXO
163.5.126.0,163.5.126.255,7018,US,ATT-INTERNET4
163.5.127.0,163.5.127.255,834,US,IPXO
163.5.128.0,163.5.128.255,7018,US,ATT-INTERNET4
163.5.129.0,163.5.129.255,64267,US,AS-SPRIO
163.5.130.0,163.5.130.255,61317,GB,ASDETUK www.heficed.com
163.5.131.0,163.5.131.255,60721,TR,BURSABIL
163.5.132.0,163.5.133.255,211237,TR,FORTR-TELEKOMUNIKASYON
163.5.134.0,163.5.134.255,63023,US,AS-GLOBALTELEHOST
163.5.135.0,163.5.136.255,211237,TR,FORTR-TELEKOMUNIKASYON
163.5.137.0,163.5.137.255,0,None,Not routed
163.5.138.0,163.5.138.255,204372,FR,VINCENT-PICCO
163.5.139.0,163.5.139.255,40676,US,AS40676
163.5.140.0,163.5.140.255,0,None,Not routed
163.5.141.0,163.5.141.255,212669,LT,IPROYAL
163.5.142.0,163.5.143.255,0,None,Not routed
163.5.144.0,163.5.145.255,210703,TR,TR-MARKAHOST
163.5.146.0,163.5.146.255,212669,LT,IPROYAL
163.5.147.0,163.5.147.255,834,US,IPXO
163.5.148.0,163.5.148.255,44486,DE,SYNLINQ synlinq.de
163.5.149.0,163.5.149.255,17447,IN,NET4-IN Net4India Ltd
163.5.150.0,163.5.150.255,203728,GB,AS_BAHU
163.5.151.0,163.5.151.255,9009,RO,M247
163.5.152.0,163.5.152.255,60721,TR,BURSABIL
163.5.153.0,163.5.153.255,0,None,Not routed
163.5.154.0,163.5.154.255,43260,TR,AS43260
163.5.155.0,163.5.157.255,2914,US,NTT-LTD-2914
163.5.158.0,163.5.158.255,60721,TR,BURSABIL
163.5.159.0,163.5.159.255,3320,DE,DTAG Internet service provider operations
163.5.160.0,163.5.160.255,399486,CA,VIRTUO
163.5.161.0,163.5.161.255,204372,FR,VINCENT-PICCO
163.5.162.0,163.5.162.255,212669,LT,IPROYAL
163.5.163.0,163.5.163.255,211975,DE,WOHLERT
163.5.164.0,163.5.164.255,3356,US,LEVEL3
163.5.165.0,163.5.165.255,7018,US,ATT-INTERNET4
163.5.166.0,163.5.166.255,174,US,COGENT-174
163.5.167.0,163.5.167.255,400039,US,WT-AUR
163.5.168.0,163.5.168.255,210703,TR,TR-MARKAHOST
163.5.169.0,163.5.169.255,60721,TR,BURSABIL
163.5.170.0,163.5.170.255,62068,NL,SPECTRAIP SpectraIP B.V.
163.5.171.0,163.5.172.255,14445,US,PEACEWEB
163.5.173.0,163.5.173.255,211237,TR,FORTR-TELEKOMUNIKASYON
163.5.174.0,163.5.174.255,14445,US,PEACEWEB
163.5.175.0,163.5.175.255,49999,GB,BANDWIDTHTECH-AS
163.5.176.0,163.5.176.255,44486,DE,SYNLINQ synlinq.de
163.5.177.0,163.5.177.255,211440,LT,IPROYALUK
163.5.178.0,163.5.178.255,44486,DE,SYNLINQ synlinq.de
163.5.179.0,163.5.180.255,834,US,IPXO
163.5.181.0,163.5.181.255,210122,RU,OOOTCK-AS
163.5.182.0,163.5.182.255,43350,NL,NFORCE
163.5.183.0,163.5.183.255,40676,US,AS40676
163.5.184.0,163.5.184.255,209260,DE,KOVAC
163.5.185.0,163.5.185.255,14445,US,PEACEWEB
163.5.186.0,163.5.186.255,211237,TR,FORTR-TELEKOMUNIKASYON
163.5.187.0,163.5.187.255,61317,GB,ASDETUK www.heficed.com
163.5.188.0,163.5.188.255,142430,IN,DIGIVPS-AS-AP DIGI VPS
163.5.189.0,163.5.189.255,210439,TR,VISLOM
163.5.190.0,163.5.190.255,0,None,Not routed
