range_start,range_end,AS_number,country_code,AS_description
137.0.0.0,137.0.255.255,721,US,DNIC-ASBLK-00721-00726
137.1.0.0,137.1.121.255,385,US,AFCONC-BLOCK1-AS
137.1.122.0,137.1.212.255,385,US,AFCONC-BLOCK1-AS
137.1.213.0,137.2.87.255,385,US,AFCONC-BLOCK1-AS
137.2.88.0,137.2.255.255,721,US,DNIC-ASBLK-00721-00726
137.3.0.0,137.4.186.255,385,US,AFCONC-BLOCK1-AS
137.4.187.0,137.4.255.255,385,US,AFCONC-BLOCK1-AS
137.5.0.0,137.5.255.255,721,US,DNIC-ASBLK-00721-00726
137.6.0.0,137.6.223.255,385,US,AFCONC-BLOCK1-AS
137.6.224.0,137.6.255.255,721,US,DNIC-ASBLK-00721-00726
137.7.0.0,137.7.255.255,385,US,AFCONC-BLOCK1-AS
137.8.0.0,137.8.255.255,721,US,DNIC-ASBLK-00721-00726
137.9.0.0,137.9.80.255,385,US,AFCONC-BLOCK1-AS
137.9.81.0,137.9.99.255,385,US,AFCONC-BLOCK1-AS
137.9.100.0,137.9.100.255,721,US,DNIC-ASBLK-00721-00726
137.9.101.0,137.9.118.255,385,US,AFCONC-BLOCK1-AS
137.9.119.0,137.9.121.255,385,US,AFCONC-BLOCK1-AS
137.9.122.0,137.11.255.255,385,US,AFCONC-BLOCK1-AS
137.12.0.0,137.13.255.255,749,US,DNIC-AS-00749
137.14.0.0,137.14.7.255,385,US,AFCONC-BLOCK1-AS
137.14.8.0,137.14.59.255,385,US,AFCONC-BLOCK1-AS
137.14.60.0,137.14.107.255,385,US,AFCONC-BLOCK1-AS
137.14.108.0,137.14.122.255,385,US,AFCONC-BLOCK1-AS
137.14.123.0,137.14.139.255,385,US,AFCONC-BLOCK1-AS
137.14.140.0,137.14.219.255,385,US,AFCONC-BLOCK1-AS
137.14.220.0,137.14.255.255,385,US,AFCONC-BLOCK1-AS
137.15.0.0,137.15.255.255,577,CA,BACOM
137.16.0.0,137.16.255.255,0,None,Not routed
137.17.0.0,137.17.80.255,1136,NL,KPN KPN National
137.17.81.0,137.17.231.255,1136,NL,KPN KPN National
137.17.232.0,137.17.255.255,1136,NL,KPN KPN National
137.18.0.0,137.18.255.255,1999,US,HOUSE-AS-1
137.19.0.0,137.20.255.255,0,None,Not routed
137.21.0.0,137.21.255.255,399697,US,SUNY-BROCKPORT
137.22.0.0,137.22.31.255,26557,US,CARLET-NET
137.22.32.0,137.22.63.255,11232,US,MIDCO-NET
137.22.64.0,137.22.95.255,26557,US,CARLET-NET
137.22.96.0,137.22.127.255,11232,US,MIDCO-NET
137.22.128.0,137.22.159.255,26557,US,CARLET-NET
137.22.160.0,137.22.191.255,41354,GB,ITS-TG
137.22.192.0,137.22.223.255,26557,US,CARLET-NET
137.22.224.0,137.22.231.255,23528,US,SPARKPOST
137.22.232.0,137.23.255.255,0,None,Not routed
137.24.0.0,137.24.255.255,749,US,DNIC-AS-00749
137.25.0.0,137.26.63.255,20115,US,CHARTER-20115
137.26.64.0,137.26.127.255,33588,US,BRESNAN-33588
137.26.128.0,137.27.255.255,20115,US,CHARTER-20115
137.28.0.0,137.28.255.255,19184,US,UWECNET
137.29.0.0,137.29.255.255,749,US,DNIC-AS-00749
137.30.0.0,137.30.247.255,26333,US,UNONET
137.30.248.0,137.32.0.255,0,None,Not routed
137.32.1.0,137.32.4.255,6075,US,LM-CORP
137.32.5.0,137.32.11.255,0,None,Not routed
137.32.12.0,137.32.12.255,6075,US,LM-CORP
137.32.13.0,137.32.15.255,0,None,Not routed
137.32.16.0,137.32.16.255,6075,US,LM-CORP
137.32.17.0,137.32.19.255,0,None,Not routed
137.32.20.0,137.32.23.255,6075,US,LM-CORP
137.32.24.0,137.32.27.255,0,None,Not routed
137.32.28.0,137.32.28.255,6075,US,LM-CORP
137.32.29.0,137.32.29.255,0,None,Not routed
137.32.30.0,137.32.35.255,6075,US,LM-CORP
137.32.36.0,137.32.37.255,0,None,Not routed
137.32.38.0,137.32.38.255,6075,US,LM-CORP
137.32.39.0,137.32.39.255,0,None,Not routed
137.32.40.0,137.32.41.255,6075,US,LM-CORP
137.32.42.0,137.32.45.255,0,None,Not routed
137.32.46.0,137.32.47.255,6075,US,LM-CORP
137.32.48.0,137.32.55.255,0,None,Not routed
137.32.56.0,137.32.56.255,6075,US,LM-CORP
137.32.57.0,137.32.64.255,0,None,Not routed
137.32.65.0,137.32.66.255,6075,US,LM-CORP
137.32.67.0,137.32.68.255,0,None,Not routed
137.32.69.0,137.32.69.255,6075,US,LM-CORP
137.32.70.0,137.32.79.255,0,None,Not routed
137.32.80.0,137.32.80.255,6075,US,LM-CORP
137.32.81.0,137.32.81.255,0,None,Not routed
137.32.82.0,137.32.83.255,6075,US,LM-CORP
137.32.84.0,137.32.91.255,0,None,Not routed
137.32.92.0,137.32.92.255,6075,US,LM-CORP
137.32.93.0,137.32.95.255,0,None,Not routed
137.32.96.0,137.32.96.255,6075,US,LM-CORP
137.32.97.0,137.32.97.255,0,None,Not routed
137.32.98.0,137.32.98.255,6075,US,LM-CORP
137.32.99.0,137.32.100.255,0,None,Not routed
137.32.101.0,137.32.103.255,6075,US,LM-CORP
137.32.104.0,137.32.107.255,0,None,Not routed
137.32.108.0,137.32.111.255,6075,US,LM-CORP
137.32.112.0,137.32.163.255,0,None,Not routed
137.32.164.0,137.32.166.255,6075,US,LM-CORP
137.32.167.0,137.32.195.255,0,None,Not routed
137.32.196.0,137.32.196.255,6075,US,LM-CORP
137.32.197.0,137.32.252.255,0,None,Not routed
137.32.253.0,137.32.254.255,6075,US,LM-CORP
137.32.255.0,137.35.255.255,0,None,Not routed
137.36.0.0,137.36.255.255,11351,US,TWC-11351-NORTHEAST
137.37.0.0,137.37.255.255,55282,US,SUNYCANTON-AS
137.38.0.0,137.38.255.255,0,None,Not routed
137.39.0.0,137.39.255.255,701,US,UUNET
137.40.0.0,137.42.255.255,0,None,Not routed
137.43.0.0,137.43.255.255,2850,IE,UNIVERSITY-COLLEGE-DUBLIN
137.44.0.0,137.44.255.255,786,GB,JANET Jisc Services Limited
137.45.0.0,137.45.59.255,13783,US,RADFORD-UNIV-AS
137.45.60.0,137.45.67.255,13783,US,RADFORD-UNIV-AS
137.45.68.0,137.45.89.255,13783,US,RADFORD-UNIV-AS
137.45.90.0,137.45.95.255,13783,US,RADFORD-UNIV-AS
137.45.96.0,137.45.255.255,13783,US,RADFORD-UNIV-AS
137.46.0.0,137.46.255.255,0,None,Not routed
137.47.0.0,137.47.41.255,25400,NO,TELIA-NORWAY-AS Telia Norway Core Networks
137.47.42.0,137.47.255.255,25400,NO,TELIA-NORWAY-AS Telia Norway Core Networks
137.48.0.0,137.48.255.255,7896,US,NU-AS
137.49.0.0,137.49.20.255,393337,US,UOFHARTFORD
137.49.21.0,137.49.27.255,393337,US,UOFHARTFORD
137.49.28.0,137.49.35.255,393337,US,UOFHARTFORD
137.49.36.0,137.49.71.255,393337,US,UOFHARTFORD
137.49.72.0,137.49.107.255,393337,US,UOFHARTFORD
137.49.108.0,137.49.115.255,393337,US,UOFHARTFORD
137.49.116.0,137.49.144.255,393337,US,UOFHARTFORD
137.49.145.0,137.49.148.255,393337,US,UOFHARTFORD
137.49.149.0,137.49.163.255,393337,US,UOFHARTFORD
137.49.164.0,137.49.181.255,393337,US,UOFHARTFORD
137.49.182.0,137.49.255.255,393337,US,UOFHARTFORD
137.50.0.0,137.50.255.255,786,GB,JANET Jisc Services Limited
137.51.0.0,137.51.245.255,1906,US,NORTHROP-GRUMMAN
137.51.246.0,137.51.247.255,2687,US,ATGS-MMD-AS
137.51.248.0,137.51.255.255,1906,US,NORTHROP-GRUMMAN
137.52.0.0,137.52.27.255,33670,US,NOVASOUTHEASTERNAS
137.52.28.0,137.52.65.255,33670,US,NOVASOUTHEASTERNAS
137.52.66.0,137.52.79.255,33670,US,NOVASOUTHEASTERNAS
137.52.80.0,137.52.141.255,33670,US,NOVASOUTHEASTERNAS
137.52.142.0,137.52.181.255,33670,US,NOVASOUTHEASTERNAS
137.52.182.0,137.52.255.255,33670,US,NOVASOUTHEASTERNAS
137.53.0.0,137.53.255.255,11995,US,OHSU
137.54.0.0,137.54.123.255,225,US,VIRGINIA-AS
137.54.124.0,137.54.255.255,225,US,VIRGINIA-AS
