range_start,range_end,AS_number,country_code,AS_description
147.0.0.0,147.0.30.255,10796,US,TWC-10796-MIDWEST
147.0.31.0,147.0.31.255,395289,US,KENTUCKY-FARM-BUREAU-MUTUAL-INSURANCE
147.0.32.0,147.0.255.255,10796,US,TWC-10796-MIDWEST
147.1.0.0,147.1.7.255,0,None,Not routed
147.1.8.0,147.1.8.255,2615,US,BECHTEL
147.1.9.0,147.1.9.255,0,None,Not routed
147.1.10.0,147.1.11.255,2615,US,BECHTEL
147.1.12.0,147.1.17.255,0,None,Not routed
147.1.18.0,147.1.18.255,2615,US,BECHTEL
147.1.19.0,147.1.22.255,0,None,Not routed
147.1.23.0,147.1.28.255,2615,US,BECHTEL
147.1.29.0,147.1.37.255,0,None,Not routed
147.1.38.0,147.1.38.255,2615,US,BECHTEL
147.1.39.0,147.1.46.255,0,None,Not routed
147.1.47.0,147.1.47.255,7018,US,ATT-INTERNET4
147.1.48.0,147.1.49.255,0,None,Not routed
147.1.50.0,147.1.50.255,2615,US,BECHTEL
147.1.51.0,147.1.51.255,0,None,Not routed
147.1.52.0,147.1.53.255,2615,US,BECHTEL
147.1.54.0,147.1.65.255,0,None,Not routed
147.1.66.0,147.1.67.255,2615,US,BECHTEL
147.1.68.0,147.1.103.255,0,None,Not routed
147.1.104.0,147.1.104.255,2615,US,BECHTEL
147.1.105.0,147.1.123.255,0,None,Not routed
147.1.124.0,147.1.127.255,2615,US,BECHTEL
147.1.128.0,147.1.139.255,0,None,Not routed
147.1.140.0,147.1.140.255,2615,US,BECHTEL
147.1.141.0,147.1.153.255,0,None,Not routed
147.1.154.0,147.1.154.255,2615,US,BECHTEL
147.1.155.0,147.1.183.255,0,None,Not routed
147.1.184.0,147.1.184.255,2615,US,BECHTEL
147.1.185.0,147.1.185.255,0,None,Not routed
147.1.186.0,147.1.186.255,2615,US,BECHTEL
147.1.187.0,147.1.209.255,0,None,Not routed
147.1.210.0,147.1.210.255,2615,US,BECHTEL
147.1.211.0,147.1.224.255,0,None,Not routed
147.1.225.0,147.1.225.255,2615,US,BECHTEL
147.1.226.0,147.1.227.255,0,None,Not routed
147.1.228.0,147.1.228.255,2615,US,BECHTEL
147.1.229.0,147.1.233.255,0,None,Not routed
