range_start,range_end,AS_number,country_code,AS_description
90.0.0.0,90.36.127.255,3215,FR,France Telecom - Orange
90.36.128.0,90.36.255.255,0,None,Not routed
90.37.0.0,90.63.255.255,3215,FR,France Telecom - Orange
90.64.0.0,90.64.255.255,15962,SK,OSK-DNI Slovakia
90.65.0.0,90.66.255.255,3215,FR,France Telecom - Orange
90.67.0.0,90.67.255.255,0,None,Not routed
90.68.0.0,90.68.21.255,12479,ES,UNI2-AS
90.68.22.0,90.68.33.255,12479,ES,UNI2-AS
90.68.34.0,90.68.75.255,12479,ES,UNI2-AS
90.68.76.0,90.68.141.255,12479,ES,UNI2-AS
90.68.142.0,90.68.144.255,12479,ES,UNI2-AS
90.68.145.0,90.68.151.255,12479,ES,UNI2-AS
90.68.152.0,90.69.100.255,12479,ES,UNI2-AS
90.69.101.0,90.69.115.255,12479,ES,UNI2-AS
90.69.116.0,90.69.147.255,12479,ES,UNI2-AS
90.69.148.0,90.69.202.255,12479,ES,UNI2-AS
90.69.203.0,90.69.235.255,12479,ES,UNI2-AS
90.69.236.0,90.69.255.255,12479,ES,UNI2-AS
90.70.0.0,90.70.255.255,3215,FR,France Telecom - Orange
90.71.0.0,90.71.4.255,12479,ES,UNI2-AS
90.71.5.0,90.71.73.255,12479,ES,UNI2-AS
90.71.74.0,90.71.175.255,12479,ES,UNI2-AS
90.71.176.0,90.71.239.255,12479,ES,UNI2-AS
90.71.240.0,90.71.250.255,12479,ES,UNI2-AS
90.71.251.0,90.71.255.255,12479,ES,UNI2-AS
90.72.0.0,90.72.255.255,0,None,Not routed
90.73.0.0,90.73.255.255,3215,FR,France Telecom - Orange
90.74.0.0,90.74.97.255,12479,ES,UNI2-AS
90.74.98.0,90.74.100.255,12479,ES,UNI2-AS
90.74.101.0,90.74.145.255,12479,ES,UNI2-AS
90.74.146.0,90.74.225.255,12479,ES,UNI2-AS
90.74.226.0,90.74.239.255,12479,ES,UNI2-AS
90.74.240.0,90.75.238.255,12479,ES,UNI2-AS
90.75.239.0,90.75.255.255,12479,ES,UNI2-AS
90.76.0.0,90.76.255.255,3215,FR,France Telecom - Orange
90.77.0.0,90.77.35.255,12479,ES,UNI2-AS
90.77.36.0,90.77.95.255,12479,ES,UNI2-AS
90.77.96.0,90.77.106.255,12479,ES,UNI2-AS
90.77.107.0,90.77.116.255,12479,ES,UNI2-AS
90.77.117.0,90.77.139.255,12479,ES,UNI2-AS
