range_start,range_end,AS_number,country_code,AS_description
101.0.0.0,101.0.3.255,0,None,Not routed
101.0.4.0,101.0.7.255,55670,ID,UNIVERSALNET-AS-ID PT. Universal Broadband
101.0.8.0,101.0.11.255,132827,Unknown,AS132827
101.0.12.0,101.0.19.255,0,None,Not routed
101.0.20.0,101.0.23.255,132827,Unknown,AS132827
101.0.24.0,101.0.27.255,0,None,Not routed
101.0.28.0,101.0.29.255,139468,JP,DCI-AS-AP DC Communications Inc.
101.0.30.0,101.0.30.255,0,None,Not routed
101.0.31.0,101.0.31.255,139468,JP,DCI-AS-AP DC Communications Inc.
101.0.32.0,101.0.32.255,133661,IN,NETPLUS-AS Netplus Broadband Services Private Limited
101.0.33.0,101.0.35.255,133696,IN,FASTWAY-AS Fastway Transmission Private Limited
101.0.36.0,101.0.36.255,0,None,Not routed
101.0.37.0,101.0.38.255,133661,IN,NETPLUS-AS Netplus Broadband Services Private Limited
101.0.39.0,101.0.40.255,0,None,Not routed
101.0.41.0,101.0.41.255,133661,IN,NETPLUS-AS Netplus Broadband Services Private Limited
101.0.42.0,101.0.42.255,133696,IN,FASTWAY-AS Fastway Transmission Private Limited
101.0.43.0,101.0.44.255,23682,IN,PACENET-AS Broadband Pacenet Pvt. Ltd
101.0.45.0,101.0.45.255,133661,IN,NETPLUS-AS Netplus Broadband Services Private Limited
101.0.46.0,101.0.48.255,0,None,Not routed
101.0.49.0,101.0.49.255,133661,IN,NETPLUS-AS Netplus Broadband Services Private Limited
101.0.50.0,101.0.50.255,133696,IN,FASTWAY-AS Fastway Transmission Private Limited
101.0.51.0,101.0.51.255,23682,IN,PACENET-AS Broadband Pacenet Pvt. Ltd
101.0.52.0,101.0.52.255,0,None,Not routed
101.0.53.0,101.0.55.255,133661,IN,NETPLUS-AS Netplus Broadband Services Private Limited
101.0.56.0,101.0.56.255,0,None,Not routed
101.0.57.0,101.0.57.255,133661,IN,NETPLUS-AS Netplus Broadband Services Private Limited
101.0.58.0,101.0.58.255,0,None,Not routed
101.0.59.0,101.0.59.255,23682,IN,PACENET-AS Broadband Pacenet Pvt. Ltd
101.0.60.0,101.0.60.255,0,None,Not routed
101.0.61.0,101.0.61.255,23682,IN,PACENET-AS Broadband Pacenet Pvt. Ltd
101.0.62.0,101.0.63.255,134674,IN,TATAPLAYBROADBAND-AS-AP TATA PLAY BROADBAND PRIVATE LIMITED
101.0.64.0,101.0.84.255,55803,AU,HOSTOPIA-AU Hostopia Australia Web Pty Ltd
101.0.85.0,101.0.101.255,55803,AU,HOSTOPIA-AU Hostopia Australia Web Pty Ltd
101.0.102.0,101.0.127.255,55803,AU,HOSTOPIA-AU Hostopia Australia Web Pty Ltd
101.0.128.0,101.0.223.255,9676,TW,SAVECOM-TW SaveCom Internation Inc.
101.0.224.0,101.0.231.255,0,None,Not routed
101.0.232.0,101.0.255.255,4780,TW,SEEDNET Digital United Inc.
101.1.0.0,101.1.3.255,58519,CN,CHINATELECOM-CTCLOUD Cloud Computing Corporation
101.1.4.0,101.1.4.255,137260,HK,BITEXCHANGE-HK Bit Exchange Systems Limited
101.1.5.0,101.1.5.255,0,None,Not routed
101.1.6.0,101.1.7.255,137260,HK,BITEXCHANGE-HK Bit Exchange Systems Limited
101.1.8.0,101.1.15.255,7624,KR,JEONJU-AS jeonju university
101.1.16.0,101.1.31.255,0,None,Not routed
101.1.32.0,101.1.63.255,9524,KR,HMC-AS AutoEverSystems Corp.
101.1.64.0,101.1.127.255,18260,JP,E-CATV EHIME CATV CO.,LTD.
101.1.128.0,101.1.255.255,7522,JP,STCN STNet, Incorporated
101.2.0.0,101.2.127.255,0,None,Not routed
101.2.128.0,101.2.159.255,18260,JP,E-CATV EHIME CATV CO.,LTD.
101.2.160.0,101.2.167.255,38592,BD,CTGONLINE-AS-AP Chittagong Online Limited AS38592 AP
101.2.168.0,101.2.171.255,55707,AU,SIMTRONIC-AS-AP Simtronic
101.2.172.0,101.2.175.255,58519,CN,CHINATELECOM-CTCLOUD Cloud Computing Corporation
101.2.176.0,101.2.184.255,132045,LK,AIRTEL-AS-ISP Bharti Airtel Lanka Pvt. Limited
101.2.185.0,101.2.191.255,132045,LK,AIRTEL-AS-ISP Bharti Airtel Lanka Pvt. Limited
101.2.192.0,101.2.255.255,0,None,Not routed
101.3.0.0,101.3.6.255,131584,TW,TAIFO-AS-TW Taiwan Intelligent Fiber Optic Network Co.,Ltd.
101.3.7.0,101.3.8.255,0,None,Not routed
101.3.9.0,101.3.12.255,131584,TW,TAIFO-AS-TW Taiwan Intelligent Fiber Optic Network Co.,Ltd.
101.3.13.0,101.3.13.255,0,None,Not routed
101.3.14.0,101.3.16.255,131584,TW,TAIFO-AS-TW Taiwan Intelligent Fiber Optic Network Co.,Ltd.
101.3.17.0,101.3.95.255,0,None,Not routed
101.3.96.0,101.3.103.255,131584,TW,TAIFO-AS-TW Taiwan Intelligent Fiber Optic Network Co.,Ltd.
101.3.104.0,101.3.105.255,0,None,Not routed
101.3.106.0,101.3.135.255,131627,TW,PEICITY-AS-TW Peicity Digital Cable Television., LTD
101.3.136.0,101.3.141.255,131627,TW,PEICITY-AS-TW Peicity Digital Cable Television., LTD
101.3.142.0,101.3.161.255,131627,TW,PEICITY-AS-TW Peicity Digital Cable Television., LTD
101.3.162.0,101.3.250.255,0,None,Not routed
101.3.251.0,101.3.255.255,131584,TW,TAIFO-AS-TW Taiwan Intelligent Fiber Optic Network Co.,Ltd.
101.4.0.0,101.4.2.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
101.4.3.0,101.7.255.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
101.4.56.0,101.4.128.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
101.4.129.0,101.4.156.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
101.4.157.0,101.6.6.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
101.6.7.0,101.7.6.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
101.7.7.0,101.7.7.255,9405,CN,TPS-CN-AS Test platform Service Center
101.7.8.0,101.7.160.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
101.7.161.0,101.7.239.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
101.7.240.0,101.7.255.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
101.8.0.0,101.8.252.255,24158,Unknown,AS24158
101.8.253.0,101.10.71.255,24158,Unknown,AS24158
101.10.72.0,101.10.87.255,0,None,Not routed
101.10.88.0,101.10.119.255,24158,Unknown,AS24158
101.10.120.0,101.10.251.255,0,None,Not routed
101.10.252.0,101.10.252.255,24158,Unknown,AS24158
101.10.253.0,101.11.195.255,0,None,Not routed
101.11.196.0,101.11.203.255,24158,Unknown,AS24158
101.11.204.0,101.11.255.255,0,None,Not routed
101.12.0.0,101.12.115.255,24158,Unknown,AS24158
101.12.116.0,101.12.119.255,0,None,Not routed
101.12.120.0,101.12.127.255,24158,Unknown,AS24158
101.12.128.0,101.12.131.255,0,None,Not routed
101.12.132.0,101.12.143.255,24158,Unknown,AS24158
101.12.144.0,101.12.255.255,0,None,Not routed
101.13.0.0,101.13.7.255,24158,Unknown,AS24158
101.13.8.0,101.15.255.255,0,None,Not routed
101.16.0.0,101.31.255.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
101.32.0.0,101.32.13.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.32.14.0,101.32.17.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.32.18.0,101.32.63.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.32.62.0,101.32.112.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.32.113.0,101.32.132.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.32.133.0,101.32.140.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.32.141.0,101.33.1.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.2.0,101.33.3.255,139341,SG,ACE-AS-AP ACE
101.33.4.0,101.33.5.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.6.0,101.33.9.255,139341,SG,ACE-AS-AP ACE
101.33.10.0,101.33.11.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.12.0,101.33.13.255,139341,SG,ACE-AS-AP ACE
101.33.14.0,101.33.15.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.16.0,101.33.17.255,139341,SG,ACE-AS-AP ACE
101.33.18.0,101.33.19.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.20.0,101.33.25.255,139341,SG,ACE-AS-AP ACE
101.33.26.0,101.33.27.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.28.0,101.33.29.255,139341,SG,ACE-AS-AP ACE
101.33.30.0,101.33.39.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.40.0,101.33.65.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.66.0,101.33.114.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.115.0,101.33.191.255,132203,CN,TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue
101.33.192.0,101.35.255.255,45090,CN,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited
101.36.0.0,101.36.79.255,23724,CN,CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation
101.36.80.0,101.36.81.255,134700,HK,SINOYCLOUD-AS-AP Sinoycloud Limited
101.36.82.0,101.36.83.255,0,None,Not routed
101.36.84.0,101.36.84.255,24155,TW,APBW-AS-TW Asia Pacific Broadband Wireless Communications Inc
101.36.85.0,101.36.95.255,0,None,Not routed
101.36.96.0,101.36.127.255,135377,HK,UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED
101.36.128.0,101.36.255.255,23724,CN,CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation
101.37.0.0,101.37.255.255,37963,CN,ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.
101.38.0.0,101.38.255.255,4808,CN,CHINA169-BJ China Unicom Beijing Province Network
101.39.0.0,101.39.239.255,4847,CN,CNIX-AP China Networks Inter-Exchange
101.39.240.0,101.40.255.255,4847,CN,CNIX-AP China Networks Inter-Exchange
101.41.0.0,101.41.255.255,4808,CN,CHINA169-BJ China Unicom Beijing Province Network
101.42.0.0,101.43.255.255,45090,CN,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited
101.44.0.0,101.44.47.255,0,None,Not routed
101.44.48.0,101.44.63.255,136907,HK,HWCLOUDS-AS-AP HUAWEI CLOUDS
101.44.64.0,101.44.207.255,0,None,Not routed
101.44.208.0,101.44.215.255,136907,HK,HWCLOUDS-AS-AP HUAWEI CLOUDS
101.44.216.0,101.49.127.255,0,None,Not routed
101.49.128.0,101.49.131.255,134764,CN,CT-FOSHAN-IDC CHINANET Guangdong province network
