range_start,range_end,AS_number,country_code,AS_description
143.0.0.0,143.0.3.255,264008,Unknown,AS264008
143.0.4.0,143.0.7.255,264428,BR,GTEC NET INFORMATICA LTDA ME
143.0.8.0,143.0.11.255,264516,BR,A.M.A TELECOM
143.0.12.0,143.0.15.255,28604,BR,Globo Comunicacao e Participacoes SA
143.0.16.0,143.0.19.255,263990,BR,FASTNET COMUNICACAO EIRELI - ME
143.0.20.0,143.0.23.255,263985,BR,DZ7 Telecomunicacoes Ltda
143.0.24.0,143.0.27.255,264075,BR,K1 Telecom e Multimidia LTDA
143.0.28.0,143.0.31.255,263991,BR,FERNANDA CRISTINA RUIZ MATIAZZO - ME
143.0.32.0,143.0.35.255,27694,BQ,Flamingo TV Bonaire N.V.
143.0.36.0,143.0.39.255,263992,BR,TD Telecom
143.0.40.0,143.0.43.255,0,None,Not routed
143.0.44.0,143.0.47.255,270361,BR,KONNECT COMUNICACAO MULTIMIDIA LTDA
143.0.48.0,143.0.51.255,263544,BR,VARZEA NET TELECOMUNICACOES LTDA ME
143.0.52.0,143.0.55.255,263997,BR,BITMAIL SERVICOS DE INFORMATICA LTDA - ME
143.0.56.0,143.0.59.255,52613,BR,VIP BR TELECOM S.A.
143.0.60.0,143.0.63.255,264002,BR,MVA TELECOM
143.0.64.0,143.0.67.255,272006,AR,DOVA SRL
143.0.68.0,143.0.71.255,265989,BR,T. GARCIA COMUNICACOES - ME
143.0.72.0,143.0.75.255,264004,BR,Matek Solucoes de Informatica Ltda
143.0.76.0,143.0.79.255,11014,AR,CPS
143.0.80.0,143.0.83.255,262231,AR,COOP. ELECTRICA Y DE SERVICIOS MARIANO MORENO LTDA.
143.0.84.0,143.0.87.255,263998,BR,SIM Telecom
143.0.88.0,143.0.91.255,264426,BR,VM Provedora de Internet Ltda Me
143.0.92.0,143.0.95.255,263836,CO,OIS TELECOMUNICACIONES SAS
143.0.96.0,143.0.99.255,263701,VE,RGO SOMOS CABLE, C.A.
143.0.100.0,143.0.100.255,264618,AR,INSTITUTO UNIVERSITARIO AERONAUTICO
143.0.101.0,143.0.101.255,264612,BO,BANCO MERCANTIL SANTA CRUZ S.A.
143.0.102.0,143.0.103.255,264647,CO,Universidad EIA
143.0.104.0,143.0.107.255,17079,SV,Telemovil El Salvador S.A.
143.0.108.0,143.0.111.255,64339,Unknown,AS64339
143.0.112.0,143.0.115.255,262995,BR,NETDIGITAL TELECOMUNICACOES LTDA
143.0.116.0,143.0.119.255,52680,BR,BLZNET SERVICOS DE INTERNET LTDA - ME
143.0.120.0,143.0.123.255,262978,BR,Centro de Tecnologia Armazem Datacenter Ltda.
143.0.124.0,143.0.127.255,264000,BR,FibraON - Fabricio Piloni Bertolo - ME
143.0.128.0,143.0.131.255,264543,BR,MEGA CONEXAO TELECOM LTDA
