range_start,range_end,AS_number,country_code,AS_description
109.0.0.0,109.31.255.255,15557,FR,LDCOMNET
109.32.0.0,109.39.255.255,15480,NL,VFNL-AS Vodafone NL Autonomous System
109.40.0.0,109.47.255.255,3209,DE,VODANET International IP-Backbone of Vodafone
109.48.0.0,109.49.255.255,2860,PT,NOS_COMUNICACOES
109.50.0.0,109.51.255.255,2860,PT,NOS_COMUNICACOES
109.52.0.0,109.55.255.255,16232,IT,ASN-TIM Service Provider
109.56.0.0,109.59.255.255,44034,SE,HI3G
109.60.0.0,109.60.127.255,31012,HR,DCM-AS Vipnet d.o.o.
109.60.128.0,109.60.255.255,47241,RU,IV-TELECOM-AS
109.61.0.0,109.61.22.255,197248,HU,DRAVANET-AS
109.61.23.0,109.61.127.255,197248,HU,DRAVANET-AS
109.61.128.0,109.61.255.255,12389,RU,ROSTELECOM-AS
109.62.0.0,109.62.111.255,20776,MQ,OUTREMER-AS
109.62.112.0,109.62.127.255,20776,MQ,OUTREMER-AS
109.62.128.0,109.62.167.255,12389,RU,ROSTELECOM-AS
109.62.168.0,109.62.169.255,29456,RU,BELSVYAZ-AS
109.62.170.0,109.62.171.255,29456,RU,BELSVYAZ-AS
109.62.172.0,109.62.247.255,12389,RU,ROSTELECOM-AS
109.62.248.0,109.62.252.255,29456,RU,BELSVYAZ-AS
109.62.253.0,109.62.254.255,29456,RU,BELSVYAZ-AS
109.62.255.0,109.62.255.255,199377,RU,M-PLUS-AS
109.63.0.0,109.63.23.255,51375,BH,VIVA
109.63.24.0,109.63.31.255,0,None,Not routed
109.63.32.0,109.63.41.255,51375,BH,VIVA
109.63.42.0,109.63.47.255,0,None,Not routed
109.63.48.0,109.63.53.255,51375,BH,VIVA
109.63.54.0,109.63.68.255,51375,BH,VIVA
109.63.69.0,109.63.95.255,0,None,Not routed
109.63.96.0,109.63.99.255,51375,BH,VIVA
109.63.100.0,109.63.103.255,0,None,Not routed
109.63.104.0,109.63.112.255,51375,BH,VIVA
109.63.113.0,109.63.115.255,0,None,Not routed
109.63.116.0,109.63.120.255,51375,BH,VIVA
109.63.121.0,109.63.123.255,0,None,Not routed
109.63.124.0,109.63.124.255,51375,BH,VIVA
109.63.125.0,109.63.127.255,0,None,Not routed
109.63.128.0,109.63.255.255,12714,RU,TI-AS Moscow, Russia
109.64.0.0,109.65.174.255,8551,IL,BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone
109.65.175.0,109.67.254.255,8551,IL,BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone
109.67.255.0,109.67.255.255,8551,IL,BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone
109.68.0.0,109.68.11.255,0,None,Not routed
109.68.12.0,109.68.15.255,50023,GB,VODAT
109.68.16.0,109.68.20.255,35087,RU,NTSI-AS
109.68.21.0,109.68.21.255,62345,RU,GSKB
109.68.22.0,109.68.23.255,35087,RU,NTSI-AS
109.68.24.0,109.68.31.255,49733,IT,DITECH-AS
109.68.32.0,109.68.33.255,20738,DE,GD-EMEA-DC-LD5
109.68.34.0,109.68.39.255,20738,DE,GD-EMEA-DC-LD5
109.68.40.0,109.68.40.15,25372,UA,ITCONSULTING-AS
109.68.40.16,109.68.47.255,25372,UA,ITCONSULTING-AS
109.68.48.0,109.68.55.255,8767,DE,MNET-AS Germany
109.68.56.0,109.68.63.255,396982,US,GOOGLE-CLOUD-PLATFORM
109.68.64.0,109.68.66.255,29017,GB,GYRON
109.68.67.0,109.68.67.255,14618,US,AMAZON-AES
109.68.68.0,109.68.69.255,29017,GB,GYRON
109.68.70.0,109.68.70.255,14618,US,AMAZON-AES
109.68.71.0,109.68.71.255,16509,US,AMAZON-02
109.68.72.0,109.68.79.255,49830,RU,GOLDLINK-AS
109.68.80.0,109.68.87.255,50926,ES,AXARNET-AS
109.68.88.0,109.68.95.255,25148,NO,BASEFARM-ASN Oslo - Norway
109.68.96.0,109.68.103.255,8878,DE,NFON-AS
109.68.104.0,109.68.111.255,49808,AT,POWERSPEED-AS
109.68.112.0,109.68.119.255,44895,RU,ANTENNA-GARANT-AS
109.68.120.0,109.68.126.255,8226,AM,AM-NIC-AS
109.68.127.0,109.68.127.255,201986,AM,ARPINET
109.68.128.0,109.68.135.255,196655,FI,MSOYNET-AS
109.68.136.0,109.68.143.255,20807,RU,CREDOLINK-ASN St.-Petersburg
109.68.144.0,109.68.151.255,199081,GR,LANCOM Athens - Greece
109.68.152.0,109.68.159.255,39250,IT,ASN-HYPERGRID
109.68.160.0,109.68.164.255,39923,BE,AS-UNIXSOLUTIONS Unix-Solutions Network
109.68.165.0,109.68.167.255,39923,BE,AS-UNIXSOLUTIONS Unix-Solutions Network
