range_start,range_end,AS_number,country_code,AS_description
122.0.0.0,122.0.7.255,38293,TH,MFA-AS-TH-AP Ministry of Foreign Affairs
122.0.8.0,122.0.15.255,0,None,Not routed
122.0.16.0,122.0.30.255,23678,MY,MYKRIS-AS-MY Mykris Asia, Managed Network and Service Provider
122.0.31.0,122.0.31.255,45121,Unknown,AS45121
122.0.32.0,122.0.63.255,17583,KR,KCNNET-AS-KR Keumgang Cable Network
122.0.64.0,122.0.111.255,24422,CN,HTXX Huizhan street, Renqiu city, Hebei, P. R. CHINA
122.0.112.0,122.0.127.255,24422,CN,HTXX Huizhan street, Renqiu city, Hebei, P. R. CHINA
122.0.128.0,122.0.255.255,0,None,Not routed
122.1.0.0,122.1.255.255,4713,JP,OCN NTT Communications Corporation
122.2.0.0,122.2.208.255,9299,Unknown,AS9299
122.2.209.0,122.3.255.255,9299,Unknown,AS9299
122.4.0.0,122.5.52.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
122.5.53.0,122.5.54.255,139887,CN,CHINANET-YANTAI-IDC ChinaNet Shandong Yantai IDC network
122.5.55.0,122.5.58.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
122.5.59.0,122.5.60.255,139887,CN,CHINANET-YANTAI-IDC ChinaNet Shandong Yantai IDC network
122.5.61.0,122.7.255.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
122.8.0.0,122.8.0.255,0,None,Not routed
122.8.1.0,122.8.8.255,55361,HK,LUCKYTONE-NET-HK Lucky Tone Communications Ltd.
122.8.9.0,122.8.9.255,55355,HK,ISP-AS-AP ISP
122.8.10.0,122.8.14.255,55361,HK,LUCKYTONE-NET-HK Lucky Tone Communications Ltd.
122.8.15.0,122.8.15.255,0,None,Not routed
122.8.16.0,122.8.27.255,1239,US,SPRINTLINK
122.8.28.0,122.8.31.255,21700,US,NEPTUNE-NETWORKS
122.8.32.0,122.8.35.255,1239,US,SPRINTLINK
122.8.36.0,122.8.47.255,21700,US,NEPTUNE-NETWORKS
122.8.48.0,122.8.83.255,0,None,Not routed
122.8.84.0,122.8.85.255,55361,HK,LUCKYTONE-NET-HK Lucky Tone Communications Ltd.
122.8.86.0,122.8.88.255,0,None,Not routed
122.8.89.0,122.8.90.255,55361,HK,LUCKYTONE-NET-HK Lucky Tone Communications Ltd.
122.8.91.0,122.8.95.255,0,None,Not routed
122.8.96.0,122.8.99.255,21700,US,NEPTUNE-NETWORKS
122.8.100.0,122.8.103.255,0,None,Not routed
122.8.104.0,122.8.107.255,21700,US,NEPTUNE-NETWORKS
122.8.108.0,122.8.111.255,0,None,Not routed
122.8.112.0,122.8.127.255,1239,US,SPRINTLINK
122.8.128.0,122.8.191.255,136907,HK,HWCLOUDS-AS-AP HUAWEI CLOUDS
122.8.192.0,122.8.255.255,0,None,Not routed
122.9.0.0,122.9.47.255,23724,CN,CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation
122.9.48.0,122.9.63.255,58466,Unknown,AS58466
122.9.64.0,122.9.95.255,4811,CN,CHINANET-SHANGHAI-MAN China Telecom Group
122.9.96.0,122.9.127.255,58466,Unknown,AS58466
122.9.128.0,122.9.175.255,58519,CN,CHINATELECOM-CTCLOUD Cloud Computing Corporation
122.9.176.0,122.9.191.255,4812,CN,CHINANET-SH-AP China Telecom Group
122.9.192.0,122.9.223.255,58466,Unknown,AS58466
122.9.224.0,122.9.225.255,55990,CN,HWCSNET Huawei Cloud Service data center
122.9.226.0,122.9.255.255,55990,CN,HWCSNET Huawei Cloud Service data center
122.10.0.0,122.10.4.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.5.0,122.10.25.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.26.0,122.10.27.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.28.0,122.10.29.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.30.0,122.10.33.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.34.0,122.10.42.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.43.0,122.10.71.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.72.0,122.10.79.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.80.0,122.10.95.255,55933,HK,CLOUDIE-AS-AP Cloudie Limited
122.10.96.0,122.10.97.255,135377,HK,UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED
122.10.98.0,122.10.98.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.99.0,122.10.100.255,135377,HK,UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED
122.10.101.0,122.10.101.255,134196,HK,ANYUN-INTERNET-TECHNOLOGY-HK-CO-LIMITED ANYUN INTERNET TECHNOLOGY HK CO.,LIMITED
122.10.102.0,122.10.102.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.103.0,122.10.103.255,136897,HK,ENJOYVC-AS-AP Enjoyvc Cloud Group Limited.
122.10.104.0,122.10.108.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.109.0,122.10.109.255,135377,HK,UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED
122.10.110.0,122.10.111.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.112.0,122.10.113.255,55933,HK,CLOUDIE-AS-AP Cloudie Limited
122.10.114.0,122.10.119.255,55933,HK,CLOUDIE-AS-AP Cloudie Limited
122.10.120.0,122.10.122.255,134548,HK,DXTL-HK DXTL Tseung Kwan O Service
122.10.123.0,122.10.123.255,134196,HK,ANYUN-INTERNET-TECHNOLOGY-HK-CO-LIMITED ANYUN INTERNET TECHNOLOGY HK CO.,LIMITED
122.10.124.0,122.10.127.255,136897,HK,ENJOYVC-AS-AP Enjoyvc Cloud Group Limited.
122.10.128.0,122.10.128.255,134700,HK,SINOYCLOUD-AS-AP Sinoycloud Limited
122.10.129.0,122.10.129.255,0,None,Not routed
122.10.130.0,122.10.130.255,134700,HK,SINOYCLOUD-AS-AP Sinoycloud Limited
122.10.131.0,122.10.132.255,0,None,Not routed
122.10.133.0,122.10.133.255,55468,CN,CRI China Radio International
122.10.134.0,122.10.135.255,21859,US,ZEN-ECN
122.10.136.0,122.10.137.255,55468,CN,CRI China Radio International
122.10.138.0,122.10.138.197,21859,US,ZEN-ECN
122.10.138.198,122.10.138.199,21859,US,ZEN-ECN
122.10.138.200,122.10.148.255,21859,US,ZEN-ECN
122.10.149.0,122.10.151.255,55836,IN,RELIANCEJIO-IN Reliance Jio Infocomm Limited
122.10.152.0,122.10.159.255,21859,US,ZEN-ECN
122.10.160.0,122.10.160.255,146834,CN,XUNYOU SiChuan XunYou Network Technologe Limit, co
122.10.161.0,122.10.161.255,135377,HK,UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED
122.10.162.0,122.10.162.255,146834,CN,XUNYOU SiChuan XunYou Network Technologe Limit, co
122.10.163.0,122.10.163.255,21859,US,ZEN-ECN
122.10.164.0,122.10.195.255,0,None,Not routed
122.10.196.0,122.10.197.255,21859,US,ZEN-ECN
122.10.198.0,122.10.199.255,55836,IN,RELIANCEJIO-IN Reliance Jio Infocomm Limited
122.10.200.0,122.10.203.255,0,None,Not routed
122.10.204.0,122.10.204.255,7656,TW,TWNAP-ADMIN-AS-AP Taiwan Network Access Point
122.10.205.0,122.10.210.255,0,None,Not routed
122.10.211.0,122.10.211.255,24155,TW,APBW-AS-TW Asia Pacific Broadband Wireless Communications Inc
122.10.212.0,122.10.219.255,0,None,Not routed
122.10.220.0,122.10.220.255,55836,IN,RELIANCEJIO-IN Reliance Jio Infocomm Limited
122.10.221.0,122.10.221.255,21859,US,ZEN-ECN
122.10.222.0,122.10.224.255,55836,IN,RELIANCEJIO-IN Reliance Jio Infocomm Limited
122.10.225.0,122.10.225.255,21859,US,ZEN-ECN
122.10.226.0,122.10.226.255,55836,IN,RELIANCEJIO-IN Reliance Jio Infocomm Limited
122.10.227.0,122.10.227.255,21859,US,ZEN-ECN
122.10.228.0,122.10.243.255,4847,CN,CNIX-AP China Networks Inter-Exchange
122.10.244.0,122.10.245.255,0,None,Not routed
122.10.246.0,122.10.255.255,21859,US,ZEN-ECN
122.11.0.0,122.11.31.255,0,None,Not routed
122.11.32.0,122.11.63.255,23724,CN,CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation
122.11.64.0,122.11.127.255,0,None,Not routed
122.11.128.0,122.11.149.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.150.0,122.11.159.255,138345,SG,STARHUB-MOBILE2 StarHub Ltd
122.11.160.0,122.11.161.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.162.0,122.11.168.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.169.0,122.11.172.255,138345,SG,STARHUB-MOBILE2 StarHub Ltd
122.11.173.0,122.11.174.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.175.0,122.11.180.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.181.0,122.11.181.255,45474,HK,NEXUSGUARD-AS-AP NEXUSGUARD LIMITED
122.11.182.0,122.11.182.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.183.0,122.11.186.255,45474,HK,NEXUSGUARD-AS-AP NEXUSGUARD LIMITED
122.11.187.0,122.11.193.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.194.0,122.11.195.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.196.0,122.11.196.255,19551,US,INCAPSULA
122.11.197.0,122.11.197.255,138345,SG,STARHUB-MOBILE2 StarHub Ltd
122.11.198.0,122.11.210.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.211.0,122.11.215.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.216.0,122.11.219.255,138345,SG,STARHUB-MOBILE2 StarHub Ltd
122.11.220.0,122.11.223.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.224.0,122.11.233.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.234.0,122.11.244.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.245.0,122.11.250.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.11.251.0,122.11.255.255,4657,SG,STARHUB-INTERNET StarHub Ltd
122.12.0.0,122.12.255.255,0,None,Not routed
122.13.0.0,122.13.7.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.8.0,122.13.13.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.14.0,122.13.16.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.17.0,122.13.17.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.18.0,122.13.18.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.19.0,122.13.20.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.21.0,122.13.21.255,17622,CN,CNCGROUP-GZ China Unicom Guangzhou network
122.13.22.0,122.13.23.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.24.0,122.13.27.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.28.0,122.13.31.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.32.0,122.13.32.255,17623,CN,CNCGROUP-SZ China Unicom Shenzen network
122.13.33.0,122.13.37.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.38.0,122.13.38.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.39.0,122.13.63.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.64.0,122.13.67.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.68.0,122.13.68.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.69.0,122.13.88.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.89.0,122.13.131.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.132.0,122.13.133.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.134.0,122.13.137.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.138.0,122.13.138.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.139.0,122.13.147.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.148.0,122.13.149.255,17622,CN,CNCGROUP-GZ China Unicom Guangzhou network
122.13.150.0,122.13.151.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.152.0,122.13.153.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.154.0,122.13.155.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.156.0,122.13.156.255,134543,CN,UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network
122.13.157.0,122.13.159.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.160.0,122.13.160.255,134543,CN,UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network
122.13.161.0,122.13.161.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.162.0,122.13.163.255,134543,CN,UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network
122.13.164.0,122.13.167.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.168.0,122.13.175.255,136959,CN,UNICOM-FUOSHAN-IDC China Unicom Guangdong IP network
122.13.176.0,122.13.209.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.210.0,122.13.210.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.211.0,122.13.211.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.212.0,122.13.212.255,17622,CN,CNCGROUP-GZ China Unicom Guangzhou network
122.13.213.0,122.13.213.255,136958,CN,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network
122.13.214.0,122.13.218.255,17622,CN,CNCGROUP-GZ China Unicom Guangzhou network
122.13.219.0,122.13.253.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.13.254.0,122.13.254.255,136959,CN,UNICOM-FUOSHAN-IDC China Unicom Guangdong IP network
122.13.255.0,122.13.255.255,17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
122.14.0.0,122.14.63.255,4808,CN,CHINA169-BJ China Unicom Beijing Province Network
122.14.64.0,122.14.127.255,0,None,Not routed
122.14.128.0,122.14.130.255,56082,HK,ONE-NET-HK INTERNET-SOLUTION-
122.14.131.0,122.14.140.255,0,None,Not routed
122.14.141.0,122.14.141.255,135356,HK,CNCARENETWORKLTD-AS-AP CN CARE NETWORK LTD
122.14.142.0,122.14.150.255,0,None,Not routed
122.14.151.0,122.14.152.255,134117,MY,MINGWANENTERPRISE-AS-AP MING WAN ENTERPRISE
122.14.153.0,122.14.154.255,0,None,Not routed
122.14.155.0,122.14.159.255,56082,HK,ONE-NET-HK INTERNET-SOLUTION-
122.14.160.0,122.14.191.255,0,None,Not routed
122.14.192.0,122.14.255.255,23724,CN,CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation
122.15.0.0,122.15.8.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.9.0,122.15.18.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.19.0,122.15.20.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.21.0,122.15.33.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.34.0,122.15.46.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.47.0,122.15.58.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.59.0,122.15.64.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.65.0,122.15.66.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.67.0,122.15.69.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.70.0,122.15.96.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.97.0,122.15.113.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.114.0,122.15.128.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.129.0,122.15.161.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.162.0,122.15.173.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.174.0,122.15.184.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.185.0,122.15.200.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.201.0,122.15.204.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.205.0,122.15.220.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.221.0,122.15.235.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.236.0,122.15.239.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.15.240.0,122.15.255.255,55410,IN,VIL-AS-AP Vodafone Idea Ltd
122.16.0.0,122.31.255.255,4713,JP,OCN NTT Communications Corporation
122.32.0.0,122.47.255.255,17858,KR,POWERVIS-AS-KR LG POWERCOMM
122.48.0.0,122.48.63.255,4847,CN,CNIX-AP China Networks Inter-Exchange
122.48.64.0,122.48.95.255,4847,CN,CNIX-AP China Networks Inter-Exchange
122.48.96.0,122.48.100.255,4847,CN,CNIX-AP China Networks Inter-Exchange
122.48.101.0,122.48.133.255,4847,CN,CNIX-AP China Networks Inter-Exchange
122.48.134.0,122.49.63.255,4847,CN,CNIX-AP China Networks Inter-Exchange
122.49.64.0,122.49.103.255,9286,KR,KINXIDC-AS-KR KINX
122.49.104.0,122.49.111.255,9286,KR,KINXIDC-AS-KR KINX
122.49.112.0,122.49.112.255,38701,KR,PIRANHA-AS-KR Piranha Systems
122.49.113.0,122.49.113.255,0,None,Not routed
122.49.114.0,122.49.115.255,38701,KR,PIRANHA-AS-KR Piranha Systems
122.49.116.0,122.49.117.255,0,None,Not routed
122.49.118.0,122.49.119.255,38701,KR,PIRANHA-AS-KR Piranha Systems
122.49.120.0,122.49.121.255,0,None,Not routed
122.49.122.0,122.49.122.255,38701,KR,PIRANHA-AS-KR Piranha Systems
122.49.123.0,122.49.127.255,0,None,Not routed
122.49.128.0,122.49.191.255,4739,AU,INTERNODE-AS Internode Pty Ltd
122.49.192.0,122.49.199.255,10001,JP,MICSNET Mics Network Corporation
122.49.200.0,122.49.207.255,18111,AU,NETSPEED-AS-AP Netspeed Internet Communications
122.49.208.0,122.49.223.255,18187,PH,SOURCETELECOMS-AS-AP Source Telecoms Inc.
122.49.224.0,122.49.227.255,38522,ID,TELINDONET-ID-AS Telindo Nusantara, PT
122.49.228.0,122.49.228.255,141891,ID,IDNIC-513SOLUTIONS-AS-ID PT Lima Satu Tiga Global Tel-Access
122.49.229.0,122.49.231.255,38522,ID,TELINDONET-ID-AS Telindo Nusantara, PT
122.49.232.0,122.49.255.255,17698,JP,CCNET-NET COMMUNITY NETWORK CENTER INCORPORATED.
122.50.0.0,122.50.3.255,9387,PK,SHARPTEL-AS-AP SHARP TELECOM PRIVATE LIMITED
122.50.4.0,122.50.7.255,131111,ID,CEPATNET-AS-ID PT Mora Telematika Indonesia
122.50.8.0,122.50.15.255,0,None,Not routed
122.50.16.0,122.50.31.255,7671,JP,MCNET NTT SmartConnect Corporation
122.50.32.0,122.50.63.255,18134,JP,KITANET JCOM Co., Ltd.
122.50.64.0,122.50.95.255,17819,SG,ASN-EQUINIX-AP Equinix Asia Pacific
122.50.96.0,122.50.103.255,0,None,Not routed
122.50.104.0,122.50.115.255,17819,SG,ASN-EQUINIX-AP Equinix Asia Pacific
122.50.116.0,122.50.119.255,0,None,Not routed
122.50.120.0,122.50.127.255,17819,SG,ASN-EQUINIX-AP Equinix Asia Pacific
122.50.128.0,122.50.191.255,137125,IN,NETSAT-AS Netsat Communications Private Limited
122.50.192.0,122.50.206.255,133982,IN,EXCITEL-AS-IN Excitel Broadband Private Limited
122.50.207.0,122.50.207.255,0,None,Not routed
122.50.208.0,122.50.223.255,133982,IN,EXCITEL-AS-IN Excitel Broadband Private Limited
122.50.224.0,122.50.255.255,0,None,Not routed
122.51.0.0,122.51.255.255,45090,CN,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited
122.52.0.0,122.52.47.255,9299,Unknown,AS9299
122.52.48.0,122.53.47.255,9299,Unknown,AS9299
122.53.48.0,122.53.175.255,9299,Unknown,AS9299
122.53.176.0,122.54.66.255,9299,Unknown,AS9299
122.54.67.0,122.54.67.255,18115,PH,JGS-AS-AP JG Group of Companies
122.54.68.0,122.55.5.255,9299,Unknown,AS9299
122.55.6.0,122.55.6.255,55413,PH,DBP-AS-AP Development Bank of the Philippines
122.55.7.0,122.55.91.255,9299,Unknown,AS9299
122.55.92.0,122.55.92.255,14499,US,ALORICA
122.55.93.0,122.55.111.255,9299,Unknown,AS9299
122.55.112.0,122.55.179.255,9299,Unknown,AS9299
