range_start,range_end,AS_number,country_code,AS_description
175.0.0.0,175.3.255.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
175.4.0.0,175.4.63.255,63838,CN,CT-HUNAN-HENGYANG-IDC Hengyang
175.4.64.0,175.5.255.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
175.6.0.0,175.6.128.255,63835,CN,CT-HUNAN-CHANGSHA-IDC No.293,Wanbao Avenue
175.6.129.0,175.6.191.255,63835,CN,CT-HUNAN-CHANGSHA-IDC No.293,Wanbao Avenue
175.6.192.0,175.6.220.255,63838,CN,CT-HUNAN-HENGYANG-IDC Hengyang
175.6.221.0,175.6.221.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
175.6.222.0,175.6.222.255,63835,CN,CT-HUNAN-CHANGSHA-IDC No.293,Wanbao Avenue
175.6.223.0,175.6.223.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
175.6.224.0,175.6.255.255,63838,CN,CT-HUNAN-HENGYANG-IDC Hengyang
175.7.0.0,175.15.255.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
175.16.0.0,175.23.255.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
175.24.0.0,175.24.255.255,45090,CN,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited
175.25.0.0,175.25.15.255,56019,CN,SHUJUJIA Beijing ShuJuJia Technology Co., Ltd.
175.25.16.0,175.25.63.255,23724,CN,CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation
175.25.64.0,175.25.159.255,56019,CN,SHUJUJIA Beijing ShuJuJia Technology Co., Ltd.
175.25.160.0,175.25.191.255,23724,CN,CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation
175.25.192.0,175.25.255.255,56019,CN,SHUJUJIA Beijing ShuJuJia Technology Co., Ltd.
175.26.0.0,175.26.255.255,0,None,Not routed
175.27.0.0,175.27.255.255,45090,CN,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited
175.28.0.0,175.28.3.255,55329,KH,TELCOTECH-KH Telcotech Ltd.
175.28.4.0,175.28.7.255,131965,JP,XSERVER Xserver Inc.
175.28.8.0,175.28.11.255,17645,SG,NTT-SG-AP ASN - NTT SINGAPORE PTE LTD
175.28.12.0,175.28.15.255,38044,MY,GITN-NETWORK GITN-NETWORK
175.28.16.0,175.28.31.255,10019,JP,MCTV Matsusaka Cable-TV Station Inc.
175.28.32.0,175.28.47.255,18334,KR,GCNCATV-AS-KR Gyounggidongbu cable tv co., Ltd.
175.28.48.0,175.28.51.255,59092,JP,KRONOS kronos.Co.,Ltd.
175.28.52.0,175.28.55.255,10013,JP,FBDC FreeBit Co.,Ltd.
175.28.56.0,175.28.127.255,0,None,Not routed
175.28.128.0,175.28.255.255,7679,JP,QTNET QTnet,Inc.
175.29.0.0,175.29.15.255,0,None,Not routed
175.29.16.0,175.29.18.255,40065,US,CNSERVERS
175.29.19.0,175.29.20.255,0,None,Not routed
175.29.21.0,175.29.22.255,40065,US,CNSERVERS
175.29.23.0,175.29.95.255,0,None,Not routed
175.29.96.0,175.29.103.255,133847,MY,ICT-AS-AP Anpple Tech Enterprise
175.29.104.0,175.29.107.255,139065,Unknown,AS139065
175.29.108.0,175.29.111.255,210334,SC,SYNERTECH
175.29.112.0,175.29.119.255,0,None,Not routed
175.29.120.0,175.29.123.255,136897,HK,ENJOYVC-AS-AP Enjoyvc Cloud Group Limited.
175.29.124.0,175.29.127.255,17469,BD,ACCESSTEL-AS-AP Access Telecom BD Ltd.
175.29.128.0,175.29.135.255,0,None,Not routed
175.29.136.0,175.29.139.255,4686,JP,BEKKOAME BEKKOAME INTERNET INC.
175.29.140.0,175.29.147.255,17469,BD,ACCESSTEL-AS-AP Access Telecom BD Ltd.
175.29.148.0,175.29.159.255,146993,MY,DBL-AS-AP DEEP BRIGHT LIMITED
175.29.160.0,175.29.190.255,17469,BD,ACCESSTEL-AS-AP Access Telecom BD Ltd.
175.29.191.0,175.29.199.255,17469,BD,ACCESSTEL-AS-AP Access Telecom BD Ltd.
175.29.200.0,175.29.207.255,0,None,Not routed
175.29.208.0,175.29.220.255,133847,MY,ICT-AS-AP Anpple Tech Enterprise
175.29.221.0,175.29.223.255,133847,MY,ICT-AS-AP Anpple Tech Enterprise
175.29.224.0,175.29.255.255,16509,US,AMAZON-02
175.30.0.0,175.31.255.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
175.32.0.0,175.39.255.255,4804,AU,MPX-AS Microplex PTY LTD
175.40.0.0,175.41.4.255,0,None,Not routed
175.41.5.0,175.41.5.255,36408,US,CDNETWORKSUS-02
175.41.6.0,175.41.6.255,0,None,Not routed
175.41.7.0,175.41.8.255,54994,US,QUANTILNETWORKS
175.41.9.0,175.41.13.255,0,None,Not routed
175.41.14.0,175.41.14.255,54994,US,QUANTILNETWORKS
175.41.15.0,175.41.15.255,0,None,Not routed
175.41.16.0,175.41.31.255,9744,HK,XLC-AS-AP XLC GLOBAL
175.41.32.0,175.41.39.255,10001,JP,MICSNET Mics Network Corporation
175.41.40.0,175.41.43.255,55803,AU,HOSTOPIA-AU Hostopia Australia Web Pty Ltd
175.41.44.0,175.41.47.255,135654,BD,IHL-AS-AP Internet @ Home Limited
175.41.48.0,175.41.58.255,9505,TW,TWGATE-AP Taiwan Internet Gateway
175.41.59.0,175.41.63.255,9505,TW,TWGATE-AP Taiwan Internet Gateway
175.41.64.0,175.41.127.255,4721,JP,JCN JCOM Co., Ltd.
175.41.128.0,175.41.255.255,16509,US,AMAZON-02
175.42.0.0,175.44.255.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
175.45.0.0,175.45.9.255,9381,HK,HKBNES-AS-AP HKBN Enterprise Solutions HK Limited
175.45.10.0,175.45.37.255,9381,HK,HKBNES-AS-AP HKBN Enterprise Solutions HK Limited
175.45.38.0,175.45.43.255,9381,HK,HKBNES-AS-AP HKBN Enterprise Solutions HK Limited
175.45.44.0,175.45.63.255,9381,HK,HKBNES-AS-AP HKBN Enterprise Solutions HK Limited
175.45.64.0,175.45.64.255,7469,AU,CCLOUD-AS-AP Comwire Cloud Pty Ltd
175.45.65.0,175.45.78.255,4826,AU,VOCUS-BACKBONE-AS Vocus Connect International Backbone
175.45.79.0,175.45.125.255,4826,AU,VOCUS-BACKBONE-AS Vocus Connect International Backbone
175.45.126.0,175.45.127.255,4826,AU,VOCUS-BACKBONE-AS Vocus Connect International Backbone
175.45.128.0,175.45.129.255,38220,AU,IPNG-AS-AP IPNG
175.45.130.0,175.45.132.255,38220,AU,IPNG-AS-AP IPNG
175.45.133.0,175.45.134.255,38220,AU,IPNG-AS-AP IPNG
175.45.135.0,175.45.135.255,38220,AU,IPNG-AS-AP IPNG
175.45.136.0,175.45.143.255,63997,JP,TSUKAERUNET Tsukaeru.net, Web Hosting Company, Japan
175.45.144.0,175.45.147.255,55923,AU,HARBOURSAT-AS-AP Harbour IT Pty Ltd
175.45.148.0,175.45.149.255,134139,AU,HARBOURISPPTYLTD-AS-AP Harbour ISP Pty LTD
175.45.150.0,175.45.151.255,45763,AU,FUZENETPTYLTD-AS-AP Fuzenet Pty Ltd
175.45.152.0,175.45.159.255,55923,AU,HARBOURSAT-AS-AP Harbour IT Pty Ltd
175.45.160.0,175.45.160.255,0,None,Not routed
175.45.161.0,175.45.167.255,9530,KR,SHINSEGAE-AS SHINSEGAE I C Co., Ltd.
175.45.168.0,175.45.175.255,4686,JP,BEKKOAME BEKKOAME INTERNET INC.
175.45.176.0,175.45.179.255,131279,KP,STAR-KP Ryugyong-dong
175.45.180.0,175.45.183.255,133159,AU,MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd
175.45.184.0,175.45.191.255,46019,ID,UNIBRAW-AS-ID Universitas Brawijaya
175.45.192.0,175.45.223.255,135354,SG,NBPAP-AS-AP NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.
175.45.224.0,175.45.239.255,4766,KR,KIXS-AS-KR Korea Telecom
175.45.240.0,175.45.255.255,0,None,Not routed
175.46.0.0,175.47.255.255,17968,CN,DQTNET Daqing zhongji petroleum telecommunication construction limited cpmpany
175.48.0.0,175.49.255.255,9394,CN,CTTNET China TieTong Telecommunications Corporation
175.50.0.0,175.95.255.255,9394,CN,CTTNET China TieTong Telecommunications Corporation
175.96.0.0,175.97.127.255,9924,Unknown,AS9924
175.97.128.0,175.97.160.255,131628,TW,TAIFUCLOUD-AS-TW Tai-Fu Cloud Co., Ltd.
175.97.161.0,175.97.161.30,131628,TW,TAIFUCLOUD-AS-TW Tai-Fu Cloud Co., Ltd.
175.97.161.31,175.97.161.31,9924,Unknown,AS9924
175.97.161.32,175.97.161.35,131628,TW,TAIFUCLOUD-AS-TW Tai-Fu Cloud Co., Ltd.
175.97.161.36,175.97.161.36,9924,Unknown,AS9924
175.97.161.37,175.97.191.255,131628,TW,TAIFUCLOUD-AS-TW Tai-Fu Cloud Co., Ltd.
175.97.192.0,175.98.100.255,9924,Unknown,AS9924
175.98.101.0,175.98.113.224,9924,Unknown,AS9924
175.98.113.225,175.98.153.243,9924,Unknown,AS9924
175.98.153.244,175.98.199.255,9924,Unknown,AS9924
175.98.200.0,175.98.223.255,131597,TW,NCDTV-TW New Changhua Digital Cable TV CO,.Ltd
175.98.224.0,175.98.255.255,9924,Unknown,AS9924
175.99.0.0,175.99.3.255,131628,TW,TAIFUCLOUD-AS-TW Tai-Fu Cloud Co., Ltd.
175.99.4.0,175.99.31.255,131628,TW,TAIFUCLOUD-AS-TW Tai-Fu Cloud Co., Ltd.
175.99.32.0,175.99.66.255,9924,Unknown,AS9924
175.99.67.0,175.99.72.0,9924,Unknown,AS9924
175.99.72.1,175.99.72.32,9924,Unknown,AS9924
175.99.72.33,175.99.72.39,9924,Unknown,AS9924
175.99.72.40,175.99.72.65,9924,Unknown,AS9924
175.99.72.66,175.99.72.77,9924,Unknown,AS9924
175.99.72.78,175.99.81.11,9924,Unknown,AS9924
175.99.81.12,175.99.123.255,9924,Unknown,AS9924
175.99.124.0,175.99.126.255,9924,Unknown,AS9924
175.99.127.0,175.99.191.255,9924,Unknown,AS9924
175.99.192.0,175.99.223.255,131628,TW,TAIFUCLOUD-AS-TW Tai-Fu Cloud Co., Ltd.
175.99.224.0,175.99.255.255,9924,Unknown,AS9924
175.100.0.0,175.100.22.255,38623,KH,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
175.100.23.0,175.100.42.255,38623,KH,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
175.100.43.0,175.100.78.255,38623,KH,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
175.100.79.0,175.100.96.255,38623,KH,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
175.100.97.0,175.100.120.255,38623,KH,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
175.100.121.0,175.100.127.255,38623,KH,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
175.100.128.0,175.100.128.255,18207,IN,YOU-INDIA-AP YOU Broadband & Cable India Ltd.
175.100.129.0,175.100.129.255,0,None,Not routed
175.100.130.0,175.100.135.255,18207,IN,YOU-INDIA-AP YOU Broadband & Cable India Ltd.
175.100.136.0,175.100.137.255,0,None,Not routed
175.100.138.0,175.100.138.255,18207,IN,YOU-INDIA-AP YOU Broadband & Cable India Ltd.
175.100.139.0,175.100.143.255,0,None,Not routed
175.100.144.0,175.100.152.255,18207,IN,YOU-INDIA-AP YOU Broadband & Cable India Ltd.
175.100.153.0,175.100.153.255,0,None,Not routed
175.100.154.0,175.100.154.255,18207,IN,YOU-INDIA-AP YOU Broadband & Cable India Ltd.
175.100.155.0,175.100.155.255,0,None,Not routed
175.100.156.0,175.100.156.255,18207,IN,YOU-INDIA-AP YOU Broadband & Cable India Ltd.
175.100.157.0,175.100.158.255,0,None,Not routed
175.100.159.0,175.100.159.255,18207,IN,YOU-INDIA-AP YOU Broadband & Cable India Ltd.
175.100.160.0,175.100.163.255,131283,IN,HDFCBANK-IN HDFC Bank House
175.100.164.0,175.100.167.255,55350,HK,VSCGT-HK Virtual Switching Consultancy Limited CO VXRoutes Ltd
175.100.168.0,175.100.175.255,0,None,Not routed
175.100.176.0,175.100.191.255,55352,IN,MCPL-IN Microscan Computers Private Limited
175.100.192.0,175.100.199.255,9304,HK,HUTCHISON-AS-AP HGC Global Communications Limited
175.100.200.0,175.100.200.255,9304,HK,HUTCHISON-AS-AP HGC Global Communications Limited
175.100.201.0,175.100.205.255,55355,HK,ISP-AS-AP ISP
175.100.206.0,175.100.206.255,9304,HK,HUTCHISON-AS-AP HGC Global Communications Limited
