range_start,range_end,AS_number,country_code,AS_description
211.0.0.0,211.0.255.255,4713,JP,OCN NTT Communications Corporation
211.1.0.0,211.1.31.255,2522,JP,PPP-EXP Japan Network Information Center
211.1.32.0,211.1.63.255,4713,JP,OCN NTT Communications Corporation
211.1.64.0,211.1.73.255,2516,JP,KDDI KDDI CORPORATION
211.1.74.0,211.1.77.255,2516,JP,KDDI KDDI CORPORATION
211.1.78.0,211.1.101.255,2516,JP,KDDI KDDI CORPORATION
211.1.102.0,211.1.111.255,2516,JP,KDDI KDDI CORPORATION
211.1.112.0,211.1.119.255,2516,JP,KDDI KDDI CORPORATION
211.1.120.0,211.1.125.255,2516,JP,KDDI KDDI CORPORATION
211.1.126.0,211.1.127.255,2516,JP,KDDI KDDI CORPORATION
211.1.128.0,211.1.159.255,7670,JP,CTNET Energia Communications, Inc.
211.1.160.0,211.1.191.255,0,None,Not routed
211.1.192.0,211.1.223.255,9354,JP,TDNC Community Network Center Inc.
211.1.224.0,211.1.255.255,7671,JP,MCNET NTT SmartConnect Corporation
211.2.0.0,211.2.63.255,2527,JP,SO-NET Sony Network Communications Inc.
211.2.64.0,211.2.127.255,9354,JP,TDNC Community Network Center Inc.
211.2.128.0,211.2.159.255,7516,JP,TOHKNET Tohoku Intelligent Telecommunication Co., Inc.
211.2.160.0,211.2.175.255,2514,JP,INFOSPHERE NTT PC Communications, Inc.
211.2.176.0,211.2.191.255,23632,JP,TVT-NET TVT Tsuyama Co.,Ltd.
211.2.192.0,211.2.206.255,4694,JP,IDCF IDC Frontier Inc.
211.2.207.0,211.2.207.255,17676,JP,GIGAINFRA Softbank BB Corp.
211.2.208.0,211.2.215.255,4694,JP,IDCF IDC Frontier Inc.
211.2.216.0,211.2.216.255,4725,JP,ODN SoftBank Corp.
211.2.217.0,211.2.255.255,4694,JP,IDCF IDC Frontier Inc.
211.3.0.0,211.3.255.255,4725,JP,ODN SoftBank Corp.
211.4.0.0,211.5.255.255,2516,JP,KDDI KDDI CORPORATION
211.6.0.0,211.6.255.255,4713,JP,OCN NTT Communications Corporation
211.7.0.0,211.7.41.255,2516,JP,KDDI KDDI CORPORATION
211.7.42.0,211.7.53.255,2516,JP,KDDI KDDI CORPORATION
211.7.54.0,211.7.63.255,2516,JP,KDDI KDDI CORPORATION
211.7.64.0,211.7.95.255,10010,JP,TOKAI TOKAI Communications Corporation
211.7.96.0,211.7.127.255,138384,Unknown,AS138384
211.7.128.0,211.7.133.255,2516,JP,KDDI KDDI CORPORATION
211.7.134.0,211.7.139.255,2516,JP,KDDI KDDI CORPORATION
211.7.140.0,211.7.142.255,2516,JP,KDDI KDDI CORPORATION
211.7.143.0,211.7.164.255,2516,JP,KDDI KDDI CORPORATION
211.7.165.0,211.7.174.255,2516,JP,KDDI KDDI CORPORATION
211.7.175.0,211.7.179.255,2516,JP,KDDI KDDI CORPORATION
211.7.180.0,211.7.189.255,2516,JP,KDDI KDDI CORPORATION
211.7.190.0,211.7.191.255,2516,JP,KDDI KDDI CORPORATION
211.7.192.0,211.7.199.255,4693,JP,CSK CSK-IT MANAGEMENT CORPORATION
211.7.200.0,211.7.207.255,0,None,Not routed
211.7.208.0,211.7.215.255,4693,JP,CSK CSK-IT MANAGEMENT CORPORATION
211.7.216.0,211.7.223.255,0,None,Not routed
211.7.224.0,211.7.255.255,7522,JP,STCN STNet, Incorporated
211.8.0.0,211.8.255.255,4725,JP,ODN SoftBank Corp.
211.9.0.0,211.9.31.255,0,None,Not routed
211.9.32.0,211.9.63.255,9600,JP,SONYTELECOM So-net Corporation
211.9.64.0,211.9.127.255,7679,JP,QTNET QTnet,Inc.
211.9.128.0,211.9.136.255,2516,JP,KDDI KDDI CORPORATION
211.9.137.0,211.9.191.255,2516,JP,KDDI KDDI CORPORATION
211.9.192.0,211.9.223.255,9597,JP,CPI-NET KDDI Web Communications Inc.
211.9.224.0,211.9.255.255,9595,Unknown,AS9595
211.10.0.0,211.10.16.255,4694,JP,IDCF IDC Frontier Inc.
211.10.17.0,211.10.17.255,2554,JP,IDCF2554 IDC Frontier Inc.
211.10.18.0,211.10.31.255,4694,JP,IDCF IDC Frontier Inc.
211.10.32.0,211.10.49.255,2527,JP,SO-NET Sony Network Communications Inc.
211.10.50.0,211.10.63.255,2527,JP,SO-NET Sony Network Communications Inc.
211.10.64.0,211.10.95.255,7516,JP,TOHKNET Tohoku Intelligent Telecommunication Co., Inc.
211.10.96.0,211.10.127.255,0,None,Not routed
