range_start,range_end,AS_number,country_code,AS_description
51.0.0.0,51.5.255.255,0,None,Not routed
51.6.0.0,51.7.255.255,6871,GB,PLUSNET UK Internet Service Provider
51.8.0.0,51.8.255.255,0,None,Not routed
51.9.0.0,51.9.255.255,6871,GB,PLUSNET UK Internet Service Provider
51.10.0.0,51.13.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.14.0.0,51.14.255.255,2856,GB,BT-UK-AS BTnet UK Regional network
51.15.0.0,51.15.255.255,12876,FR,Online SAS
51.16.0.0,51.17.255.255,16509,US,AMAZON-02
51.18.0.0,51.18.255.255,0,None,Not routed
51.19.0.0,51.19.255.255,5607,GB,BSKYB-BROADBAND-AS
51.20.0.0,51.35.255.255,0,None,Not routed
51.36.0.0,51.36.107.255,43766,SA,MTC-KSA-AS
51.36.108.0,51.36.255.255,43766,SA,MTC-KSA-AS
51.37.0.0,51.37.255.255,15502,IE,VODAFONE-IRELAND-ASN
51.38.0.0,51.38.255.255,16276,FR,OVH
51.39.0.0,51.39.95.255,43766,SA,MTC-KSA-AS
51.39.96.0,51.39.157.255,43766,SA,MTC-KSA-AS
51.39.158.0,51.39.181.255,43766,SA,MTC-KSA-AS
51.39.182.0,51.39.182.255,0,None,Not routed
51.39.183.0,51.39.249.255,43766,SA,MTC-KSA-AS
51.39.250.0,51.39.253.255,43766,SA,MTC-KSA-AS
51.39.254.0,51.39.255.255,43766,SA,MTC-KSA-AS
51.40.0.0,51.50.255.255,0,None,Not routed
51.51.0.0,51.51.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.52.0.0,51.52.50.255,31655,GB,ASN-GAMMATELECOM
51.52.51.0,51.52.247.255,31655,GB,ASN-GAMMATELECOM
51.52.248.0,51.52.255.255,60788,GB,VARIDION
51.53.0.0,51.53.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.54.0.0,51.63.255.255,0,None,Not routed
51.64.0.0,51.64.254.255,211077,GB,HO-LECN-DC01
51.64.255.0,51.64.255.255,211015,GB,HO-LECN-DC02
51.65.0.0,51.67.255.255,0,None,Not routed
51.68.0.0,51.68.255.255,16276,FR,OVH
51.69.0.0,51.74.255.255,0,None,Not routed
51.75.0.0,51.75.255.255,16276,FR,OVH
51.76.0.0,51.76.255.255,0,None,Not routed
51.77.0.0,51.77.255.255,16276,FR,OVH
51.78.0.0,51.78.255.255,0,None,Not routed
51.79.0.0,51.79.255.255,16276,FR,OVH
51.80.0.0,51.80.255.255,0,None,Not routed
51.81.0.0,51.81.255.255,16276,FR,OVH
51.82.0.0,51.82.255.255,0,None,Not routed
51.83.0.0,51.83.255.255,16276,FR,OVH
51.84.0.0,51.88.255.255,0,None,Not routed
51.89.0.0,51.89.255.255,16276,FR,OVH
51.90.0.0,51.90.255.255,0,None,Not routed
51.91.0.0,51.91.255.255,16276,FR,OVH
51.92.0.0,51.102.255.255,0,None,Not routed
51.103.0.0,51.105.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.106.0.0,51.106.255.255,0,None,Not routed
51.107.0.0,51.107.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.108.0.0,51.115.255.255,0,None,Not routed
51.116.0.0,51.116.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.117.0.0,51.119.255.255,0,None,Not routed
51.120.0.0,51.120.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.121.0.0,51.123.255.255,0,None,Not routed
51.124.0.0,51.124.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.125.0.0,51.131.255.255,0,None,Not routed
51.132.0.0,51.132.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.133.0.0,51.135.255.255,0,None,Not routed
51.136.0.0,51.138.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.139.0.0,51.139.255.255,0,None,Not routed
51.140.0.0,51.145.255.255,8075,US,MICROSOFT-CORP-MSN-AS-BLOCK
51.146.0.0,51.146.255.255,5607,GB,BSKYB-BROADBAND-AS
51.147.0.0,51.147.255.255,0,None,Not routed
51.148.0.0,51.148.255.255,13037,GB,ZEN-AS Zen Internet - UK
51.149.0.0,51.149.1.255,43519,GB,NOMINETANYCAST
51.149.2.0,51.149.2.255,3257,US,GTT-BACKBONE GTT
51.149.3.0,51.149.7.255,0,None,Not routed
51.149.8.0,51.149.8.255,16509,US,AMAZON-02
51.149.9.0,51.149.11.255,39326,GB,HSO-GROUP
51.149.12.0,51.149.13.255,0,None,Not routed
51.149.14.0,51.149.14.255,16509,US,AMAZON-02
51.149.15.0,51.149.15.255,0,None,Not routed
51.149.16.0,51.149.16.255,25180,GB,EXPONENTIAL-E-AS
51.149.17.0,51.149.18.255,0,None,Not routed
51.149.19.0,51.149.19.255,25180,GB,EXPONENTIAL-E-AS
51.149.20.0,51.149.248.255,0,None,Not routed
51.149.249.0,51.149.249.255,25180,GB,EXPONENTIAL-E-AS
51.149.250.0,51.149.252.255,16509,US,AMAZON-02
51.149.253.0,51.149.253.255,0,None,Not routed
51.149.254.0,51.149.255.255,43519,GB,NOMINETANYCAST
51.150.0.0,51.153.255.255,0,None,Not routed
51.154.0.0,51.154.255.255,15796,CH,SALT-
51.155.0.0,51.155.255.255,13037,GB,ZEN-AS Zen Internet - UK
51.156.0.0,51.157.255.255,0,None,Not routed
51.158.0.0,51.158.255.255,12876,FR,Online SAS
51.159.0.0,51.159.255.255,12876,FR,Online SAS
51.160.0.0,51.160.255.255,0,None,Not routed
51.161.0.0,51.161.255.255,16276,FR,OVH
51.162.0.0,51.162.3.255,0,None,Not routed
51.162.4.0,51.162.7.255,15830,GB,EQUINIX
51.162.8.0,51.162.15.255,0,None,Not routed
51.162.16.0,51.162.31.255,17819,SG,ASN-EQUINIX-AP Equinix Asia Pacific
51.162.32.0,51.162.47.255,0,None,Not routed
51.162.48.0,51.162.51.255,23686,AU,ASN-EQIX-MELBOURNE-AP Equinix Asia Pacific
51.162.52.0,51.162.63.255,0,None,Not routed
51.162.64.0,51.162.71.255,23686,AU,ASN-EQIX-MELBOURNE-AP Equinix Asia Pacific
51.162.72.0,51.162.79.255,0,None,Not routed
51.162.80.0,51.162.81.255,17819,SG,ASN-EQUINIX-AP Equinix Asia Pacific
51.162.82.0,51.162.87.255,17819,SG,ASN-EQUINIX-AP Equinix Asia Pacific
51.162.88.0,51.162.123.255,0,None,Not routed
51.162.124.0,51.162.127.255,137840,AU,EQUINIX-AS-AU Equinix Australia Pty Ltd
51.162.128.0,51.162.132.255,17819,SG,ASN-EQUINIX-AP Equinix Asia Pacific
51.162.133.0,51.162.135.255,17819,SG,ASN-EQUINIX-AP Equinix Asia Pacific
51.162.136.0,51.162.143.255,0,None,Not routed
51.162.144.0,51.162.151.255,9989,Unknown,AS9989
51.162.152.0,51.162.159.255,0,None,Not routed
51.162.160.0,51.162.167.255,17819,SG,ASN-EQUINIX-AP Equinix Asia Pacific
51.162.168.0,51.162.175.255,0,None,Not routed
51.162.176.0,51.162.183.255,15830,GB,EQUINIX
51.162.184.0,51.162.187.255,0,None,Not routed
51.162.188.0,51.162.191.255,139281,KR,EQUINIX-AS-AP Equinix Korea LLC
51.162.192.0,51.162.255.255,0,None,Not routed
51.163.0.0,51.163.2.255,15830,GB,EQUINIX
51.163.3.0,51.163.3.255,0,None,Not routed
51.163.4.0,51.163.29.255,15830,GB,EQUINIX
51.163.30.0,51.163.157.255,0,None,Not routed
51.163.158.0,51.163.159.255,39588,GB,MIMECAST-DE
51.163.160.0,51.163.255.255,47973,NL,DIGITAL-REALTY-
51.164.0.0,51.169.255.255,0,None,Not routed
51.170.0.0,51.170.255.255,13037,GB,ZEN-AS Zen Internet - UK
51.171.0.0,51.171.255.255,5466,IE,EIRCOM Internet House
51.172.0.0,51.173.255.255,0,None,Not routed
51.174.0.0,51.175.255.255,29695,NO,ALTIBOX_AS Norway
51.176.0.0,51.177.255.255,0,None,Not routed
51.178.0.0,51.178.255.255,16276,FR,OVH
51.179.0.0,51.179.43.255,198471,IT,LINKEM-AS
51.179.44.0,51.179.63.255,0,None,Not routed
51.179.64.0,51.179.127.255,198471,IT,LINKEM-AS
51.179.128.0,51.179.189.255,42973,GB,METRONETUK_M24SEVEN
51.179.190.0,51.179.191.255,16247,GB,M247-UK M247 UK Ltd, trading as M247
51.179.192.0,51.179.239.255,199055,GB,UKCLOUD-AS
51.179.240.0,51.181.255.255,0,None,Not routed
51.182.0.0,51.183.255.255,5607,GB,BSKYB-BROADBAND-AS
51.184.0.0,51.185.255.255,0,None,Not routed
51.186.0.0,51.187.255.255,5607,GB,BSKYB-BROADBAND-AS
51.188.0.0,51.189.255.255,0,None,Not routed
51.190.0.0,51.191.255.255,5607,GB,BSKYB-BROADBAND-AS
51.192.0.0,51.193.255.255,0,None,Not routed
51.194.0.0,51.194.255.255,5607,GB,BSKYB-BROADBAND-AS
51.195.0.0,51.195.255.255,16276,FR,OVH
51.196.0.0,51.197.255.255,0,None,Not routed
51.198.0.0,51.199.255.255,5607,GB,BSKYB-BROADBAND-AS
51.200.0.0,51.209.255.255,0,None,Not routed
51.210.0.0,51.210.255.255,16276,FR,OVH
51.211.0.0,51.211.127.255,25019,SA,SAUDINETSTC-AS
51.211.128.0,51.211.159.255,39891,SA,ALJAWWALSTC-AS
51.211.160.0,51.211.187.255,25019,SA,SAUDINETSTC-AS
51.211.188.0,51.211.191.255,0,None,Not routed
51.211.192.0,51.211.199.255,25019,SA,SAUDINETSTC-AS
51.211.200.0,51.211.207.255,0,None,Not routed
51.211.208.0,51.211.239.255,25019,SA,SAUDINETSTC-AS
51.211.240.0,51.218.127.255,0,None,Not routed
51.218.128.0,51.218.143.255,25019,SA,SAUDINETSTC-AS
51.218.144.0,51.218.159.255,0,None,Not routed
51.218.160.0,51.218.175.255,25019,SA,SAUDINETSTC-AS
51.218.176.0,51.218.191.255,0,None,Not routed
51.218.192.0,51.218.207.255,25019,SA,SAUDINETSTC-AS
51.218.208.0,51.218.223.255,0,None,Not routed
51.218.224.0,51.218.239.255,25019,SA,SAUDINETSTC-AS
51.218.240.0,51.218.255.255,0,None,Not routed
51.219.0.0,51.219.255.255,31655,GB,ASN-GAMMATELECOM
51.220.0.0,51.221.255.255,0,None,Not routed
51.222.0.0,51.222.255.255,16276,FR,OVH
51.223.0.0,51.223.255.255,25019,SA,SAUDINETSTC-AS
51.224.0.0,51.229.255.255,0,None,Not routed
51.230.0.0,51.230.127.255,2856,GB,BT-UK-AS BTnet UK Regional network
51.230.128.0,51.230.254.255,0,None,Not routed
51.230.255.0,51.230.255.255,2856,GB,BT-UK-AS BTnet UK Regional network
51.231.0.0,51.234.255.255,0,None,Not routed
51.235.0.0,51.235.31.255,25019,SA,SAUDINETSTC-AS
51.235.32.0,51.235.95.255,0,None,Not routed
51.235.96.0,51.235.127.255,39891,SA,ALJAWWALSTC-AS
51.235.128.0,51.235.159.255,25019,SA,SAUDINETSTC-AS
51.235.160.0,51.235.255.255,39891,SA,ALJAWWALSTC-AS
51.236.0.0,51.240.255.255,0,None,Not routed
51.241.0.0,51.241.255.255,5607,GB,BSKYB-BROADBAND-AS
51.242.0.0,51.249.255.255,0,None,Not routed
51.250.0.0,51.250.48.255,200350,RU,YANDEXCLOUD
51.250.49.0,51.250.51.255,200350,RU,YANDEXCLOUD
51.250.52.0,51.250.55.255,200350,RU,YANDEXCLOUD
51.250.56.0,51.250.126.255,200350,RU,YANDEXCLOUD
51.250.127.0,51.250.127.255,200350,RU,YANDEXCLOUD
51.250.128.0,51.251.255.255,0,None,Not routed
51.252.0.0,51.252.127.255,39891,SA,ALJAWWALSTC-AS
51.252.128.0,51.252.255.255,0,None,Not routed
51.253.0.0,51.253.127.255,39891,SA,ALJAWWALSTC-AS
51.253.128.0,51.253.255.255,0,None,Not routed
51.254.0.0,51.255.41.64,16276,FR,OVH
51.255.41.65,51.255.41.65,38726,VN,VTCDIGICOM-AS-VN VTC DIGICOM
51.255.41.66,51.255.255.255,16276,FR,OVH
