range_start,range_end,AS_number,country_code,AS_description
131.0.0.0,131.0.3.255,61458,BO,GOBIERNO AUTONOMO MUNICIPAL DE LA PAZ
131.0.4.0,131.0.7.255,61855,BR,NOVA NET TECNOLOGIA LTDA - ME
131.0.8.0,131.0.11.255,61724,BR,MASTERNET TELECOM LTDA ME
131.0.12.0,131.0.15.255,52644,BR,VISUALNET PROVEDOR DE INTERNET
131.0.16.0,131.0.19.255,61880,BR,Hospital de Clinicas de Porto Alegre
131.0.20.0,131.0.22.255,28327,BR,Reitec Fibra - M T Serv Inf Ltda.
131.0.23.0,131.0.23.255,28327,BR,Reitec Fibra - M T Serv Inf Ltda.
131.0.24.0,131.0.27.255,28604,BR,Globo Comunicacao e Participacoes SA
131.0.28.0,131.0.31.255,28210,BR,SUMICITY TELECOMUNICACOES S.A.
131.0.32.0,131.0.35.255,61868,BR,NETFACIL INTERNET VIA RADIO E INFORMATICA LTDA - M
131.0.36.0,131.0.39.255,61869,BR,MD PROVEDOR DE ACESSO A INTERNET
131.0.40.0,131.0.43.255,61856,BR,Viamar Telecom
131.0.44.0,131.0.47.255,262621,BR,LIMA & VICENTE Diversoes Eletronicas LTDA
131.0.48.0,131.0.49.255,61882,BR,VILAVNET SOLUCOES EM INFORMATICA LTDA-ME
131.0.50.0,131.0.51.255,0,None,Not routed
131.0.52.0,131.0.55.255,3549,US,LVLT-3549
131.0.56.0,131.0.59.255,61874,BR,S.R. da Silva Telecomunicacoes
131.0.60.0,131.0.63.255,61704,BR,Conectiva Fibra
131.0.64.0,131.0.66.255,61857,BR,SPEEDFAST TELECOM LTDA
131.0.67.0,131.0.67.255,36351,US,SOFTLAYER
131.0.68.0,131.0.68.255,61852,BR,Fundacao para Inovacoes Tecnologicas - FITec
131.0.69.0,131.0.69.255,0,None,Not routed
131.0.70.0,131.0.71.255,61852,BR,Fundacao para Inovacoes Tecnologicas - FITec
131.0.72.0,131.0.75.255,0,None,Not routed
131.0.76.0,131.0.79.255,14457,BR,Radins Telecomunicacoes
131.0.80.0,131.0.83.255,61870,BR,Gcu Servicos de Provedor Ltda
131.0.84.0,131.0.87.255,262420,BR,GIGA TV LTDA - EPP
131.0.88.0,131.0.91.255,52974,BR,Henet Telecomunicacoes Ltda
131.0.92.0,131.0.95.255,61871,BR,SiqueiraLink Internet Banda Larga
131.0.96.0,131.0.99.255,263649,BR,BrPhonia Provedor Ip Ltda
131.0.100.0,131.0.103.255,61883,BR,IDC CORPORATE - SOLUCOES DE DATA CENTER LTDA - EPP
131.0.104.0,131.0.107.255,0,None,Not routed
131.0.108.0,131.0.110.255,27651,CL,ENTEL CHILE S.A.
131.0.111.0,131.0.111.255,267906,CL,CVT TELECOMUNICACIONES LIMITADA
131.0.112.0,131.0.115.255,61700,BR,UAI TELECOM COMUNICACAO MULTIMIDIA LTDA
131.0.116.0,131.0.119.255,61884,BR,OLLA COMUNICACAO LTDA
131.0.120.0,131.0.123.255,262744,BR,ICENET TELECOMUNICACOES LTDA - ME
131.0.124.0,131.0.127.255,271133,BR,M & A tecnologia e Transportes
131.0.128.0,131.0.131.255,52232,AR,Telefonia Publica y Privada S.A.
131.0.132.0,131.0.133.255,270072,AR,BOSTICO HORACIO HUGO CONECTAR INTERNET
131.0.134.0,131.0.134.255,0,None,Not routed
131.0.135.0,131.0.135.255,270072,AR,BOSTICO HORACIO HUGO CONECTAR INTERNET
131.0.136.0,131.0.139.255,61467,CO,DataWare Sistemas S.A.S.
131.0.140.0,131.0.143.255,61885,BR,MGNETMOC LTDA
131.0.144.0,131.0.147.255,61886,BR,MC MEIRA PROVEDOR DE ACESSO LTDA
131.0.148.0,131.0.150.255,262824,BR,A C ROCHA INFORMATICA LTDA
131.0.151.0,131.0.151.255,262824,BR,A C ROCHA INFORMATICA LTDA
131.0.152.0,131.0.155.255,0,None,Not routed
131.0.156.0,131.0.159.255,61705,BR,INFORNET SERVICOS E PRODUTOS DE INFORMATICA LTDA
131.0.160.0,131.0.163.255,61701,BR,NARCELIO L DE SOUZA - ME
131.0.164.0,131.0.167.255,61698,BR,WI FI TEC CONEXAO E TECNOLOGIA LTDA - ME
131.0.168.0,131.0.171.255,262191,CO,COLUMBUS NETWORKS COLOMBIA
131.0.172.0,131.0.175.255,14117,CL,Telefonica del Sur S.A.
131.0.176.0,131.0.179.255,61706,BR,Cleiton e Cleber Ltda
131.0.180.0,131.0.183.255,61707,BR,SYSVOIP TELECOMUNICACOES LTDA - ME
131.0.184.0,131.0.187.255,28621,BR,NetOeste Telecomunicacoes Ltda
131.0.188.0,131.0.191.255,61708,BR,INFOCAT INFORMATICA LTDA
131.0.192.0,131.0.195.255,61719,BR,SP TELECOMUNICACOES EIRELI
131.0.196.0,131.0.199.255,27882,BO,Telefonica Celular de Bolivia S.A.
131.0.200.0,131.0.203.255,28284,BR,V.B. Telecomunicacoes LTDA.
131.0.204.0,131.0.207.255,61729,BR,CB NET TELECOM LTDA
131.0.208.0,131.0.211.255,52536,BR,D. A. SERVICOS DE TELECOMUNICACOES EIRELI
131.0.212.0,131.0.215.255,11664,AR,Techtel LMDS Comunicaciones Interactivas S.A.
131.0.216.0,131.0.218.255,28613,BR,HUGHES TELECOMUNICACOES DO BRASIL LTDA.
131.0.219.0,131.0.219.255,0,None,Not routed
131.0.220.0,131.0.223.255,61702,BR,DELTA TELECOM
131.0.224.0,131.0.227.255,52965,BR,1TELECOM SERVICOS DE TECNOLOGIA EM INTERNET LTDA
131.0.228.0,131.0.230.255,61709,BR,Dms Telecomunicacoes Ltda
131.0.231.0,131.0.231.255,61709,BR,Dms Telecomunicacoes Ltda
131.0.232.0,131.0.235.255,61470,AR,MUSURIT
131.0.236.0,131.0.237.255,16531,MX,TOPNET SA de CV
131.0.238.0,131.0.238.255,0,None,Not routed
131.0.239.0,131.0.239.255,16531,MX,TOPNET SA de CV
131.0.240.0,131.0.243.255,262380,BR,Rontel LTDA
131.0.244.0,131.0.247.255,61714,BR,supercore tecnologia e informatica eirelli
131.0.248.0,131.0.251.255,52769,BR,LagosNet Internet Banda Larga Ltda
131.0.252.0,131.0.255.255,263555,BR,infinity brasil telecom ltda me
131.1.0.0,131.1.5.255,3269,IT,ASN-IBSNAZ
131.1.6.0,131.1.6.255,20746,IT,ASN-IDC T.NO.OM.I.NC
131.1.7.0,131.1.8.255,3269,IT,ASN-IBSNAZ
131.1.9.0,131.1.9.255,20746,IT,ASN-IDC T.NO.OM.I.NC
131.1.10.0,131.1.215.255,3269,IT,ASN-IBSNAZ
131.1.216.0,131.1.217.255,20746,IT,ASN-IDC T.NO.OM.I.NC
131.1.218.0,131.1.219.255,3269,IT,ASN-IBSNAZ
131.1.220.0,131.1.222.255,20746,IT,ASN-IDC T.NO.OM.I.NC
131.1.223.0,131.1.228.255,3269,IT,ASN-IBSNAZ
131.1.229.0,131.1.231.255,20746,IT,ASN-IDC T.NO.OM.I.NC
131.1.232.0,131.1.239.255,3269,IT,ASN-IBSNAZ
131.1.240.0,131.1.245.255,20746,IT,ASN-IDC T.NO.OM.I.NC
131.1.246.0,131.1.246.255,3269,IT,ASN-IBSNAZ
131.1.247.0,131.1.247.255,20746,IT,ASN-IDC T.NO.OM.I.NC
131.1.248.0,131.1.251.255,3269,IT,ASN-IBSNAZ
131.1.252.0,131.1.255.255,20746,IT,ASN-IDC T.NO.OM.I.NC
131.2.0.0,131.2.255.255,749,US,DNIC-AS-00749
131.3.0.0,131.3.255.255,386,US,AFCONC-BLOCK1-AS
131.4.0.0,131.4.255.255,721,US,DNIC-ASBLK-00721-00726
131.5.0.0,131.5.31.255,385,US,AFCONC-BLOCK1-AS
131.5.32.0,131.5.47.255,721,US,DNIC-ASBLK-00721-00726
131.5.48.0,131.5.63.255,385,US,AFCONC-BLOCK1-AS
131.5.64.0,131.5.100.255,721,US,DNIC-ASBLK-00721-00726
131.5.101.0,131.5.210.255,385,US,AFCONC-BLOCK1-AS
131.5.211.0,131.5.223.255,721,US,DNIC-ASBLK-00721-00726
131.5.224.0,131.5.253.255,385,US,AFCONC-BLOCK1-AS
131.5.254.0,131.5.255.255,721,US,DNIC-ASBLK-00721-00726
131.6.0.0,131.6.5.255,385,US,AFCONC-BLOCK1-AS
131.6.6.0,131.6.12.255,385,US,AFCONC-BLOCK1-AS
131.6.13.0,131.6.21.255,385,US,AFCONC-BLOCK1-AS
131.6.22.0,131.6.196.255,385,US,AFCONC-BLOCK1-AS
131.6.197.0,131.6.255.255,385,US,AFCONC-BLOCK1-AS
131.7.0.0,131.7.0.255,452,US,AFCONC-BLOCK1-AS
131.7.1.0,131.7.1.255,385,US,AFCONC-BLOCK1-AS
131.7.2.0,131.7.8.255,452,US,AFCONC-BLOCK1-AS
131.7.9.0,131.7.9.255,385,US,AFCONC-BLOCK1-AS
131.7.10.0,131.7.10.255,452,US,AFCONC-BLOCK1-AS
131.7.11.0,131.7.11.255,385,US,AFCONC-BLOCK1-AS
131.7.12.0,131.7.13.255,452,US,AFCONC-BLOCK1-AS
131.7.14.0,131.7.14.255,385,US,AFCONC-BLOCK1-AS
131.7.15.0,131.7.24.255,452,US,AFCONC-BLOCK1-AS
131.7.25.0,131.7.25.255,385,US,AFCONC-BLOCK1-AS
131.7.26.0,131.7.26.255,452,US,AFCONC-BLOCK1-AS
131.7.27.0,131.7.30.255,385,US,AFCONC-BLOCK1-AS
131.7.31.0,131.7.31.255,452,US,AFCONC-BLOCK1-AS
131.7.32.0,131.7.32.255,385,US,AFCONC-BLOCK1-AS
131.7.33.0,131.7.33.255,452,US,AFCONC-BLOCK1-AS
131.7.34.0,131.7.34.255,385,US,AFCONC-BLOCK1-AS
131.7.35.0,131.7.35.255,452,US,AFCONC-BLOCK1-AS
131.7.36.0,131.7.38.255,385,US,AFCONC-BLOCK1-AS
131.7.39.0,131.7.39.255,452,US,AFCONC-BLOCK1-AS
131.7.40.0,131.7.41.255,385,US,AFCONC-BLOCK1-AS
131.7.42.0,131.7.47.255,452,US,AFCONC-BLOCK1-AS
131.7.48.0,131.7.49.255,385,US,AFCONC-BLOCK1-AS
131.7.50.0,131.7.50.255,452,US,AFCONC-BLOCK1-AS
131.7.51.0,131.7.52.255,385,US,AFCONC-BLOCK1-AS
131.7.53.0,131.7.53.255,385,US,AFCONC-BLOCK1-AS
131.7.54.0,131.7.54.255,452,US,AFCONC-BLOCK1-AS
131.7.55.0,131.7.55.255,385,US,AFCONC-BLOCK1-AS
131.7.56.0,131.7.59.255,452,US,AFCONC-BLOCK1-AS
131.7.60.0,131.7.63.255,385,US,AFCONC-BLOCK1-AS
131.7.64.0,131.7.67.255,452,US,AFCONC-BLOCK1-AS
131.7.68.0,131.7.68.255,385,US,AFCONC-BLOCK1-AS
131.7.69.0,131.7.72.255,452,US,AFCONC-BLOCK1-AS
131.7.73.0,131.7.73.255,385,US,AFCONC-BLOCK1-AS
131.7.74.0,131.7.74.255,452,US,AFCONC-BLOCK1-AS
131.7.75.0,131.7.75.255,385,US,AFCONC-BLOCK1-AS
131.7.76.0,131.7.76.255,452,US,AFCONC-BLOCK1-AS
131.7.77.0,131.7.77.255,385,US,AFCONC-BLOCK1-AS
131.7.78.0,131.7.79.255,452,US,AFCONC-BLOCK1-AS
131.7.80.0,131.7.80.255,385,US,AFCONC-BLOCK1-AS
131.7.81.0,131.7.94.255,452,US,AFCONC-BLOCK1-AS
131.7.95.0,131.7.101.255,385,US,AFCONC-BLOCK1-AS
131.7.102.0,131.7.103.255,452,US,AFCONC-BLOCK1-AS
131.7.104.0,131.7.107.255,385,US,AFCONC-BLOCK1-AS
131.7.108.0,131.7.113.255,452,US,AFCONC-BLOCK1-AS
131.7.114.0,131.7.120.255,385,US,AFCONC-BLOCK1-AS
131.7.121.0,131.7.128.255,452,US,AFCONC-BLOCK1-AS
131.7.129.0,131.7.129.255,385,US,AFCONC-BLOCK1-AS
131.7.130.0,131.7.130.255,452,US,AFCONC-BLOCK1-AS
131.7.131.0,131.7.132.255,385,US,AFCONC-BLOCK1-AS
131.7.133.0,131.7.133.255,452,US,AFCONC-BLOCK1-AS
131.7.134.0,131.7.134.255,385,US,AFCONC-BLOCK1-AS
131.7.135.0,131.7.135.255,452,US,AFCONC-BLOCK1-AS
131.7.136.0,131.7.138.255,385,US,AFCONC-BLOCK1-AS
131.7.139.0,131.7.139.255,452,US,AFCONC-BLOCK1-AS
131.7.140.0,131.7.140.255,385,US,AFCONC-BLOCK1-AS
131.7.141.0,131.7.143.255,452,US,AFCONC-BLOCK1-AS
131.7.144.0,131.7.146.255,385,US,AFCONC-BLOCK1-AS
131.7.147.0,131.7.147.255,452,US,AFCONC-BLOCK1-AS
131.7.148.0,131.7.151.255,385,US,AFCONC-BLOCK1-AS
131.7.152.0,131.7.155.255,452,US,AFCONC-BLOCK1-AS
131.7.156.0,131.7.156.255,385,US,AFCONC-BLOCK1-AS
131.7.157.0,131.7.158.255,452,US,AFCONC-BLOCK1-AS
131.7.159.0,131.7.165.255,385,US,AFCONC-BLOCK1-AS
131.7.166.0,131.7.166.255,452,US,AFCONC-BLOCK1-AS
131.7.167.0,131.7.169.255,385,US,AFCONC-BLOCK1-AS
131.7.170.0,131.7.172.255,452,US,AFCONC-BLOCK1-AS
131.7.173.0,131.7.174.255,385,US,AFCONC-BLOCK1-AS
131.7.175.0,131.7.175.255,452,US,AFCONC-BLOCK1-AS
131.7.176.0,131.7.177.255,385,US,AFCONC-BLOCK1-AS
131.7.178.0,131.7.182.255,385,US,AFCONC-BLOCK1-AS
131.7.183.0,131.7.187.255,452,US,AFCONC-BLOCK1-AS
131.7.188.0,131.7.195.255,385,US,AFCONC-BLOCK1-AS
131.7.196.0,131.7.198.255,452,US,AFCONC-BLOCK1-AS
131.7.199.0,131.7.202.255,385,US,AFCONC-BLOCK1-AS
131.7.203.0,131.7.203.255,452,US,AFCONC-BLOCK1-AS
131.7.204.0,131.7.215.255,385,US,AFCONC-BLOCK1-AS
131.7.216.0,131.7.217.255,452,US,AFCONC-BLOCK1-AS
131.7.218.0,131.7.245.255,385,US,AFCONC-BLOCK1-AS
131.7.246.0,131.7.246.255,452,US,AFCONC-BLOCK1-AS
131.7.247.0,131.7.255.255,385,US,AFCONC-BLOCK1-AS
131.8.0.0,131.8.255.255,749,US,DNIC-AS-00749
131.9.0.0,131.10.120.255,385,US,AFCONC-BLOCK1-AS
131.10.121.0,131.10.255.255,385,US,AFCONC-BLOCK1-AS
131.11.0.0,131.11.255.255,749,US,DNIC-AS-00749
131.12.0.0,131.12.7.255,385,US,AFCONC-BLOCK1-AS
131.12.8.0,131.13.63.255,385,US,AFCONC-BLOCK1-AS
131.13.64.0,131.13.120.255,385,US,AFCONC-BLOCK1-AS
131.13.121.0,131.13.255.255,385,US,AFCONC-BLOCK1-AS
131.14.0.0,131.14.227.255,749,US,DNIC-AS-00749
131.14.228.0,131.14.239.255,27064,US,DNIC-ASBLK-27032-27159
131.14.240.0,131.15.15.255,749,US,DNIC-AS-00749
131.15.16.0,131.15.35.255,385,US,AFCONC-BLOCK1-AS
131.15.36.0,131.15.37.255,749,US,DNIC-AS-00749
131.15.38.0,131.15.46.255,385,US,AFCONC-BLOCK1-AS
131.15.47.0,131.15.47.255,749,US,DNIC-AS-00749
131.15.48.0,131.15.62.255,385,US,AFCONC-BLOCK1-AS
131.15.63.0,131.15.64.255,749,US,DNIC-AS-00749
131.15.65.0,131.15.65.255,385,US,AFCONC-BLOCK1-AS
131.15.66.0,131.15.67.255,749,US,DNIC-AS-00749
131.15.68.0,131.15.71.255,385,US,AFCONC-BLOCK1-AS
131.15.72.0,131.15.72.255,749,US,DNIC-AS-00749
131.15.73.0,131.15.75.255,385,US,AFCONC-BLOCK1-AS
131.15.76.0,131.15.76.255,0,None,Not routed
131.15.77.0,131.15.78.255,385,US,AFCONC-BLOCK1-AS
131.15.79.0,131.15.79.255,0,None,Not routed
131.15.80.0,131.15.80.255,385,US,AFCONC-BLOCK1-AS
131.15.81.0,131.15.89.255,749,US,DNIC-AS-00749
131.15.90.0,131.15.92.255,385,US,AFCONC-BLOCK1-AS
131.15.93.0,131.15.97.255,749,US,DNIC-AS-00749
131.15.98.0,131.15.99.255,385,US,AFCONC-BLOCK1-AS
131.15.100.0,131.15.115.255,749,US,DNIC-AS-00749
131.15.116.0,131.15.117.255,385,US,AFCONC-BLOCK1-AS
131.15.118.0,131.15.119.255,749,US,DNIC-AS-00749
131.15.120.0,131.15.120.255,385,US,AFCONC-BLOCK1-AS
131.15.121.0,131.15.135.255,749,US,DNIC-AS-00749
131.15.136.0,131.15.136.255,385,US,AFCONC-BLOCK1-AS
131.15.137.0,131.15.143.255,749,US,DNIC-AS-00749
131.15.144.0,131.15.151.255,385,US,AFCONC-BLOCK1-AS
131.15.152.0,131.15.159.255,749,US,DNIC-AS-00749
131.15.160.0,131.15.167.255,385,US,AFCONC-BLOCK1-AS
131.15.168.0,131.15.207.255,749,US,DNIC-AS-00749
131.15.208.0,131.15.208.255,385,US,AFCONC-BLOCK1-AS
131.15.209.0,131.15.251.255,749,US,DNIC-AS-00749
131.15.252.0,131.15.253.255,385,US,AFCONC-BLOCK1-AS
131.15.254.0,131.15.255.255,749,US,DNIC-AS-00749
131.16.0.0,131.16.79.255,721,US,DNIC-ASBLK-00721-00726
131.16.80.0,131.16.83.255,386,US,AFCONC-BLOCK1-AS
131.16.84.0,131.16.87.255,386,US,AFCONC-BLOCK1-AS
131.16.88.0,131.16.255.255,721,US,DNIC-ASBLK-00721-00726
131.17.0.0,131.17.129.255,385,US,AFCONC-BLOCK1-AS
131.17.130.0,131.17.255.255,385,US,AFCONC-BLOCK1-AS
131.18.0.0,131.18.0.255,118,US,DNIC-AS-00118
131.18.1.0,131.18.97.255,749,US,DNIC-AS-00749
131.18.98.0,131.18.99.255,385,US,AFCONC-BLOCK1-AS
131.18.100.0,131.18.103.255,749,US,DNIC-AS-00749
131.18.104.0,131.18.105.255,385,US,AFCONC-BLOCK1-AS
131.18.106.0,131.18.127.255,749,US,DNIC-AS-00749
131.18.128.0,131.18.128.255,385,US,AFCONC-BLOCK1-AS
131.18.129.0,131.18.175.255,749,US,DNIC-AS-00749
131.18.176.0,131.18.177.255,386,US,AFCONC-BLOCK1-AS
131.18.178.0,131.18.253.255,749,US,DNIC-AS-00749
131.18.254.0,131.18.254.255,118,US,DNIC-AS-00118
131.18.255.0,131.21.255.255,749,US,DNIC-AS-00749
131.22.0.0,131.22.8.255,385,US,AFCONC-BLOCK1-AS
131.22.9.0,131.22.200.255,385,US,AFCONC-BLOCK1-AS
131.22.201.0,131.22.241.255,385,US,AFCONC-BLOCK1-AS
131.22.242.0,131.22.242.255,5972,Unknown,AS5972
131.22.243.0,131.22.255.255,385,US,AFCONC-BLOCK1-AS
131.23.0.0,131.23.255.255,749,US,DNIC-AS-00749
131.24.0.0,131.24.119.255,385,US,AFCONC-BLOCK1-AS
131.24.120.0,131.24.121.255,385,US,AFCONC-BLOCK1-AS
131.24.122.0,131.25.245.255,385,US,AFCONC-BLOCK1-AS
131.25.246.0,131.25.255.255,385,US,AFCONC-BLOCK1-AS
131.26.0.0,131.26.255.255,749,US,DNIC-AS-00749
131.27.0.0,131.27.63.255,385,US,AFCONC-BLOCK1-AS
131.27.64.0,131.27.67.255,749,US,DNIC-AS-00749
131.27.68.0,131.27.75.255,0,None,Not routed
131.27.76.0,131.27.255.255,749,US,DNIC-AS-00749
131.28.0.0,131.28.123.255,385,US,AFCONC-BLOCK1-AS
131.28.124.0,131.30.19.255,385,US,AFCONC-BLOCK1-AS
131.30.20.0,131.30.20.255,56,US,DNIC-AS-00056
131.30.21.0,131.30.121.255,385,US,AFCONC-BLOCK1-AS
