range_start,range_end,AS_number,country_code,AS_description
31.0.0.0,31.1.255.255,8374,PL,PLUSNET Plus network operator in Poland
31.2.0.0,31.2.127.255,21243,PL,PLUSNET PlusGSM transit core network
31.2.128.0,31.2.255.255,197207,IR,MCCI-AS
31.3.0.0,31.3.7.255,21245,TR,MEDIANOVA-CDN
31.3.8.0,31.3.15.255,5524,NL,BREEDBANDNEDERLAND
31.3.16.0,31.3.18.255,47747,RU,TMK-NET-AS
31.3.19.0,31.3.23.255,47747,RU,TMK-NET-AS
31.3.24.0,31.3.31.255,25591,RU,BCLAN-AS BCLan Networks
31.3.32.0,31.3.63.255,28952,SK,O2BS
31.3.64.0,31.3.71.255,60819,GB,SAFENAMES-AS
31.3.72.0,31.3.79.255,48564,DK,IPVISION
31.3.80.0,31.3.87.255,196714,DE,TNETKOM-AS
31.3.88.0,31.3.92.255,34547,MK,TELESMART-AS
31.3.93.0,31.3.94.255,43612,MK,BLIZOO
31.3.95.0,31.3.95.255,34547,MK,TELESMART-AS
31.3.96.0,31.3.103.255,35470,NL,XL-AS
31.3.104.0,31.3.111.255,197731,NL,TUXIS
31.3.112.0,31.3.119.255,2114,ES,ESIC
31.3.120.0,31.3.127.255,31577,ES,PRORED
31.3.128.0,31.3.135.255,199662,CH,EXION
31.3.136.0,31.3.143.255,8426,GB,CLARANET-AS ClaraNET LTD
31.3.144.0,31.3.147.255,51720,DE,FUJITSU-TS-AS
31.3.148.0,31.3.149.255,0,None,Not routed
31.3.150.0,31.3.151.255,41321,DE,FUJITSU-TS-SOP-AS
31.3.152.0,31.3.155.255,51430,NL,ALTUS
31.3.156.0,31.3.156.255,208685,NL,QBINE-AS
31.3.157.0,31.3.159.255,51430,NL,ALTUS
31.3.160.0,31.3.167.255,0,None,Not routed
31.3.168.0,31.3.191.255,200043,IT,CESENA-NET-SRL
31.3.192.0,31.3.207.255,197743,UA,KRAEVID
31.3.208.0,31.3.223.255,25577,GB,C4L-AS
31.3.224.0,31.3.255.255,20860,GB,IOMART-AS
31.4.0.0,31.4.255.255,12430,ES,VODAFONE_ES
31.5.0.0,31.5.255.255,12302,RO,VODAFONE_RO Charles de Gaulle nr.15
31.6.0.0,31.6.0.255,0,None,Not routed
31.6.1.0,31.6.1.255,50058,GB,AUGUST-INTERNET August Internet
31.6.2.0,31.6.2.255,57152,TR,TEKNET
31.6.3.0,31.6.11.255,22363,US,PHMGMT-AS1
31.6.12.0,31.6.15.255,834,US,IPXO
31.6.16.0,31.6.16.255,60721,TR,BURSABIL
31.6.17.0,31.6.19.255,22363,US,PHMGMT-AS1
31.6.20.0,31.6.20.255,61317,GB,ASDETUK www.heficed.com
31.6.21.0,31.6.23.255,22363,US,PHMGMT-AS1
31.6.24.0,31.6.27.255,834,US,IPXO
31.6.28.0,31.6.29.255,0,None,Not routed
31.6.30.0,31.6.30.255,22363,US,PHMGMT-AS1
31.6.31.0,31.6.31.255,0,None,Not routed
31.6.32.0,31.6.33.255,61317,GB,ASDETUK www.heficed.com
31.6.34.0,31.6.35.255,0,None,Not routed
31.6.36.0,31.6.36.255,61317,GB,ASDETUK www.heficed.com
31.6.37.0,31.6.38.255,0,None,Not routed
31.6.39.0,31.6.39.255,61317,GB,ASDETUK www.heficed.com
31.6.40.0,31.6.40.255,0,None,Not routed
31.6.41.0,31.6.42.255,22363,US,PHMGMT-AS1
31.6.43.0,31.6.43.255,0,None,Not routed
31.6.44.0,31.6.44.255,22363,US,PHMGMT-AS1
31.6.45.0,31.6.45.255,49999,GB,BANDWIDTHTECH-AS
31.6.46.0,31.6.48.255,834,US,IPXO
31.6.49.0,31.6.49.255,22363,US,PHMGMT-AS1
31.6.50.0,31.6.51.255,834,US,IPXO
31.6.52.0,31.6.55.255,3320,DE,DTAG Internet service provider operations
31.6.56.0,31.6.57.255,834,US,IPXO
31.6.58.0,31.6.58.255,22363,US,PHMGMT-AS1
31.6.59.0,31.6.59.255,834,US,IPXO
31.6.60.0,31.6.60.255,22363,US,PHMGMT-AS1
31.6.61.0,31.6.63.255,834,US,IPXO
31.6.64.0,31.6.67.255,39869,PL,LIVENET-
31.6.68.0,31.6.71.209,59491,PL,LIVENET-
31.6.71.210,31.6.71.210,39869,PL,LIVENET-
31.6.71.211,31.6.71.255,59491,PL,LIVENET-
31.6.72.0,31.6.79.255,34555,GB,CCS-LEEDS-ASN Unit A, Seacroft Trade Park
31.6.80.0,31.6.95.255,34758,IT,INTERPLANET-
31.6.96.0,31.6.127.255,59815,RU,TRK-METRO-AS
31.6.128.0,31.6.217.255,21021,PL,MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland.
31.6.218.0,31.6.218.255,29314,PL,VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland
31.6.219.0,31.6.223.255,21021,PL,MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland.
31.6.224.0,31.6.246.255,0,None,Not routed
31.6.247.0,31.6.247.255,50606,PL,VIRTUAOPERATOR-AS
31.6.248.0,31.6.255.255,0,None,Not routed
31.7.0.0,31.7.7.255,20847,NL,PREVIDER-AS
31.7.8.0,31.7.15.255,8676,GB,PRTSYSTEMS PRT Systems Ltd Clearhost Transit AS
31.7.16.0,31.7.31.255,719,FI,ELISA-AS Helsinki, Finland
31.7.32.0,31.7.39.255,57152,TR,TEKNET
31.7.40.0,31.7.47.255,35063,PL,TKCHOPIN-AS
31.7.48.0,31.7.55.255,49221,IE,ATLANTEK
31.7.56.0,31.7.63.255,51852,PA,PLI-AS
31.7.64.0,31.7.64.255,211421,IR,MOBINONE
31.7.65.0,31.7.70.255,43754,IR,ASIATECH
31.7.71.0,31.7.72.255,43754,IR,ASIATECH
31.7.73.0,31.7.79.255,43754,IR,ASIATECH
31.7.80.0,31.7.81.255,198589,IQ,JT-AS
31.7.82.0,31.7.82.255,44181,IQ,NETMAX
31.7.83.0,31.7.83.255,34929,IQ,JT-WAN-AS
31.7.84.0,31.7.87.255,198589,IQ,JT-AS
