range_start,range_end,AS_number,country_code,AS_description
187.0.0.0,187.0.15.255,28283,BR,Adylnet Telecom
187.0.16.0,187.0.20.255,262751,BR,LINK POINT SERVICOS LTDA-ME
187.0.21.0,187.0.31.255,262751,BR,LINK POINT SERVICOS LTDA-ME
187.0.32.0,187.0.35.255,270604,BR,AT3 TECNOLOGIA EIRELI
187.0.36.0,187.0.39.255,270670,BR,WEBNET INTERNET
187.0.40.0,187.0.41.255,269979,AR,Cooperativa Electrica Limitada de Norberto de la Riestra
187.0.42.0,187.0.43.255,0,None,Not routed
187.0.44.0,187.0.47.255,270589,BR,Marcio Henrique Malaquias Junior
187.0.48.0,187.0.63.255,28352,BR,NETSPEED LTDA
187.0.64.0,187.0.127.255,22689,BR,SERCOMTEL SA TELECOMUNICACOES
187.0.128.0,187.0.143.255,28238,BR,Sator Engenharia Ltda.
187.0.144.0,187.0.152.255,28239,BR,IWserver Internet Banda Larga Ltda.
187.0.153.0,187.0.159.255,28239,BR,IWserver Internet Banda Larga Ltda.
187.0.160.0,187.0.163.255,28240,BR,VIP - SERVICOS DE TELECOMUNICACOES LTDA.
187.0.164.0,187.0.167.255,262732,BR,Sygo Internet
187.0.168.0,187.0.175.255,263128,BR,Internet Maxima Tecnologia Ltda
187.0.176.0,187.0.178.255,28241,BR,VERO S.A
187.0.179.0,187.0.181.255,28241,BR,VERO S.A
187.0.182.0,187.0.185.255,28241,BR,VERO S.A
187.0.186.0,187.0.191.255,28241,BR,VERO S.A
187.0.192.0,187.0.193.255,26592,BR,EQUINIX BRASIL
187.0.194.0,187.0.194.255,16397,BR,EQUINIX BRASIL
187.0.195.0,187.0.200.255,26592,BR,EQUINIX BRASIL
187.0.201.0,187.0.201.255,16397,BR,EQUINIX BRASIL
187.0.202.0,187.0.204.255,26592,BR,EQUINIX BRASIL
187.0.205.0,187.0.205.255,16397,BR,EQUINIX BRASIL
187.0.206.0,187.0.209.255,26592,BR,EQUINIX BRASIL
187.0.210.0,187.0.210.255,16397,BR,EQUINIX BRASIL
187.0.211.0,187.0.213.255,26592,BR,EQUINIX BRASIL
187.0.214.0,187.0.214.255,16397,BR,EQUINIX BRASIL
187.0.215.0,187.0.223.255,26592,BR,EQUINIX BRASIL
187.0.224.0,187.0.239.255,264212,BR,IMPACTO TELECOMUNICACOES EIRELI - ME
187.0.240.0,187.0.247.255,0,None,Not routed
187.0.248.0,187.0.255.255,28243,BR,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA
187.1.0.0,187.1.1.255,263880,BR,WANTEL TECNOLOGIA LTDA. EPP
187.1.2.0,187.1.15.255,263880,BR,WANTEL TECNOLOGIA LTDA. EPP
187.1.16.0,187.1.31.255,262272,BR,FIT Telecom Eireli
187.1.32.0,187.1.45.255,28246,BR,REDE SIVNET TELECOMUNICACOES LTDA
187.1.46.0,187.1.47.255,0,None,Not routed
187.1.48.0,187.1.63.255,28201,BR,Companhia Itabirana Telecomunicacoes Ltda
187.1.64.0,187.1.79.255,28280,BR,A. P. OLIVEIRA & CIA. INFORMATICA LTDA.
187.1.80.0,187.1.80.255,28250,BR,TELBRAX LTDA
187.1.81.0,187.1.81.255,25933,BR,Vogel Solucoes em Telecom e Informatica SA
187.1.82.0,187.1.86.255,28250,BR,TELBRAX LTDA
187.1.87.0,187.1.87.255,25933,BR,Vogel Solucoes em Telecom e Informatica SA
187.1.88.0,187.1.88.255,28250,BR,TELBRAX LTDA
187.1.89.0,187.1.90.255,25933,BR,Vogel Solucoes em Telecom e Informatica SA
187.1.91.0,187.1.95.255,28250,BR,TELBRAX LTDA
187.1.96.0,187.1.111.255,28249,BR,EMPRESA EDITORA A TARDE S.A.
187.1.112.0,187.1.113.255,53163,BR,CONID - Companhia Naciona para Inclusao Digital
187.1.114.0,187.1.127.255,53163,BR,CONID - Companhia Naciona para Inclusao Digital
187.1.128.0,187.1.143.255,28299,BR,IPV6 Internet Ltda
187.1.144.0,187.1.158.255,28251,BR,Cizol Com. e Servicos de Equip de Informatica Ltda
187.1.159.0,187.1.159.255,28251,BR,Cizol Com. e Servicos de Equip de Informatica Ltda
187.1.160.0,187.1.175.255,28252,BR,WorldNet Telecom Comercio e Servicos de Telecomuni
187.1.176.0,187.1.178.255,21574,BR,Century Telecom Ltda
