range_start,range_end,AS_number,country_code,AS_description
196.0.0.0,196.0.7.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.8.0,196.0.19.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.20.0,196.0.47.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.48.0,196.0.51.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.52.0,196.0.54.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.55.0,196.0.58.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.59.0,196.0.69.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.70.0,196.0.76.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.77.0,196.0.80.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.81.0,196.0.113.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.114.0,196.0.115.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.116.0,196.0.126.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.127.0,196.0.242.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.243.0,196.0.248.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.0.249.0,196.0.255.255,21491,UG,UGANDA-TELECOM Uganda Telecom
196.1.0.0,196.1.0.255,37708,MU,AFRINIC-MAIN
196.1.1.0,196.1.1.255,37989,SG,DCS1-02-AS-AP DCS1 Pte Ltd, at DC02
196.1.2.0,196.1.2.255,18895,PR,NUSTREAM-COMMUNICATIONS
196.1.3.0,196.1.3.255,0,None,Not routed
196.1.4.0,196.1.4.255,36948,Unknown,AS36948
196.1.5.0,196.1.14.255,0,None,Not routed
196.1.15.0,196.1.15.255,36936,AO,BancoBai
196.1.16.0,196.1.27.255,0,None,Not routed
196.1.28.0,196.1.31.255,33763,Unknown,AS33763
196.1.32.0,196.1.32.255,3741,ZA,IS
196.1.33.0,196.1.55.255,0,None,Not routed
196.1.56.0,196.1.63.255,22355,Unknown,AS22355
196.1.64.0,196.1.68.255,0,None,Not routed
196.1.69.0,196.1.69.255,6412,EU,KW KEMS Block-A, Floor 7, Souq Al-Kabeer Kuwait City, State of Kuwait P O Box 3623, Safat 13037 KW
196.1.70.0,196.1.70.255,9155,KW,QNET Kuwait
196.1.71.0,196.1.74.255,0,None,Not routed
196.1.75.0,196.1.79.255,5713,ZA,SAIX-NET
196.1.80.0,196.1.84.255,0,None,Not routed
196.1.85.0,196.1.86.255,5713,ZA,SAIX-NET
196.1.87.0,196.1.91.255,0,None,Not routed
196.1.92.0,196.1.100.255,8346,EU,SONATEL SONATEL-AS Autonomous System
196.1.101.0,196.1.102.255,0,None,Not routed
196.1.103.0,196.1.103.255,3741,ZA,IS
196.1.104.0,196.1.104.255,18207,IN,YOU-INDIA-AP YOU Broadband & Cable India Ltd.
196.1.105.0,196.1.106.255,55446,IN,CENTDEVTEL-NON-AS-AP CENTRE FOR DEVELOPMENT OF TELEMATICS
196.1.107.0,196.1.107.255,23021,Unknown,-Reserved AS-
196.1.108.0,196.1.108.255,0,None,Not routed
196.1.109.0,196.1.109.255,55433,IN,CDAC-NON-AS-AP Centre for Development of Advanced Computing
196.1.110.0,196.1.111.255,55446,IN,CENTDEVTEL-NON-AS-AP CENTRE FOR DEVELOPMENT OF TELEMATICS
196.1.112.0,196.1.112.255,0,None,Not routed
196.1.113.0,196.1.113.255,55433,IN,CDAC-NON-AS-AP Centre for Development of Advanced Computing
196.1.114.0,196.1.114.255,55847,IN,NKN-EDGE-NW NKN EDGE Network
196.1.115.0,196.1.115.255,3741,ZA,IS
196.1.116.0,196.1.117.255,327977,KE,FAMILY-BANK
196.1.118.0,196.1.118.255,0,None,Not routed
196.1.119.0,196.1.119.255,36974,Unknown,AS36974
196.1.120.0,196.1.127.255,36867,SC,Kokonet-BGP
196.1.128.0,196.1.129.255,0,None,Not routed
196.1.130.0,196.1.130.255,37053,ZA,RSAWEB-AS
196.1.131.0,196.1.131.255,37247,Unknown,AS37247
196.1.132.0,196.1.132.255,37274,KE,NICBANK
196.1.133.0,196.1.136.255,0,None,Not routed
196.1.137.0,196.1.137.255,328928,CD,CEDESURK
196.1.138.0,196.1.139.255,30689,JM,FLOW-NET
196.1.140.0,196.1.141.255,0,None,Not routed
196.1.142.0,196.1.142.255,10278,BB,CWWI-AS
196.1.143.0,196.1.143.255,36929,Unknown,AS36929
196.1.144.0,196.1.159.255,25818,Unknown,AS25818
196.1.160.0,196.1.160.255,11139,DM,CWC-ROC-11139
196.1.161.0,196.1.161.255,46408,Unknown,AS46408
196.1.162.0,196.1.162.255,11139,DM,CWC-ROC-11139
196.1.163.0,196.1.166.255,0,None,Not routed
196.1.167.0,196.1.167.255,14813,BB,BB-COLUMBUS
196.1.168.0,196.1.168.255,11139,DM,CWC-ROC-11139
196.1.169.0,196.1.169.255,46408,Unknown,AS46408
196.1.170.0,196.1.170.255,14813,BB,BB-COLUMBUS
196.1.171.0,196.1.171.255,11139,DM,CWC-ROC-11139
196.1.172.0,196.1.175.255,0,None,Not routed
196.1.176.0,196.1.179.255,37629,Unknown,AS37629
196.1.180.0,196.1.181.255,0,None,Not routed
196.1.182.0,196.1.191.255,37629,Unknown,AS37629
196.1.192.0,196.1.198.255,15706,SD,Sudatel
196.1.199.0,196.1.220.255,15706,SD,Sudatel
196.1.221.0,196.1.224.255,15706,SD,Sudatel
196.1.225.0,196.1.228.255,15706,SD,Sudatel
196.1.229.0,196.1.243.255,15706,SD,Sudatel
196.1.244.0,196.1.245.255,15706,SD,Sudatel
196.1.246.0,196.1.248.255,15706,SD,Sudatel
196.1.249.0,196.1.255.255,15706,SD,Sudatel
196.2.0.0,196.2.1.255,3586,JM,JAMNET
196.2.2.0,196.2.2.255,14988,Unknown,AS14988
