range_start,range_end,AS_number,country_code,AS_description
199.0.0.0,199.0.66.255,1239,US,SPRINTLINK
199.0.67.0,199.0.67.255,1789,US,SPRINTLINK1
199.0.68.0,199.0.75.255,1239,US,SPRINTLINK
199.0.76.0,199.0.79.255,396485,US,SLU-4-ASN
199.0.80.0,199.0.143.255,1239,US,SPRINTLINK
199.0.144.0,199.0.144.255,1790,US,SPRINTLINK2
199.0.145.0,199.0.145.255,1789,US,SPRINTLINK1
199.0.146.0,199.0.157.255,1239,US,SPRINTLINK
199.0.158.0,199.0.159.255,1789,US,SPRINTLINK1
199.0.160.0,199.0.183.255,1239,US,SPRINTLINK
199.0.184.0,199.0.187.255,22885,US,ASI
199.0.188.0,199.0.191.255,1239,US,SPRINTLINK
199.0.192.0,199.0.207.255,14174,US,NCKCN
199.0.208.0,199.0.231.255,1239,US,SPRINTLINK
199.0.232.0,199.0.232.255,1789,US,SPRINTLINK1
199.0.233.0,199.0.233.255,1239,US,SPRINTLINK
199.0.234.0,199.0.234.255,1789,US,SPRINTLINK1
199.0.235.0,199.0.235.255,1239,US,SPRINTLINK
199.0.236.0,199.0.238.255,1789,US,SPRINTLINK1
199.0.239.0,199.1.0.255,1239,US,SPRINTLINK
199.1.1.0,199.1.1.255,14565,US,RRTL-3719
199.1.2.0,199.1.15.255,1239,US,SPRINTLINK
199.1.16.0,199.1.16.255,23508,US,CGH-MAIN-CAMP
199.1.17.0,199.1.35.255,1239,US,SPRINTLINK
199.1.36.0,199.1.37.255,6157,US,SPRINTLINK-HOSTING
199.1.38.0,199.1.71.255,1239,US,SPRINTLINK
199.1.72.0,199.1.73.255,36550,US,MA-MORTENSON-COMPANY
199.1.74.0,199.1.127.255,1239,US,SPRINTLINK
199.1.128.0,199.1.143.255,26133,US,FEWPB
199.1.144.0,199.1.144.255,1239,US,SPRINTLINK
199.1.145.0,199.1.145.255,29717,US,OMEDA-29717
199.1.146.0,199.1.146.255,11030,US,QUALCOMM
199.1.147.0,199.1.147.255,33198,US,AS33198-SWITCHLV
199.1.148.0,199.1.151.255,1239,US,SPRINTLINK
199.1.152.0,199.1.153.255,14979,PR,AERONET-WIRELESS
199.1.154.0,199.1.155.255,14979,PR,AERONET-WIRELESS
199.1.156.0,199.1.157.255,14979,PR,AERONET-WIRELESS
199.1.158.0,199.1.159.255,14979,PR,AERONET-WIRELESS
199.1.160.0,199.1.191.255,1239,US,SPRINTLINK
199.1.192.0,199.1.195.255,32614,US,HDISS-NET
199.1.196.0,199.2.134.255,1239,US,SPRINTLINK
199.2.135.0,199.2.135.255,11924,US,MONTANA-OPTICOM
199.2.136.0,199.2.136.255,1239,US,SPRINTLINK
