range_start,range_end,AS_number,country_code,AS_description
14.0.8.0,14.0.11.255,55391,JP,MF-NATIVE6-E INTERNET MULTIFEED CO.
14.0.12.0,14.0.15.255,0,None,Not routed
14.0.16.0,14.0.28.255,24088,VN,HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch
14.0.29.0,14.0.31.255,24088,VN,HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch
14.0.32.0,14.0.33.255,54994,US,QUANTILNETWORKS
14.0.34.0,14.0.34.255,36408,US,CDNETWORKSUS-02
14.0.35.0,14.0.44.255,54994,US,QUANTILNETWORKS
14.0.45.0,14.0.45.255,0,None,Not routed
14.0.46.0,14.0.48.255,54994,US,QUANTILNETWORKS
14.0.49.0,14.0.58.255,0,None,Not routed
14.0.59.0,14.0.59.255,54994,US,QUANTILNETWORKS
14.0.60.0,14.0.60.255,0,None,Not routed
14.0.61.0,14.0.61.255,36408,US,CDNETWORKSUS-02
14.0.62.0,14.0.62.255,54994,US,QUANTILNETWORKS
14.0.63.0,14.0.63.255,0,None,Not routed
14.0.64.0,14.0.74.255,38107,KR,CDNETWORKS-AS-KR CDNetworks
14.0.75.0,14.0.82.255,38107,KR,CDNETWORKS-AS-KR CDNetworks
14.0.83.0,14.0.84.255,38107,KR,CDNETWORKS-AS-KR CDNetworks
14.0.85.0,14.0.102.255,38107,KR,CDNETWORKS-AS-KR CDNetworks
14.0.103.0,14.0.109.255,38107,KR,CDNETWORKS-AS-KR CDNetworks
14.0.110.0,14.0.113.255,38107,KR,CDNETWORKS-AS-KR CDNetworks
14.0.114.0,14.0.114.255,54994,US,QUANTILNETWORKS
14.0.115.0,14.0.115.255,38107,KR,CDNETWORKS-AS-KR CDNetworks
14.0.116.0,14.0.117.255,0,None,Not routed
14.0.118.0,14.0.121.255,38107,KR,CDNETWORKS-AS-KR CDNetworks
14.0.122.0,14.0.127.255,0,None,Not routed
14.0.128.0,14.0.136.255,38819,HK,HKCSL-AS-AP HKCSL GPRS NETWORK
14.0.137.0,14.0.146.255,38819,HK,HKCSL-AS-AP HKCSL GPRS NETWORK
14.0.147.0,14.0.151.255,0,None,Not routed
14.0.152.0,14.0.183.255,38819,HK,HKCSL-AS-AP HKCSL GPRS NETWORK
14.0.184.0,14.0.191.255,0,None,Not routed
14.0.192.0,14.0.247.255,38819,HK,HKCSL-AS-AP HKCSL GPRS NETWORK
14.0.248.0,14.1.3.255,0,None,Not routed
14.1.4.0,14.1.7.255,55392,JP,MF-NATIVE6-W INTERNET MULTIFEED CO.
14.1.8.0,14.1.15.255,10000,JP,NCM Nagasaki Cable Media Inc.
14.1.16.0,14.1.19.255,45437,Unknown,AS45437
14.1.20.0,14.1.23.255,55778,HK,WEBWEB-HK International Trade Centre
14.1.24.0,14.1.27.255,0,None,Not routed
14.1.28.0,14.1.31.255,63018,US,DEDICATED
14.1.32.0,14.1.33.255,45177,NZ,DEVOLI-AS-AP Devoli
14.1.34.0,14.1.63.255,45177,NZ,DEVOLI-AS-AP Devoli
14.1.64.0,14.1.95.255,0,None,Not routed
14.1.96.0,14.1.98.255,55933,HK,CLOUDIE-AS-AP Cloudie Limited
14.1.99.0,14.1.99.255,134196,HK,ANYUN-INTERNET-TECHNOLOGY-HK-CO-LIMITED ANYUN INTERNET TECHNOLOGY HK CO.,LIMITED
14.1.100.0,14.1.103.255,139009,Unknown,AS139009
