range_start,range_end,AS_number,country_code,AS_description
133.0.0.0,133.0.255.255,0,None,Not routed
133.1.0.0,133.1.255.255,4730,JP,ODINS Osaka University
133.2.0.0,133.2.255.255,17523,JP,AOYAMA Aoyama Gakuin University
133.3.0.0,133.3.255.255,2504,JP,NCA5 Kyoto University
133.4.0.0,133.4.63.255,55384,JP,JAIST-EXP Japan Advanced Institute of Science and Technology
133.4.64.0,133.4.127.255,0,None,Not routed
133.4.128.0,133.4.191.255,2500,JP,WIDE-BB WIDE Project
133.4.192.0,133.4.255.255,0,None,Not routed
133.5.0.0,133.5.255.255,2508,JP,KYUSHU-U Kyushu University
133.6.0.0,133.6.255.255,17687,JP,NICE National University Corporation Nagoya University
133.7.0.0,133.8.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.9.0.0,133.9.255.255,17956,JP,WASEDA WASEDA University
133.10.0.0,133.10.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.11.0.0,133.11.255.255,2501,JP,UTNET The University of Tokyo
133.12.0.0,133.12.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.13.0.0,133.13.255.255,17960,JP,RAINS-AS University of the Ryukyus
133.14.0.0,133.17.7.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.17.8.0,133.17.10.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.17.11.0,133.17.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.18.0.0,133.18.255.255,24282,JP,KIR KAGOYA JAPAN Inc.
133.19.0.0,133.19.255.255,23807,JP,RITSUMEI Ritsumeikan University
133.20.0.0,133.21.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.22.0.0,133.22.255.255,0,None,Not routed
133.23.0.0,133.23.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.24.0.0,133.24.223.255,131159,JP,AS-YAMAGATAU Yamagata University
133.24.224.0,133.24.248.255,131159,JP,AS-YAMAGATAU Yamagata University
133.24.249.0,133.24.255.255,131159,JP,AS-YAMAGATAU Yamagata University
133.25.0.0,133.25.255.255,55379,JP,HOSEI-NET Hosei University
133.26.0.0,133.26.255.255,131919,JP,MEIJI-NET Meiji University
133.27.0.0,133.27.255.255,38635,JP,KEIO-NET Keio University
133.28.0.0,133.28.255.255,55380,JP,KAINS Kanazawa University
133.29.0.0,133.30.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.31.0.0,133.31.255.255,55390,JP,TUSNET Tokyo University of Science
133.32.0.0,133.32.63.255,2519,JP,VECTANT ARTERIA Networks Corporation
133.32.64.0,133.32.99.255,0,None,Not routed
133.32.100.0,133.32.103.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.32.104.0,133.32.109.255,131986,JP,BB4U-NET ITOCHU Cable Systems Corp.
133.32.110.0,133.32.111.255,0,None,Not routed
133.32.112.0,133.32.127.255,23630,JP,CAC-NET CAC Inc.
133.32.128.0,133.32.143.255,2519,JP,VECTANT ARTERIA Networks Corporation
133.32.144.0,133.32.151.255,0,None,Not routed
133.32.152.0,133.32.155.255,2519,JP,VECTANT ARTERIA Networks Corporation
133.32.156.0,133.32.163.255,0,None,Not routed
133.32.164.0,133.32.167.255,2519,JP,VECTANT ARTERIA Networks Corporation
133.32.168.0,133.32.171.255,0,None,Not routed
133.32.172.0,133.32.191.255,2519,JP,VECTANT ARTERIA Networks Corporation
133.32.192.0,133.32.199.255,131958,JP,T-NET Tama Cable Network Co.,Ltd.
133.32.200.0,133.32.207.255,0,None,Not routed
133.32.208.0,133.32.255.255,2519,JP,VECTANT ARTERIA Networks Corporation
133.33.0.0,133.33.255.255,23615,JP,KUSANAGI University of Shizuoka
133.34.0.0,133.35.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.36.0.0,133.36.255.255,131981,JP,TAKUSHOKUNET Takushoku University
133.37.0.0,133.39.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.40.0.0,133.40.255.255,4713,JP,OCN NTT Communications Corporation
133.41.0.0,133.41.255.255,2506,JP,SUPERCSI NTT WEST CHUGOKU CORPORATION
133.42.0.0,133.42.255.255,24248,Unknown,AS24248
133.43.0.0,133.43.255.255,10014,JP,NIHON-U Nihon University
133.44.0.0,133.46.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.47.0.0,133.47.255.255,17687,JP,NICE National University Corporation Nagoya University
133.48.0.0,133.49.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.50.0.0,133.50.255.255,7509,JP,HINET Hokkaido University
133.51.0.0,133.51.255.255,37917,JP,UTINS University of Tsukuba
133.52.0.0,133.52.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.53.0.0,133.53.255.255,4729,JP,JAEA Japan Atomic Energy Agency
133.54.0.0,133.54.71.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.54.72.0,133.54.75.255,0,None,Not routed
133.54.76.0,133.55.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.56.0.0,133.56.99.255,3488,JP,JAXANET Information Systems Department, Japan Aerospace Exploration Agency
133.56.100.0,133.56.101.255,3488,JP,JAXANET Information Systems Department, Japan Aerospace Exploration Agency
133.56.102.0,133.56.114.255,3488,JP,JAXANET Information Systems Department, Japan Aerospace Exploration Agency
133.56.115.0,133.56.255.255,3488,JP,JAXANET Information Systems Department, Japan Aerospace Exploration Agency
133.57.0.0,133.58.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.59.0.0,133.59.255.255,0,None,Not routed
133.60.0.0,133.60.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.61.0.0,133.61.255.255,0,None,Not routed
133.62.0.0,133.63.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.64.0.0,133.64.4.255,38641,JP,LEONET-AS Osaka Sangyo University
133.64.5.0,133.64.255.255,38641,JP,LEONET-AS Osaka Sangyo University
133.65.0.0,133.65.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.66.0.0,133.66.255.255,17946,JP,GUCC Gifu University
133.67.0.0,133.67.255.255,24261,JP,MIE-U Mie University
133.68.0.0,133.68.255.255,2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
133.69.0.0,133.69.159.255,2523,JP,ITRC-NET JSPS 163rd Committee on Internet Technology
133.69.160.0,133.69.163.255,45688,Unknown,AS45688
133.69.164.0,133.69.167.247,2523,JP,ITRC-NET JSPS 163rd Committee on Internet Technology
133.69.167.248,133.69.176.255,45688,Unknown,AS45688
133.69.177.0,133.69.183.255,2523,JP,ITRC-NET JSPS 163rd Committee on Internet Technology
133.69.184.0,133.69.184.255,45688,Unknown,AS45688
133.69.185.0,133.69.255.255,2523,JP,ITRC-NET JSPS 163rd Committee on Internet Technology
133.70.0.0,133.70.255.255,24268,JP,SAINS National University Corporation Shizuoka University
133.71.0.0,133.71.255.255,131897,JP,EHIME-U National University Corporation ,Ehime University
