range_start,range_end,AS_number,country_code,AS_description
189.0.0.0,189.0.31.255,26599,BR,TELEFONICA BRASIL S.A
189.0.32.0,189.0.47.255,27699,BR,TELEFONICA BRASIL S.A
189.0.48.0,189.0.76.255,26599,BR,TELEFONICA BRASIL S.A
189.0.77.0,189.0.95.255,27699,BR,TELEFONICA BRASIL S.A
189.0.96.0,189.0.119.255,26599,BR,TELEFONICA BRASIL S.A
189.0.120.0,189.0.128.255,27699,BR,TELEFONICA BRASIL S.A
189.0.129.0,189.0.159.255,26599,BR,TELEFONICA BRASIL S.A
189.0.160.0,189.0.191.255,26599,BR,TELEFONICA BRASIL S.A
189.0.192.0,189.0.207.255,27699,BR,TELEFONICA BRASIL S.A
189.0.208.0,189.0.219.255,26599,BR,TELEFONICA BRASIL S.A
189.0.220.0,189.0.221.255,27699,BR,TELEFONICA BRASIL S.A
189.0.222.0,189.0.255.255,26599,BR,TELEFONICA BRASIL S.A
189.1.0.0,189.1.31.255,28661,BR,HOTLINK INTERNET LTDA
189.1.32.0,189.1.47.255,28663,BR,FLYS INTERATIVA LTDA
189.1.48.0,189.1.63.255,28658,BR,Gigalink de Nova Friburgo Solucoes em Rede Multimi
189.1.64.0,189.1.64.255,28641,BR,EBF VAZ INDUSTRIA E COMERCIO LTDA
189.1.65.0,189.1.79.255,0,None,Not routed
189.1.80.0,189.1.91.255,28664,BR,T-LESTE TELECOMUNICACOES LESTE DE SAO PAULO LTDA
189.1.92.0,189.1.95.255,0,None,Not routed
189.1.96.0,189.1.108.255,28272,BR,GRUPO REDES
189.1.109.0,189.1.127.255,28272,BR,GRUPO REDES
189.1.128.0,189.1.143.255,28665,BR,Predlink Rede de Telecomuniccoes Ltda
189.1.144.0,189.1.145.255,28668,BR,Silva & Silveira Provedor de Internet Ltda
189.1.146.0,189.1.159.255,28668,BR,Silva & Silveira Provedor de Internet Ltda
189.1.160.0,189.1.163.255,28666,BR,HOSTLOCATION LTDA
189.1.164.0,189.1.164.255,262287,BR,Maxihost LTDA
189.1.165.0,189.1.167.255,28666,BR,HOSTLOCATION LTDA
189.1.168.0,189.1.175.255,262287,BR,Maxihost LTDA
189.1.176.0,189.1.191.255,28667,BR,NETWORK TELECOMUNICACOES S.A.
189.1.192.0,189.1.255.255,28583,BR,RuralWeb Telecomunicacoes Ltda
189.2.0.0,189.3.255.255,4230,BR,CLARO S.A.
189.4.0.0,189.4.106.255,28573,BR,Claro NXT Telecomunicacoes Ltda
189.4.107.0,189.5.87.255,28573,BR,Claro NXT Telecomunicacoes Ltda
189.5.88.0,189.5.103.255,28573,BR,Claro NXT Telecomunicacoes Ltda
189.5.104.0,189.5.149.255,28573,BR,Claro NXT Telecomunicacoes Ltda
189.5.150.0,189.5.163.255,28573,BR,Claro NXT Telecomunicacoes Ltda
189.5.164.0,189.5.181.255,28573,BR,Claro NXT Telecomunicacoes Ltda
189.5.182.0,189.7.255.255,28573,BR,Claro NXT Telecomunicacoes Ltda
189.8.0.0,189.8.47.255,26609,BR,Universal Telecom S.A.
189.8.48.0,189.8.63.255,26609,BR,Universal Telecom S.A.
189.8.64.0,189.8.68.255,11419,BR,TELEFONICA BRASIL S.A
189.8.69.0,189.8.79.255,11419,BR,TELEFONICA BRASIL S.A
189.8.80.0,189.8.83.255,28669,BR,America-NET Ltda.
189.8.84.0,189.8.89.255,28669,BR,America-NET Ltda.
