range_start,range_end,AS_number,country_code,AS_description
78.0.0.0,78.3.191.255,5391,HR,T-HT Croatian Telecom Inc.
78.3.192.0,78.3.255.255,5391,HR,T-HT Croatian Telecom Inc.
78.4.0.0,78.7.115.255,8968,IT,BT-ITALIA
78.7.116.0,78.7.255.255,8968,IT,BT-ITALIA
78.8.0.0,78.9.99.255,12741,PL,AS-NETIA Warszawa 02-822
78.9.100.0,78.9.100.255,197790,PL,AS-ACTUS
78.9.101.0,78.11.255.255,12741,PL,AS-NETIA Warszawa 02-822
78.12.0.0,78.15.255.255,0,None,Not routed
78.16.0.0,78.19.255.255,2110,IE,AS-BTIRE BT Ireland was previously known as Esat Net, EUnet Ireland & IEUnet.
78.20.0.0,78.23.255.255,6848,BE,TELENET-AS
78.24.0.0,78.24.7.255,43537,RU,INTELCOMNET-AS
78.24.8.0,78.24.15.255,43541,CZ,VSHOSTING
78.24.16.0,78.24.23.255,6830,NL,LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA
78.24.24.0,78.24.31.255,42132,RU,RADIONET-AS
78.24.32.0,78.24.39.255,35189,FR,DIPM-ANTEOR
78.24.40.0,78.24.47.255,34703,RU,PRTNET-AS
78.24.48.0,78.24.55.255,43937,EE,PTNET
78.24.56.0,78.24.63.255,0,None,Not routed
78.24.64.0,78.24.71.255,43749,HU,HAPPYMED
78.24.72.0,78.24.72.255,43586,LT,INTERLINK
78.24.73.0,78.24.74.255,3266,LT,INTERLINK
78.24.75.0,78.24.79.255,43586,LT,INTERLINK
78.24.80.0,78.24.87.255,43611,IT,ALBACOMAMPS-AS
78.24.88.0,78.24.88.255,61323,GB,UKFAST
78.24.89.0,78.24.89.255,34934,GB,UKFAST
78.24.90.0,78.24.91.255,61323,GB,UKFAST
78.24.92.0,78.24.95.255,61400,RU,NETRACK-AS
78.24.96.0,78.24.99.255,50825,CZ,UVT
78.24.100.0,78.24.103.255,47626,RU,ASTIMER
78.24.104.0,78.24.108.255,43608,RS,IT011-AS
78.24.109.0,78.24.111.255,43608,RS,IT011-AS
78.24.112.0,78.24.119.255,44971,GB,GOETEC-AS
78.24.120.0,78.24.120.255,203918,BG,SECURAX
78.24.121.0,78.24.127.255,3257,US,GTT-BACKBONE GTT
78.24.128.0,78.24.135.255,21409,FR,IKOULA
78.24.136.0,78.24.143.255,43655,ES,SENER
78.24.144.0,78.24.151.255,2116,NO,GLOBALCONNECT-
78.24.152.0,78.24.159.255,21446,RU,AS21446
78.24.160.0,78.24.167.255,34409,PL,POLSKAPRESS-AS
78.24.168.0,78.24.175.255,201205,BE,ASN-FLUVIUS-SP
78.24.176.0,78.24.179.255,35377,RU,TRN-TELECOM-AS
