range_start,range_end,AS_number,country_code,AS_description
61.0.0.0,61.0.107.255,9829,IN,BSNL-NIB National Internet Backbone
61.0.108.0,61.1.64.255,9829,IN,BSNL-NIB National Internet Backbone
61.1.65.0,61.1.71.255,9829,IN,BSNL-NIB National Internet Backbone
61.1.72.0,61.1.75.255,9829,IN,BSNL-NIB National Internet Backbone
61.1.76.0,61.2.23.255,9829,IN,BSNL-NIB National Internet Backbone
61.2.24.0,61.2.167.255,9829,IN,BSNL-NIB National Internet Backbone
61.2.168.0,61.2.247.255,9829,IN,BSNL-NIB National Internet Backbone
61.2.248.0,61.3.47.255,9829,IN,BSNL-NIB National Internet Backbone
61.3.48.0,61.3.71.255,9829,IN,BSNL-NIB National Internet Backbone
61.3.72.0,61.3.255.255,9829,IN,BSNL-NIB National Internet Backbone
61.4.0.0,61.4.16.255,10132,Unknown,AS10132
61.4.17.0,61.4.23.255,10132,Unknown,AS10132
61.4.24.0,61.4.33.255,10132,Unknown,AS10132
61.4.34.0,61.4.57.255,10132,Unknown,AS10132
61.4.58.0,61.4.63.255,10132,Unknown,AS10132
61.4.64.0,61.4.64.255,131322,MM,YTCL-AS-AP Yatanarpon Teleport Company Limited
61.4.65.0,61.4.65.255,18399,MM,YTCL-AS-AP Yatanarpon Teleport Company Limited
61.4.66.0,61.4.67.255,131322,MM,YTCL-AS-AP Yatanarpon Teleport Company Limited
61.4.68.0,61.4.79.255,18399,MM,YTCL-AS-AP Yatanarpon Teleport Company Limited
61.4.80.0,61.4.81.255,0,None,Not routed
61.4.82.0,61.4.83.255,4847,CN,CNIX-AP China Networks Inter-Exchange
61.4.84.0,61.4.96.255,0,None,Not routed
61.4.97.0,61.4.105.255,55720,MY,GIGABIT-MY Gigabit Hosting Sdn Bhd
61.4.106.0,61.4.111.255,0,None,Not routed
61.4.112.0,61.4.116.255,55720,MY,GIGABIT-MY Gigabit Hosting Sdn Bhd
61.4.117.0,61.4.117.255,0,None,Not routed
61.4.118.0,61.4.120.255,55720,MY,GIGABIT-MY Gigabit Hosting Sdn Bhd
61.4.121.0,61.4.121.255,0,None,Not routed
61.4.122.0,61.4.123.255,55720,MY,GIGABIT-MY Gigabit Hosting Sdn Bhd
61.4.124.0,61.4.125.255,0,None,Not routed
61.4.126.0,61.4.126.255,55720,MY,GIGABIT-MY Gigabit Hosting Sdn Bhd
61.4.127.0,61.4.127.255,0,None,Not routed
61.4.128.0,61.4.151.255,17691,JP,TIKITIKI NDS Co., Ltd.
61.4.152.0,61.4.175.255,4713,JP,OCN NTT Communications Corporation
61.4.176.0,61.4.191.255,23724,CN,CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation
61.4.192.0,61.4.215.255,18313,KR,PCN-AS-KR LG HelloVision Corp.
61.4.216.0,61.4.229.255,18313,KR,PCN-AS-KR LG HelloVision Corp.
61.4.230.0,61.4.231.255,18313,KR,PCN-AS-KR LG HelloVision Corp.
61.4.232.0,61.4.255.255,18313,KR,PCN-AS-KR LG HelloVision Corp.
61.5.0.0,61.5.14.255,7713,ID,TELKOMNET-AS-AP PT Telekomunikasi Indonesia
61.5.15.0,61.5.55.255,7713,ID,TELKOMNET-AS-AP PT Telekomunikasi Indonesia
61.5.56.0,61.5.99.255,7713,ID,TELKOMNET-AS-AP PT Telekomunikasi Indonesia
61.5.100.0,61.5.103.255,64500,Unknown,AS64500
61.5.104.0,61.5.115.255,7713,ID,TELKOMNET-AS-AP PT Telekomunikasi Indonesia
61.5.116.0,61.5.117.255,7713,ID,TELKOMNET-AS-AP PT Telekomunikasi Indonesia
61.5.118.0,61.5.127.255,7713,ID,TELKOMNET-AS-AP PT Telekomunikasi Indonesia
61.5.128.0,61.5.157.255,9541,PK,CYBERNET-AP Cyber Internet Services Pvt Ltd.
61.5.158.0,61.5.158.255,24440,PK,CYBERNET-APII Cyber Internet Services Pakistan
61.5.159.0,61.5.159.255,9541,PK,CYBERNET-AP Cyber Internet Services Pvt Ltd.
61.5.160.0,61.5.191.255,3786,KR,LGDACOM LG DACOM Corporation
61.5.192.0,61.5.192.255,133066,AF,ANS-AS-AP Ariana Network Services Co
61.5.193.0,61.5.193.255,138322,AF,AWCC-AS-AP Afghan Wireless
61.5.194.0,61.5.195.255,38742,AF,AWCC-AS-AP AWCC
61.5.196.0,61.5.197.255,138322,AF,AWCC-AS-AP Afghan Wireless
61.5.198.0,61.5.198.255,138322,AF,AWCC-AS-AP Afghan Wireless
61.5.199.0,61.5.199.255,38742,AF,AWCC-AS-AP AWCC
61.5.200.0,61.5.200.255,138322,AF,AWCC-AS-AP Afghan Wireless
61.5.201.0,61.5.207.255,38742,AF,AWCC-AS-AP AWCC
61.5.208.0,61.5.223.255,18200,NC,OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia
61.5.224.0,61.5.239.255,10013,JP,FBDC FreeBit Co.,Ltd.
61.5.240.0,61.5.244.255,0,None,Not routed
61.5.245.0,61.5.255.255,10013,JP,FBDC FreeBit Co.,Ltd.
