range_start,range_end,AS_number,country_code,AS_description
156.0.0.0,156.0.0.255,29975,Unknown,AS29975
156.0.1.0,156.0.63.255,37057,LS,VODACOM-LESOTHO
156.0.64.0,156.0.67.255,328038,Unknown,AS328038
156.0.68.0,156.0.71.255,0,None,Not routed
156.0.72.0,156.0.75.255,327805,ZA,Bundu-NetworX
156.0.76.0,156.0.76.255,32708,GB,ROOT-NETWORKS Root Networks
156.0.77.0,156.0.77.255,0,None,Not routed
156.0.78.0,156.0.78.255,32708,GB,ROOT-NETWORKS Root Networks
156.0.79.0,156.0.79.255,0,None,Not routed
156.0.80.0,156.0.80.255,198949,IL,VS-AS
156.0.81.0,156.0.81.255,328252,GH,Ecobank-Group
156.0.82.0,156.0.83.255,198949,IL,VS-AS
156.0.84.0,156.0.87.255,0,None,Not routed
156.0.88.0,156.0.91.255,328249,CD,Kinshasa-Wireless-AS
156.0.92.0,156.0.95.255,328543,SC,sun-asn
156.0.96.0,156.0.127.255,328227,Unknown,AS328227
156.0.128.0,156.0.159.255,328224,Unknown,AS328224
156.0.160.0,156.0.191.255,328112,ZA,Linux-Based-Systems-Design-AS
156.0.192.0,156.0.195.255,328216,Unknown,AS328216
156.0.196.0,156.0.197.255,328246,ZA,Foschini-Retail-Group-AS
156.0.198.0,156.0.198.255,328238,CD,INFOSET-AS
156.0.199.0,156.0.199.255,0,None,Not routed
156.0.200.0,156.0.203.255,22773,US,ASN-CXA-ALL-CCI-22773-RDC
156.0.204.0,156.0.207.255,36974,Unknown,AS36974
156.0.208.0,156.0.211.255,328704,ZA,WIFIZA-TELECOMS
156.0.212.0,156.0.215.255,37136,Unknown,AS37136
156.0.216.0,156.0.219.255,328210,Unknown,AS328210
156.0.220.0,156.0.223.255,0,None,Not routed
156.0.224.0,156.0.229.255,328220,Unknown,AS328220
156.0.230.0,156.0.231.255,328220,Unknown,AS328220
156.0.232.0,156.0.233.255,328225,Unknown,AS328225
156.0.234.0,156.0.235.255,328213,Unknown,AS328213
156.0.236.0,156.0.239.255,328631,ZA,BallitoISP
156.0.240.0,156.0.243.255,0,None,Not routed
156.0.244.0,156.0.247.255,328199,Unknown,AS328199
156.0.248.0,156.0.251.255,328203,Unknown,AS328203
156.0.252.0,156.0.253.255,0,None,Not routed
156.0.254.0,156.0.254.255,328248,AO,Contidis-AS
156.0.255.0,156.0.255.255,37567,NG,NIBSS
156.1.0.0,156.1.255.255,22226,US,-Reserved AS-
156.2.0.0,156.2.255.255,0,None,Not routed
156.3.0.0,156.3.5.255,2920,US,LACOE
156.3.6.0,156.3.24.255,2920,US,LACOE
156.3.25.0,156.3.38.255,2920,US,LACOE
156.3.39.0,156.3.40.255,2920,US,LACOE
156.3.41.0,156.3.42.255,2920,US,LACOE
156.3.43.0,156.3.45.255,2920,US,LACOE
156.3.46.0,156.3.55.255,2920,US,LACOE
156.3.56.0,156.3.68.255,2920,US,LACOE
156.3.69.0,156.3.74.255,2920,US,LACOE
156.3.75.0,156.3.76.255,2920,US,LACOE
156.3.77.0,156.3.78.255,2920,US,LACOE
156.3.79.0,156.3.90.255,2920,US,LACOE
156.3.91.0,156.3.91.255,2152,US,CSUNET-NW
156.3.92.0,156.3.93.255,2920,US,LACOE
156.3.94.0,156.3.95.255,2920,US,LACOE
156.3.96.0,156.3.104.255,2920,US,LACOE
156.3.105.0,156.3.109.255,2920,US,LACOE
156.3.110.0,156.3.113.255,2920,US,LACOE
156.3.114.0,156.3.135.255,2920,US,LACOE
156.3.136.0,156.3.137.255,2920,US,LACOE
156.3.138.0,156.3.142.255,2920,US,LACOE
156.3.143.0,156.3.150.255,2920,US,LACOE
156.3.151.0,156.3.159.255,2920,US,LACOE
156.3.160.0,156.3.176.255,2920,US,LACOE
156.3.177.0,156.3.255.255,2920,US,LACOE
156.4.0.0,156.5.255.255,0,None,Not routed
156.6.0.0,156.6.255.255,749,US,DNIC-AS-00749
156.7.0.0,156.7.255.255,0,None,Not routed
156.8.0.0,156.8.255.255,3741,ZA,IS
156.9.0.0,156.9.255.255,0,None,Not routed
156.10.0.0,156.10.255.255,39098,FI,BOF-AS
156.11.0.0,156.11.3.255,397433,CA,GWL-CA-ASN
156.11.4.0,156.11.7.255,0,None,Not routed
156.11.8.0,156.11.13.255,397433,CA,GWL-CA-ASN
156.11.14.0,156.11.15.255,6327,CA,SHAW
156.11.16.0,156.11.21.255,397433,CA,GWL-CA-ASN
156.11.22.0,156.11.127.255,0,None,Not routed
156.11.128.0,156.11.167.255,397433,CA,GWL-CA-ASN
156.11.168.0,156.11.225.255,0,None,Not routed
156.11.226.0,156.11.226.255,397433,CA,GWL-CA-ASN
156.11.227.0,156.11.239.255,0,None,Not routed
156.11.240.0,156.11.245.255,394583,CA,GLA-EU1
156.11.246.0,156.11.255.255,0,None,Not routed
156.12.0.0,156.12.255.255,398537,US,KUTZTOWN-01
156.13.0.0,156.13.15.255,0,None,Not routed
156.13.16.0,156.13.23.255,139656,NZ,ANZNATIONAL-AS-AP ANZ National Bank
156.13.24.0,156.13.31.255,0,None,Not routed
156.13.32.0,156.13.32.255,139656,NZ,ANZNATIONAL-AS-AP ANZ National Bank
156.13.33.0,156.13.33.255,0,None,Not routed
156.13.34.0,156.13.35.255,139656,NZ,ANZNATIONAL-AS-AP ANZ National Bank
156.13.36.0,156.13.36.255,0,None,Not routed
156.13.37.0,156.13.40.255,4648,NZ,SPARK-NZ Global-Gateway Internet
156.13.41.0,156.13.69.255,0,None,Not routed
156.13.70.0,156.13.71.255,64086,SG,ANZ-SG-AS Australia and New Zealand Banking Group Limited ANZ
156.13.72.0,156.13.103.255,0,None,Not routed
156.13.104.0,156.13.119.255,139656,NZ,ANZNATIONAL-AS-AP ANZ National Bank
156.13.120.0,156.13.169.255,0,None,Not routed
156.13.170.0,156.13.171.255,139656,NZ,ANZNATIONAL-AS-AP ANZ National Bank
156.13.172.0,156.13.173.255,0,None,Not routed
