range_start,range_end,AS_number,country_code,AS_description
83.0.0.0,83.1.255.255,5617,PL,TPNET
83.2.0.0,83.2.11.255,29535,Unknown,AS29535
83.2.12.0,83.2.15.255,29535,Unknown,AS29535
83.2.16.0,83.2.55.255,5617,PL,TPNET
83.2.56.0,83.2.59.255,29535,Unknown,AS29535
83.2.60.0,83.17.78.255,5617,PL,TPNET
83.17.79.0,83.31.255.255,5617,PL,TPNET
83.32.0.0,83.63.255.255,3352,ES,TELEFONICA_DE_ESPANA
83.64.0.0,83.65.255.255,8412,AT,TMA Magenta Telekom
83.66.0.0,83.66.1.255,12978,TR,DSMART
83.66.2.0,83.66.11.255,12978,TR,DSMART
83.66.12.0,83.66.17.255,12978,TR,DSMART
83.66.18.0,83.66.35.255,12978,TR,DSMART
83.66.36.0,83.66.57.255,12978,TR,DSMART
83.66.58.0,83.66.63.255,12978,TR,DSMART
83.66.64.0,83.66.79.255,12978,TR,DSMART
83.66.80.0,83.66.87.255,12978,TR,DSMART
83.66.88.0,83.66.96.255,12978,TR,DSMART
83.66.97.0,83.66.135.255,12978,TR,DSMART
83.66.136.0,83.66.143.255,12978,TR,DSMART
83.66.144.0,83.66.155.255,12978,TR,DSMART
83.66.156.0,83.66.175.255,12978,TR,DSMART
83.66.176.0,83.66.193.255,12978,TR,DSMART
83.66.194.0,83.66.201.255,12978,TR,DSMART
83.66.202.0,83.66.244.255,12978,TR,DSMART
83.66.245.0,83.66.255.255,12978,TR,DSMART
83.67.0.0,83.67.255.255,9105,GB,TISCALI-UK TalkTalk Communications Limited
83.68.0.0,83.68.29.255,3265,NL,XS4ALL-NL Amsterdam
83.68.30.0,83.68.30.255,0,None,Not routed
83.68.31.0,83.68.31.255,3265,NL,XS4ALL-NL Amsterdam
83.68.32.0,83.68.55.255,31444,RU,SEANET-AS Russia, Saint-Petersburg
83.68.56.0,83.68.59.255,42233,RU,ASNOOOLUX
83.68.60.0,83.68.61.255,0,None,Not routed
83.68.62.0,83.68.62.255,31444,RU,SEANET-AS Russia, Saint-Petersburg
83.68.63.0,83.68.63.255,0,None,Not routed
83.68.64.0,83.68.95.255,21021,PL,MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland.
83.68.96.0,83.68.127.255,34809,FR,SANEF-AS
83.68.128.0,83.68.129.255,1764,AT,NEXTLAYER-AS
83.68.130.0,83.68.130.255,207011,AT,ICS-NET
83.68.131.0,83.68.133.255,1764,AT,NEXTLAYER-AS
83.68.134.0,83.68.135.255,203501,US,EMARSYS-US-AS Emarsys North America, Inc
83.68.136.0,83.68.137.255,1764,AT,NEXTLAYER-AS
83.68.138.0,83.68.138.255,28839,AT,ASN-UNOV Vienna International Centre, P.O.Box 500
83.68.139.0,83.68.139.255,28848,AT,UNIDO-AS
83.68.140.0,83.68.140.255,206159,AT,VAO-AS
83.68.141.0,83.68.141.255,1764,AT,NEXTLAYER-AS
83.68.142.0,83.68.142.255,206148,AT,FNPROFILE-AS
83.68.143.0,83.68.143.255,28771,AT,VIE-AS [street address]: Postfach 1
83.68.144.0,83.68.145.255,1764,AT,NEXTLAYER-AS
83.68.146.0,83.68.146.255,28771,AT,VIE-AS [street address]: Postfach 1
83.68.147.0,83.68.159.255,1764,AT,NEXTLAYER-AS
83.68.160.0,83.68.168.255,205554,KW,KAC
83.68.169.0,83.68.184.255,0,None,Not routed
83.68.185.0,83.68.185.255,205554,KW,KAC
83.68.186.0,83.68.190.255,0,None,Not routed
83.68.191.0,83.68.191.255,205554,KW,KAC
83.68.192.0,83.68.220.255,44885,CH,ELLO Av. Edouard-Dubois 20
